FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
access,Parcel_createdby,PropertyID,
acres,Parcel_timestamp,Property Name,
activestatus,Parcel_name,Property Address,
activity_description,Parcel_name,City,
actual_price,Parcel_appraisalusage,State,
added_at,Parcel_readyforuse,Zip,
address,Parcel_propertymajortype,County Name,
adjustment_comments,Parcel_propertytype,Country,
adr,Parcel_propertysubtype,Continent,
affordability_status,Parcel_owner,Subcontinent,
all_utilities_to_site,Parcel_address,Cross Street,
allowable_floor_area_sf,Parcel_city,Latitude,
allowable_units,Parcel_county,Longitude,
allutilities,Parcel_state,Market Name,
amenities,Parcel_zip,Submarket Name,
anchor_tenants,Parcel_country,Submarket Cluster,
anchor_type,Parcel_lat,Closest Transit Stop,
anchors,Parcel_lng,Closest Transit Stop Dist (mi),
ancillary_buildings,Parcel_parcelverificationdata,Closest Transit Stop Walk Time (min),
annual_rent_per_sf,Parcel_isgroundlease,Property Location,
appraisal_date,Parcel_market,Owner Address,
appraisal_file,Parcel_submarket,Owner City State Zip,
appraisal_usage,Parcel_townshiprange,Property Manager Address,
appraised_value,Parcel_municipality,Property Manager City State Zip,
area_category,Parcel_cbsa_name,Recorded Owner Address,
area_in_flood_zone,Parcel_cbsa_id,Recorded Owner City State Zip,
assessment_year,Parcel_msa,True Owner Address,
assigned_to_user_id,Parcel_censusblock,True Owner City State Zip,
attribution_id,Parcel_censustract,Leasing Company Address,
audit_log_id,Parcel_neighborhood,Leasing Company City State Zip,
authority,Parcel_northboundary,Sale Company Address,
average_daily_rate,Parcel_southboundary,Sale Company City State Zip,
avg_asking_rent_sf,Parcel_eastboundary,PropertyType,
avg_cap_rate,Parcel_westboundary,Secondary Type,
avg_mf_unit_size,Parcel_neighborhoodcomments,Building Class,
back_yard_distance,Parcel_locationdescription,Building Status,
base_rent_per_mo,Parcel_opportunityzone,Constr Status,
base_rent_per_year,Parcel_schooldistrict,Operational Status,
base_rent_sf,Parcel_districtspending,Operation Type,
base_rent_sf_mo,Parcel_districturl,Style,
base_taxes,Parcel_studentteacherratio,Star Rating,
basement_size,Parcel_enrollment,Building Park,
basement_use_and_finish,Parcel_parcelcomments,Year Built,
baths,Sales_pgim,Month Built,
bedrooms,Sales_egim,Year Renovated,
beds,Sales_caprate,Month Renovated,
book_page_or_ref_doc,Parcel_appraisalfile,Construction Begin,
boundary_comments,Parcel_otherdbrefs,Construction Material,
buildable_sf,Parcel_supportingfiles,Number Of Stories,
building_amenities,Sales_saledate,Total Buildings,
building_class,Sales_transactiontype,Typical Floor Size,
building_condition,Sales_id,RBA,
building_description,Sales_activestatus,Core Factor,
building_features,Sales_isdeleted,Primary Corridors,
building_quality,Sales_isexcel,Amenities,
business_value_adjustment,Sales_confidential,Features,
buyer_type,Sales_priceactual,Services,
cap_rate,Sales_ffandeadjustment,Sewer,
care_type_comments,Sales_excesslandadjustment,Water,
category,Sales_businessvalueadjustment,Gas,
cbsa_id,Sales_financingtermsadjustment,Heating,
cbsa_name,Sales_conditionsofsaleadjustment,Sprinklers,
ceiling_height,Sales_expendituresaftersaleadjustment,Number Of Elevators,
censusblock,Sales_otheradjustment,Number Of Parking Spaces,
censustract,Sales_priceadjustment,Parking Ratio,
city,Sales_price,Parking Spaces/Unit,
clean_up_costs,Sales_pricepersf,Energy Star,
clear_height,Sales_priceperra,LEED Certified,
client_name,Sales_priceperunit,University,
column_spacing,Sales_priceperroom,Land Area (AC),
comm_lease_comments,Sales_priceperbedroom,Land Area (SF),
comm_lease_notes,Sales_priceperbed,Parcel Number 1(Min),
comm_lease_survey_date,Sales_pricepermfroom,Parcel Number 2(Max),
comm_lease_terms,Sales_pricepermfbedroom,Proposed Land Use,
comm_lease_type,Sales_priceperlandsf,Zoning,
comm_rent_concessions,Sales_priceperacre,Fema Flood Zone,
comm_rent_per_sf_max,Sales_priceperlandunit,FEMA Map Date,
comm_rent_per_sf_min,Sales_priceperusableacre,FEMA Map Identifier,
comm_size_max,Sales_priceperbuildablesf,FIRM ID,
comm_size_min,Sales_priceperprimaryfrontage,FIRM Panel Number,
comm_vacancy_rate,Sales_priceperfar,Flood Risk Area,
comm_verification_source,Sales_priceperbay,Floodplain Area,
commercial_survey_id,Sales_priceperspace,In SFHA,
community_fee_max,Sales_pricepergbameters,Owner Name,
community_fee_min,Sales_priceperrameters,Owner Contact,
commvacancy,Sales_priceperlandsqm,Owner Phone,
concessions,Sales_priceperlandhectares,True Owner Name,
condition_id,Sales_grantor,True Owner Contact,
conditions_of_sale,Sales_grantee,True Owner Phone,
conditions_of_sale_adjustment,Sales_propertyrights,Recorded Owner Name,
confidential,Sales_financing,Recorded Owner Contact,
construction_class,Sales_conditionsofsale,Recorded Owner Phone,
construction_type,Sales_currentuse,Property Manager Name,
contract_rent_max,Sales_propertyincluded,Property Manager Contact,
contract_rent_min,Sales_daysonmarket,Property Manager Phone,
cooling_id,Sales_recordingdate,Leasing Company Name,
cooling_type,Sales_bookpageorrefdoc,Leasing Company Contact,
corner,Sales_lender,Leasing Company Phone,
costs_to_finish,Sales_buyertype,Leasing Company Fax,
country,Sales_proposeduse,Sales Company,
county,Sales_highestandbestuse,Sale Company Name,
covered_parking_spaces,Sales_verificationsource,Sale Company Contact,
craneways,Sales_verificationphone,Sale Company Phone,
created_at,Sales_verificationdate,Sale Company Fax,
created_by_user_id,Sales_datasource,Sales Contact,
createdby,Sales_salesupportingfiles,Sales Contact Phone,
current_list_price,Sales_legaldescription,Primary Agent Name,
current_lp_percent_diff,Sales_finishcondition,Developer Name,
current_rent_per_mo,Sales_appraisaldate,Architect Name,
current_use,Sales_appraisedvalue,Parent Company,
custom_fields,Sales_landvaluepersf,Fund Name,
daily_rate_per_unit,Sales_landvalue,$Price/Unit,
daily_rate_per_unit_max,Sales_improvementvalue,For Sale Price,
daily_rate_per_unit_min,Sales_improvementvaluepersf,For Sale Status,
data_source,Sales_pgim,Last Sale Date,
days_on_market,Sales_egim,Last Sale Price,
deferred_maintenance,Sales_nim,Cap Rate,
demographics_survey_date,Sales_caprate,Building Operating Expenses,
depth,Sales_hotelroomrevmultiplier,Ops Expense,
design_appeal,Sales_toscaprate,Ops Expense Per SF,
dimensions,Sales_tosegim,Building Tax Expenses,
diminution_source,Sales_tosnoi,Tax Year,
discount_rate,Sales_tosoccupancyrate,Taxes Total,
district_name,Sales_tosvacancyrate,Taxes Per SF,
district_url,Sales_tospriceperrsf,Percent Leased,
districtspending,Sales_tospriceperuseableacreland,Vacancy %,
drainage,Sales_tospriceperuseablesfland,Days On Market,
duration_seconds,Sales_tosnumberoftenants,Tenancy,
earthquake_hazard_risk,Sales_tostenancytype,Rent Type,
earthquake_zone_comments,Sales_tosweightedaverageleaseterm,Rent/SF/Yr,
east_boundary,Sales_toseffectiveage,Average Weighted Rent,
eff_rent_per_mo,Sales_discountrate,Pre-Leasing,
eff_rent_per_year,Sales_expensegrowthrate,Exp Year,
effective_age,Sales_incomegrowthrate,Avg Rent-Direct (Industrial),
effective_gross_income_multiplier,Sales_terminalcaprate,Avg Rent-Direct (Office),
effective_rent_sf,Sales_holdingperiodyears,Avg Rent-Direct (Retail),
effective_rent_sf_mo,Sales_incomegrowth,Avg Rent-Sublet (Industrial),
effective_water_frontage,Sales_riskprofile,Avg Rent-Sublet (Office),
egim,Sales_originallistprice,Avg Rent-Sublet (Retail),
encumbrance_or_easement,Sales_originallppercentdiff,Direct Available Space,
enrollment,Sales_currentlistprice,Direct Vacant Space,
entry_fee_max,Sales_currentlppercentdiff,Sublet Available Space,
entry_fee_min,Sales_environmentalconcerns,Sublet Vacant Space,
environmental_concerns,Sales_environmentalstatus,Total Available Space (SF),
