FIELD ERD,Field LightBox Data,Field Lighboxdata aligned,Field CoStar Data,Aligned CoStar Data
access,Parcel_createdby,Sites_access,PropertyID,
acres,Parcel_timestamp,Sites_acres,Property Name,
activestatus,Parcel_name,Sales_activestatus,Property Address,
activity_description,Parcel_name,,City,
actual_price,Parcel_appraisalusage,,State,
added_at,Parcel_readyforuse,,Zip,
address,Parcel_propertymajortype,Parcel_address,County Name,
adjustment_comments,Parcel_propertytype,Sales_adjustmentcomments,Country,
adr,Parcel_propertysubtype,Improvement_adr,Continent,
affordability_status,Parcel_owner,Unit Lease_affordabilitystatus,Subcontinent,
all_utilities_to_site,Parcel_address,,Cross Street,
allowable_floor_area_sf,Parcel_city,Sites_allowablefloorareasf,Latitude,
allowable_units,Parcel_county,Sites_allowableunits,Longitude,
allutilities,Parcel_state,Sites_allutilities,Market Name,
amenities,Parcel_zip,Improvement_amenities,Submarket Name,
anchor_tenants,Parcel_country,,Submarket Cluster,
anchor_type,Parcel_lat,,Closest Transit Stop,
anchors,Parcel_lng,Rent Roll Summary_anchors,Closest Transit Stop Dist (mi),
ancillary_buildings,Parcel_parcelverificationdata,Improvement_ancillarybuildings,Closest Transit Stop Walk Time (min),
annual_rent_per_sf,Parcel_isgroundlease,Unit Lease_annualrentpersf,Property Location,
appraisal_date,Parcel_market,Sales_appraisaldate,Owner Address,
appraisal_file,Parcel_submarket,Parcel_appraisalfile,Owner City State Zip,
appraisal_usage,Parcel_townshiprange,Parcel_appraisalusage,Property Manager Address,
appraised_value,Parcel_municipality,Sales_appraisedvalue,Property Manager City State Zip,
area_category,Parcel_cbsa_name,,Recorded Owner Address,
area_in_flood_zone,Parcel_cbsa_id,Sites_areainfloodzone,Recorded Owner City State Zip,
assessment_year,Parcel_msa,,True Owner Address,
assigned_to_user_id,Parcel_censusblock,,True Owner City State Zip,
attribution_id,Parcel_censustract,,Leasing Company Address,
audit_log_id,Parcel_neighborhood,,Leasing Company City State Zip,
authority,Parcel_northboundary,,Sale Company Address,
average_daily_rate,Parcel_southboundary,,Sale Company City State Zip,
avg_asking_rent_sf,Parcel_eastboundary,,PropertyType,
avg_cap_rate,Parcel_westboundary,Sales_caprate,Secondary Type,
avg_mf_unit_size,Parcel_neighborhoodcomments,Unit Lease Summary_avgmfunitsize,Building Class,
back_yard_distance,Parcel_locationdescription,,Building Status,
base_rent_per_mo,Parcel_opportunityzone,Unit Lease_rentpermo,Constr Status,
base_rent_per_year,Parcel_schooldistrict,,Operational Status,
base_rent_sf,Parcel_districtspending,Unit Lease_marketrentsf,Operation Type,
base_rent_sf_mo,Parcel_districturl,Rent Roll_baserentsfmo,Style,
base_taxes,Parcel_studentteacherratio,Assessment_basetaxes,Star Rating,
basement_size,Parcel_enrollment,Improvement_basementsize,Building Park,
basement_use_and_finish,Parcel_parcelcomments,Improvement_basementuseandfinish,Year Built,
baths,Sales_pgim,Unit Lease_baths,Month Built,
bedrooms,Sales_egim,Unit Lease_bedrooms,Year Renovated,
beds,Sales_caprate,Unit Lease_beds,Month Renovated,
book_page_or_ref_doc,Parcel_appraisalfile,Sales_bookpageorrefdoc,Construction Begin,
boundary_comments,Parcel_otherdbrefs,,Construction Material,
buildable_sf,Parcel_supportingfiles,Sites_buildablesf,Number Of Stories,
building_amenities,Sales_saledate,,Total Buildings,
building_class,Sales_transactiontype,Improvement_buildingclass,Typical Floor Size,
building_condition,Sales_id,,RBA,
building_description,Sales_activestatus,Improvement_BuildingDescription,Core Factor,
building_features,Sales_isdeleted,,Primary Corridors,
building_quality,Sales_isexcel,,Amenities,
business_value_adjustment,Sales_confidential,Sales_businessvalueadjustment,Features,
buyer_type,Sales_priceactual,Sales_buyertype,Services,
cap_rate,Sales_ffandeadjustment,Sales_toscaprate,Sewer,
care_type_comments,Sales_excesslandadjustment,Unit Lease Summary_shcaretypecomments,Water,
category,Sales_businessvalueadjustment,Unit Lease_category,Gas,
cbsa_id,Sales_financingtermsadjustment,Parcel_cbsa_id,Heating,
cbsa_name,Sales_conditionsofsaleadjustment,Parcel_cbsa_name,Sprinklers,
ceiling_height,Sales_expendituresaftersaleadjustment,Improvement_ceilingheight,Number Of Elevators,
censusblock,Sales_otheradjustment,Parcel_censusblock,Number Of Parking Spaces,
censustract,Sales_priceadjustment,Parcel_censustract,Parking Ratio,
city,Sales_price,Parcel_city,Parking Spaces/Unit,
clean_up_costs,Sales_pricepersf,Sales_cleanupcosts,Energy Star,
clear_height,Sales_priceperra,Improvement_clearheight,LEED Certified,
client_name,Sales_priceperunit,,University,
column_spacing,Sales_priceperroom,Improvement_columnspacing,Land Area (AC),
comm_lease_comments,Sales_priceperbedroom,Rent Roll Summary_commleasecomments,Land Area (SF),
comm_lease_notes,Sales_priceperbed,Rent Roll Summary_commleasenotes,Parcel Number 1(Min),
comm_lease_survey_date,Sales_pricepermfroom,Rent Roll Summary_commleasesurveydate,Parcel Number 2(Max),
comm_lease_terms,Sales_pricepermfbedroom,Rent Roll Summary_commleaseterms,Proposed Land Use,
comm_lease_type,Sales_priceperlandsf,Rent Roll Summary_CommLeaseType,Zoning,
comm_rent_concessions,Sales_priceperacre,Rent Roll Summary_commrentconcessions,Fema Flood Zone,
comm_rent_per_sf_max,Sales_priceperlandunit,Rent Roll Summary_commrentpersfmax,FEMA Map Date,
comm_rent_per_sf_min,Sales_priceperusableacre,Rent Roll Summary_commrentpersfmin,FEMA Map Identifier,
comm_size_max,Sales_priceperbuildablesf,Rent Roll Summary_commsizemax,FIRM ID,
comm_size_min,Sales_priceperprimaryfrontage,Rent Roll Summary_commsizemin,FIRM Panel Number,
comm_vacancy_rate,Sales_priceperfar,Unit Lease Summary_vacancyrate,Flood Risk Area,
comm_verification_source,Sales_priceperbay,Rent Roll Summary_commverificationsource,Floodplain Area,
commercial_survey_id,Sales_priceperspace,,In SFHA,
community_fee_max,Sales_pricepergbameters,Unit Lease_communityfeemax,Owner Name,
community_fee_min,Sales_priceperrameters,Unit Lease_communityfeemin,Owner Contact,
commvacancy,Sales_priceperlandsqm,Rent Roll Summary_commvacancy,Owner Phone,
concessions,Sales_priceperlandhectares,,True Owner Name,
condition_id,Sales_grantor,Improvement_condition,True Owner Contact,
conditions_of_sale,Sales_grantee,Sales_conditionsofsale,True Owner Phone,
conditions_of_sale_adjustment,Sales_propertyrights,Sales_conditionsofsaleadjustment,Recorded Owner Name,
confidential,Sales_financing,Sales_confidential,Recorded Owner Contact,
construction_class,Sales_conditionsofsale,Improvement_constructionclass,Recorded Owner Phone,
construction_type,Sales_currentuse,Improvement_construction,Property Manager Name,
contract_rent_max,Sales_propertyincluded,Unit Lease_contractrentmax,Property Manager Contact,
contract_rent_min,Sales_daysonmarket,Unit Lease_contractrentmin,Property Manager Phone,
cooling_id,Sales_recordingdate,Improvement_cooling,Leasing Company Name,
cooling_type,Sales_bookpageorrefdoc,,Leasing Company Contact,
corner,Sales_lender,Sites_corner,Leasing Company Phone,
costs_to_finish,Sales_buyertype,,Leasing Company Fax,
country,Sales_proposeduse,Parcel_country,Sales Company,
county,Sales_highestandbestuse,Parcel_county,Sale Company Name,
covered_parking_spaces,Sales_verificationsource,Improvement_coveredparkingspaces,Sale Company Contact,
craneways,Sales_verificationphone,Improvement_craneways,Sale Company Phone,
created_at,Sales_verificationdate,,Sale Company Fax,
created_by_user_id,Sales_datasource,,Sales Contact,
createdby,Sales_salesupportingfiles,Parcel_createdby,Sales Contact Phone,
current_list_price,Sales_legaldescription,Sales_currentlistprice,Primary Agent Name,
current_lp_percent_diff,Sales_finishcondition,Sales_currentlppercentdiff,Developer Name,
current_rent_per_mo,Sales_appraisaldate,,Architect Name,
current_use,Sales_appraisedvalue,Sales_currentuse,Parent Company,
custom_fields,Sales_landvaluepersf,,Fund Name,
daily_rate_per_unit,Sales_landvalue,Unit Lease_dailyrateperunit,$Price/Unit,
daily_rate_per_unit_max,Sales_improvementvalue,Unit Lease_dailyrateperunitmax,For Sale Price,
daily_rate_per_unit_min,Sales_improvementvaluepersf,Unit Lease_dailyrateperunitmin,For Sale Status,
data_source,Sales_pgim,Sales_datasource,Last Sale Date,
days_on_market,Sales_egim,Sales_daysonmarket,Last Sale Price,
deferred_maintenance,Sales_nim,Improvement_deferredmaintance,Cap Rate,
demographics_survey_date,Sales_caprate,Sites_demographicssurveydate,Building Operating Expenses,
depth,Sales_hotelroomrevmultiplier,Sites_depth,Ops Expense,
design_appeal,Sales_toscaprate,Improvement_designappeal,Ops Expense Per SF,
dimensions,Sales_tosegim,Sites_dimensions,Building Tax Expenses,
diminution_source,Sales_tosnoi,Sales_diminutionsource,Tax Year,
discount_rate,Sales_tosoccupancyrate,Sales_discountrate,Taxes Total,
district_name,Sales_tosvacancyrate,,Taxes Per SF,
district_url,Sales_tospriceperrsf,Parcel_districturl,Percent Leased,
districtspending,Sales_tospriceperuseableacreland,Parcel_districtspending,Vacancy %,
drainage,Sales_tospriceperuseablesfland,Sites_drainage,Days On Market,
duration_seconds,Sales_tosnumberoftenants,,Tenancy,
earthquake_hazard_risk,Sales_tostenancytype,Sites_earthquakehazardrisk,Rent Type,
earthquake_zone_comments,Sales_tosweightedaverageleaseterm,Sites_earthquakezonecomments,Rent/SF/Yr,
east_boundary,Sales_toseffectiveage,Parcel_eastboundary,Average Weighted Rent,
eff_rent_per_mo,Sales_discountrate,,Pre-Leasing,
eff_rent_per_year,Sales_expensegrowthrate,,Exp Year,
effective_age,Sales_incomegrowthrate,Improvement_effectiveage,Avg Rent-Direct (Industrial),
effective_gross_income_multiplier,Sales_terminalcaprate,,Avg Rent-Direct (Office),
effective_rent_sf,Sales_holdingperiodyears,Rent Roll_effectiverentsf,Avg Rent-Direct (Retail),
effective_rent_sf_mo,Sales_incomegrowth,Rent Roll_effectiverentsfmo,Avg Rent-Sublet (Industrial),
effective_water_frontage,Sales_riskprofile,Sites_effectivewaterfrontage,Avg Rent-Sublet (Office),
egim,Sales_originallistprice,Sales_egim,Avg Rent-Sublet (Retail),
encumbrance_or_easement,Sales_originallppercentdiff,Sites_encumbranceoreasement,Direct Available Space,
enrollment,Sales_currentlistprice,Parcel_enrollment,Direct Vacant Space,
entry_fee_max,Sales_currentlppercentdiff,Unit Lease_entryfeemax,Sublet Available Space,
entry_fee_min,Sales_environmentalconcerns,Unit Lease_entryfeemin,Sublet Vacant Space,
environmental_concerns,Sales_environmentalstatus,Sales_environmentalconcerns,Total Available Space (SF),
environmental_issues,Sales_environmentalremarks,Sites_environmentalissues,Total Relet Space (SF),
environmental_remarks,Sales_cleanupcosts,Sales_environmentalremarks,Total Sublet Space (SF),
environmental_status,Sales_typeofcontamination,Sales_environmentalstatus,Total Vacant Avail Relet Space (SF),
equalization_ratio,Sales_responsibleparty,Assessment_equalizationratio,Total Vacant Avail Sublet Space (SF),
escalations,Sales_percentdiminutioninvalue,Rent Roll Summary_escalations,Total Vacant Available,
excess_land_adjustment,Sales_diminutionsource,Sales_excesslandadjustment,Total New Space (SF),
expenditures_after_sale_adjustment,Sales_percentstigma,Sales_expendituresaftersaleadjustment,Smallest Available Space,
expense_growth_rate,Sales_adjustmentcomments,Sales_expensegrowthrate,Max Building Contiguous Space,
expense_reimbursements,Sales_internalcomments,incExp_expensereimbursements,Max Floor Contiguous Space,
expense_stop,Sales_salenotes,,Direct Services,
exterior_wall,Sales_salecomments,Improvement_exteriorwall,Sublet Services,
exterior_wall_id,Sales_priceperusableacre,,Office Space,
far,Sales_priceperusablelandsf,Parcel_far,Ceiling Ht,
features,Sites_NumberOfParcels,Improvement_features,Column Spacing,
fema_map_date,Sites_landuse,Sites_femamapdate,Drive Ins,
ff_and_e,Sites_acres,Improvement_ffande,Number Of Cranes,
ff_and_e_adjustment,Sites_landsf,Sales_ffandeadjustment,Number Of Loading Docks,
field_changed,Sites_usableacres,,Power,
field_name,Sites_usablelandsf,,Rail Lines,
field_value,Sites_UnusableAcres,,,
financing,Sites_UnusableLandSF,Sales_financing,,
financing_terms_adjustment,Sites_excessacres,Sales_financingtermsadjustment,,
financing_type,Sites_excesslandsf,incExp_financialstype,,
finish,Sites_SurplusAcres,,,
finish_condition,Sites_SurplusLandSF,Sales_finishcondition,,
fireplace_or_woodstove,Sites_easementacres,Improvement_fireplaceorwoodstove,,
flood_map_panel,Sites_easementlandsf,Sites_floodmappanel,,
flood_zone,Sites_buildablesf,Sites_floodzone,,
floor,Sites_landhectares,Unit Lease_floor,,
floor_area_ratio,Sites_landsquaremeters,,,
floor_level,Sites_allowablefloorareasf,,,
foundation_id,Sites_allowableunits,Improvement_foundation,,
foundation_type,Sites_proposedsf,,,
free_rent_months,Sites_proposedunits,,,
front_set_back_distance,Sites_landunits,,,
garage_parking_spaces,Sites_landunittype,Improvement_garageparkingspaces,,
garage_type,Sites_landunitapprovedorzoned,Improvement_garage,,
gba,Sites_roadfrontage,Improvement_gbaother,,
gba_total,Sites_primaryfrontagelf,Improvement_gbatotal,,
gba_total_meters,Sites_primaryfrontagest,Improvement_gbatotalmeters,,
geo_code,Sites_secondaryfrontagelf,,,
geo_name,Sites_secondaryfrontagest,,,
geo_type,Sites_tertiaryfrontagelf,,,
geography_id,Sites_tertiaryfrontagest,Sites_topography,,
grantee,Sites_dimensions,Sales_grantee,,
grantee_buyer,Sites_waterfrontage,Sales_grantor,,
grantor,Sites_effectivewaterfrontage,Improvement_raother,,
grantor_seller,Sites_depth,,,
gross_building_area,Sites_access,Improvement_gbaoffice,,
heating_id,Sites_views,Improvement_heating,,
heating_type,Sites_visibility,,,
highest_and_best_use,Sites_shape,Sales_highestandbestuse,,
holding_period_years,Sites_topography,Sales_holdingperiodyears,,
home_site_acres,Sites_corner,Sites_homesiteacres,,
hotel_flag,Sites_utilities,Improvement_hotelflag,,
hotel_room_rev_multiplier,Sites_allutilities,Sales_hotelroomrevmultiplier,,
id,Sites_floodzone,Sales_id,,
implied_value,Sites_floodmappanel,Assessment_impliedvalue,,
improvement_assessment,Sites_femamapdate,Assessment_assessmentyear,,
improvement_comments,Sites_withinfloodplainname,incExp_comments,,
improvement_id,Sites_areainfloodzone,Rent Roll Summary_ID,,
improvement_subrecords_condition,Sites_earthquakehazardrisk,,,
improvement_subrecords_construction,Sites_earthquakezonecomments,,,
improvement_subrecords_cooling,Sites_encumbranceoreasement,,,
improvement_subrecords_deferredmaintance,Sites_environmentalissues,,,
improvement_subrecords_docks,Sites_drainage,,,
improvement_subrecords_foundation,Sites_railservice,,,
improvement_subrecords_garage,Sites_demographicssurveydate,,,
improvement_subrecords_heating,Sites_medianhomevalue,,,
improvement_subrecords_landscaping,Sites_medianhouseholdincome,,,
improvement_subrecords_landtobuildingratio,Sites_trafficsurveydate,Improvement_landtobuildingratio,,
improvement_subrecords_loadfactor,Sites_trafficcount,,,
improvement_subrecords_multifamilyamenities,Sites_secondarytrafficcount,,,
improvement_subrecords_noofbathrooms,Sites_tertiarytrafficcount,,,
improvement_subrecords_noofbays,Sites_soiltype,,,
improvement_subrecords_noofbedrooms,Sites_productivityindex,,,
improvement_subrecords_noofbeds,Sites_tillableacres,,,
improvement_subrecords_noofelevators,Sites_percenttillable,,,
improvement_subrecords_noofescalators,Sites_wetlandstype,,,
improvement_subrecords_noofgolfholes,Sites_wetlandacres,,,
improvement_subrecords_noofhalfbaths,Sites_percentwetlands,,,
improvement_subrecords_noofrooms,Sites_woodlandacres,,,
improvement_subrecords_noofseats,Sites_otheracres,,,
improvement_subrecords_noofspaces,Sites_wasteacres,,,
improvement_subrecords_noofstories,Sites_homesiteacres,,,
improvement_subrecords_nooftruckdoors,Sites_sitecomments,,,
improvement_subrecords_nooftruckdoorswithlevelers,Improvement_BuildingDescription,Improvement_nooftruckdoorswithlevelers,,
improvement_subrecords_noofunits,Improvement_noofbuildings,,,
improvement_subrecords_parking,Improvement_constructionclass,,,
improvement_subrecords_parkingadequacy,Improvement_buildingclass,,,
improvement_subrecords_parkingcomments,Improvement_perimeter,,,
improvement_subrecords_parkingcondition,Improvement_sourceforsfarea,,,
improvement_subrecords_parkingtype,Improvement_noofmultifamilyunits,,,
improvement_subrecords_porchordeck,Improvement_gbamultifamily,,,
improvement_subrecords_proportionrenovated,Improvement_ramultifamily,Improvement_proportionrenovated,,
improvement_subrecords_quality,Improvement_noofmultifamilyrooms,,,
improvement_subrecords_ratotalmeters,Improvement_noofmultifamilybedrooms,Improvement_ratotalmeters,,
improvement_subrecords_remainingeconomiclife,Improvement_noofmfbathrooms,Improvement_remainingeconomiclife,,
improvement_subrecords_renovations,Improvement_multifamilyamenities,,,
improvement_subrecords_residentialamenities,Improvement_noofofficeunits,,,
improvement_subrecords_residentialdesign,Improvement_gbaoffice,,,
improvement_subrecords_roofcover,Improvement_raoffice,,,
improvement_subrecords_rooftype,Improvement_usablearea,,,
improvement_subrecords_sourceforsfarea,Improvement_loadfactor,Improvement_sourceforsfarea,,
improvement_subrecords_sprinklers,Improvement_percentoffice,,,
improvement_subrecords_surfaceparkingspaces,Improvement_percentofficera,,,
improvement_subrecords_tenantimprovements,Improvement_noofretailunits,,,
improvement_subrecords_totaleconomiclife,Improvement_gbaretail,Improvement_totaleconomiclife,,
improvement_subrecords_typicalbaydepth,Improvement_raretailgla,,,
improvement_subrecords_usablearea,Improvement_percentretail,,,
improvement_subrecords_yearbuilt,Improvement_noofindustrialunits,,,
improvement_value,Improvement_gbaindustrial,,,
improvement_value_per_sf,Improvement_raindustrial,Sales_landvaluepersf,,
income_growth,Improvement_noofotherunits,Sales_incomegrowth,,
income_growth_rate,Improvement_gbaother,Sales_incomegrowthrate,,
income_target_percent,Improvement_raother,,,
incometarget,Improvement_noofunits,Unit Lease_incometarget,,
industrial_gba,Improvement_gbatotal,,,
industrial_ra,Improvement_ratotal,,,
ingestion_timestamp,Improvement_landtobuildingratio,,,
instance_type,Parcel_far,Rent Roll Summary_instancetype,,
internal_comments,Improvement_surfaceparkingspaces,Sales_internalcomments,,
is_active,Improvement_coveredparkingspaces,,,
is_confidential,Improvement_garageparkingspaces,Rent Roll Summary_confidential,,
is_deleted,Improvement_parking,Sales_isdeleted,,
is_excel_entry,Improvement_parkingratiounit,,,
is_ground_lease,Improvement_parkingratiogba,Parcel_isgroundlease,,
is_lihtc,Improvement_parkingratiora,,,
isexcel,Improvement_noofstories,Sales_isexcel,,
jurisdiction,Improvement_noofrooms,,,
land_assessment,Improvement_noofseats,Assessment_landassessment,,
