FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data,Field Lightboxdata aligned
access,Parcel_createdby,PropertyID,,Sites_access
acres,Parcel_timestamp,Property Name,,Sites_acres
activestatus,Parcel_name,Property Address,,Sales_activestatus
activity_description,Parcel_name,City,,
actual_price,Parcel_appraisalusage,State,,
added_at,Parcel_readyforuse,Zip,,
address,Parcel_propertymajortype,County Name,,Parcel_address
adjustment_comments,Parcel_propertytype,Country,,Sales_adjustmentcomments
adr,Parcel_propertysubtype,Continent,,Improvement_adr
affordability_status,Parcel_owner,Subcontinent,,Unit Lease_affordabilitystatus
all_utilities_to_site,Parcel_address,Cross Street,,Sites_allutilities
allowable_floor_area_sf,Parcel_city,Latitude,,Sites_allowablefloorareasf
allowable_units,Parcel_county,Longitude,,Sites_allowableunits
allutilities,Parcel_state,Market Name,,Sites_utilities
amenities,Parcel_zip,Submarket Name,,Improvement_amenities
anchor_tenants,Parcel_country,Submarket Cluster,,
anchor_type,Parcel_lat,Closest Transit Stop,,Rent Roll_anchortype
anchors,Parcel_lng,Closest Transit Stop Dist (mi),,Rent Roll Summary_anchors
ancillary_buildings,Parcel_parcelverificationdata,Closest Transit Stop Walk Time (min),,Improvement_ancillarybuildings
annual_rent_per_sf,Parcel_isgroundlease,Property Location,,
appraisal_date,Parcel_market,Owner Address,,Sales_appraisaldate
appraisal_file,Parcel_submarket,Owner City State Zip,,Parcel_appraisalfile
appraisal_usage,Parcel_townshiprange,Property Manager Address,,Parcel_appraisalusage
appraised_value,Parcel_municipality,Property Manager City State Zip,,Sales_appraisedvalue
area_category,Parcel_cbsa_name,Recorded Owner Address,,Unit Lease_category
area_in_flood_zone,Parcel_cbsa_id,Recorded Owner City State Zip,,Sites_areainfloodzone
assessment_year,Parcel_msa,True Owner Address,,
assigned_to_user_id,Parcel_censusblock,True Owner City State Zip,,
attribution_id,Parcel_censustract,Leasing Company Address,,
audit_log_id,Parcel_neighborhood,Leasing Company City State Zip,,
authority,Parcel_northboundary,Sale Company Address,,
average_daily_rate,Parcel_southboundary,Sale Company City State Zip,,
avg_asking_rent_sf,Parcel_eastboundary,PropertyType,,
avg_cap_rate,Parcel_westboundary,Secondary Type,,Sales_caprate
avg_mf_unit_size,Parcel_neighborhoodcomments,Building Class,,Unit Lease Summary_avgmfunitsize
back_yard_distance,Parcel_locationdescription,Building Status,,
base_rent_per_mo,Parcel_opportunityzone,Constr Status,,Rent Roll_baserentpermo
base_rent_per_year,Parcel_schooldistrict,Operational Status,,Rent Roll_baserentperyear
base_rent_sf,Parcel_districtspending,Operation Type,,
base_rent_sf_mo,Parcel_districturl,Style,,
base_taxes,Parcel_studentteacherratio,Star Rating,,Assessment_basetaxes
basement_size,Parcel_enrollment,Building Park,,Improvement_basementsize
basement_use_and_finish,Parcel_parcelcomments,Year Built,,Improvement_basementuseandfinish
baths,Sales_pgim,Month Built,,Unit Lease_baths
bedrooms,Sales_egim,Year Renovated,,Unit Lease_bedrooms
beds,Sales_caprate,Month Renovated,,Unit Lease_beds
book_page_or_ref_doc,Parcel_appraisalfile,Construction Begin,,Sales_bookpageorrefdoc
boundary_comments,Parcel_otherdbrefs,Construction Material,,
buildable_sf,Parcel_supportingfiles,Number Of Stories,,
building_amenities,Sales_saledate,Total Buildings,,
building_class,Sales_transactiontype,Typical Floor Size,,Improvement_buildingclass
building_condition,Sales_id,RBA,,
building_description,Sales_activestatus,Core Factor,,Improvement_BuildingDescription
building_features,Sales_isdeleted,Primary Corridors,,
building_quality,Sales_isexcel,Amenities,,
business_value_adjustment,Sales_confidential,Features,,Sales_businessvalueadjustment
buyer_type,Sales_priceactual,Services,,Sales_buyertype
cap_rate,Sales_ffandeadjustment,Sewer,,Sales_toscaprate
care_type_comments,Sales_excesslandadjustment,Water,,Unit Lease Summary_shcaretypecomments
category,Sales_businessvalueadjustment,Gas,,
cbsa_id,Sales_financingtermsadjustment,Heating,,Parcel_cbsa_id
cbsa_name,Sales_conditionsofsaleadjustment,Sprinklers,,Parcel_cbsa_name
ceiling_height,Sales_expendituresaftersaleadjustment,Number Of Elevators,,Improvement_ceilingheight
censusblock,Sales_otheradjustment,Number Of Parking Spaces,,Parcel_censusblock
censustract,Sales_priceadjustment,Parking Ratio,,Parcel_censustract
city,Sales_price,Parking Spaces/Unit,,Parcel_city
clean_up_costs,Sales_pricepersf,Energy Star,,Sales_cleanupcosts
clear_height,Sales_priceperra,LEED Certified,,Improvement_clearheight
client_name,Sales_priceperunit,University,,
column_spacing,Sales_priceperroom,Land Area (AC),,Improvement_columnspacing
comm_lease_comments,Sales_priceperbedroom,Land Area (SF),,Rent Roll Summary_commleasecomments
comm_lease_notes,Sales_priceperbed,Parcel Number 1(Min),,Rent Roll Summary_CommLeaseNotes
comm_lease_survey_date,Sales_pricepermfroom,Parcel Number 2(Max),,Rent Roll Summary_commleasesurveydate
comm_lease_terms,Sales_pricepermfbedroom,Proposed Land Use,,Rent Roll Summary_CommLeaseType
comm_lease_type,Sales_priceperlandsf,Zoning,,
comm_rent_concessions,Sales_priceperacre,Fema Flood Zone,,Rent Roll Summary_commrentconcessions
comm_rent_per_sf_max,Sales_priceperlandunit,FEMA Map Date,,
comm_rent_per_sf_min,Sales_priceperusableacre,FEMA Map Identifier,,
comm_size_max,Sales_priceperbuildablesf,FIRM ID,,
comm_size_min,Sales_priceperprimaryfrontage,FIRM Panel Number,,
comm_vacancy_rate,Sales_priceperfar,Flood Risk Area,,
comm_verification_source,Sales_priceperbay,Floodplain Area,,Sales_verificationsource
commercial_survey_id,Sales_priceperspace,In SFHA,,
community_fee_max,Sales_pricepergbameters,Owner Name,,Unit Lease_communityfeemax
community_fee_min,Sales_priceperrameters,Owner Contact,,Unit Lease_communityfeemin
commvacancy,Sales_priceperlandsqm,Owner Phone,,Rent Roll Summary_commvacancy
concessions,Sales_priceperlandhectares,True Owner Name,,Rent Roll_concessions
condition_id,Sales_grantor,True Owner Contact,,Improvement_condition
conditions_of_sale,Sales_grantee,True Owner Phone,,Sales_conditionsofsale
conditions_of_sale_adjustment,Sales_propertyrights,Recorded Owner Name,,Sales_conditionsofsaleadjustment
confidential,Sales_financing,Recorded Owner Contact,,Sales_confidential
construction_class,Sales_conditionsofsale,Recorded Owner Phone,,Improvement_constructionclass
construction_type,Sales_currentuse,Property Manager Name,,Improvement_construction
contract_rent_max,Sales_propertyincluded,Property Manager Contact,,Unit Lease_contractrentmax
contract_rent_min,Sales_daysonmarket,Property Manager Phone,,Unit Lease_contractrentmin
cooling_id,Sales_recordingdate,Leasing Company Name,,Improvement_cooling
cooling_type,Sales_bookpageorrefdoc,Leasing Company Contact,,
corner,Sales_lender,Leasing Company Phone,,Sites_corner
costs_to_finish,Sales_buyertype,Leasing Company Fax,,Rent Roll_coststofinish
country,Sales_proposeduse,Sales Company,,Parcel_country
county,Sales_highestandbestuse,Sale Company Name,,Parcel_county
covered_parking_spaces,Sales_verificationsource,Sale Company Contact,,Improvement_coveredparkingspaces
craneways,Sales_verificationphone,Sale Company Phone,,Improvement_craneways
created_at,Sales_verificationdate,Sale Company Fax,,
created_by_user_id,Sales_datasource,Sales Contact,,
createdby,Sales_salesupportingfiles,Sales Contact Phone,,Parcel_createdby
current_list_price,Sales_legaldescription,Primary Agent Name,,Sales_currentlistprice
current_lp_percent_diff,Sales_finishcondition,Developer Name,,Sales_currentlppercentdiff
current_rent_per_mo,Sales_appraisaldate,Architect Name,,Rent Roll_CurrentRentPerMo
current_use,Sales_appraisedvalue,Parent Company,,Sales_currentuse
custom_fields,Sales_landvaluepersf,Fund Name,,
daily_rate_per_unit,Sales_landvalue,$Price/Unit,,Unit Lease_dailyrateperunit
daily_rate_per_unit_max,Sales_improvementvalue,For Sale Price,,Unit Lease_dailyrateperunitmax
daily_rate_per_unit_min,Sales_improvementvaluepersf,For Sale Status,,Unit Lease_dailyrateperunitmin
data_source,Sales_pgim,Last Sale Date,,Sales_datasource
days_on_market,Sales_egim,Last Sale Price,,Sales_daysonmarket
deferred_maintenance,Sales_nim,Cap Rate,,Improvement_deferredmaintance
demographics_survey_date,Sales_caprate,Building Operating Expenses,,Sites_demographicssurveydate
depth,Sales_hotelroomrevmultiplier,Ops Expense,,Sites_depth
design_appeal,Sales_toscaprate,Ops Expense Per SF,,Improvement_designappeal
dimensions,Sales_tosegim,Building Tax Expenses,,Sites_dimensions
diminution_source,Sales_tosnoi,Tax Year,,Sales_diminutionsource
discount_rate,Sales_tosoccupancyrate,Taxes Total,,Sales_discountrate
district_name,Sales_tosvacancyrate,Taxes Per SF,,
district_url,Sales_tospriceperrsf,Percent Leased,,Parcel_districturl
districtspending,Sales_tospriceperuseableacreland,Vacancy %,,Parcel_districtspending
drainage,Sales_tospriceperuseablesfland,Days On Market,,Sites_drainage
duration_seconds,Sales_tosnumberoftenants,Tenancy,,
earthquake_hazard_risk,Sales_tostenancytype,Rent Type,,Sites_earthquakehazardrisk
earthquake_zone_comments,Sales_tosweightedaverageleaseterm,Rent/SF/Yr,,Sites_earthquakezonecomments
east_boundary,Sales_toseffectiveage,Average Weighted Rent,,Parcel_eastboundary
eff_rent_per_mo,Sales_discountrate,Pre-Leasing,,Rent Roll_effrentpermo
eff_rent_per_year,Sales_expensegrowthrate,Exp Year,,Rent Roll_effrentperyear
effective_age,Sales_incomegrowthrate,Avg Rent-Direct (Industrial),,Improvement_effectiveage
effective_gross_income_multiplier,Sales_terminalcaprate,Avg Rent-Direct (Office),,
effective_rent_sf,Sales_holdingperiodyears,Avg Rent-Direct (Retail),,
effective_rent_sf_mo,Sales_incomegrowth,Avg Rent-Sublet (Industrial),,Rent Roll_effectiverentsfmo
effective_water_frontage,Sales_riskprofile,Avg Rent-Sublet (Office),,Sites_effectivewaterfrontage
egim,Sales_originallistprice,Avg Rent-Sublet (Retail),,Sales_egim
encumbrance_or_easement,Sales_originallppercentdiff,Direct Available Space,,Sites_encumbranceoreasement
enrollment,Sales_currentlistprice,Direct Vacant Space,,Parcel_enrollment
entry_fee_max,Sales_currentlppercentdiff,Sublet Available Space,,Unit Lease_entryfeemax
entry_fee_min,Sales_environmentalconcerns,Sublet Vacant Space,,Unit Lease_entryfeemin
environmental_concerns,Sales_environmentalstatus,Total Available Space (SF),,Sales_environmentalconcerns
environmental_issues,Sales_environmentalremarks,Total Relet Space (SF),,Sites_environmentalissues
environmental_remarks,Sales_cleanupcosts,Total Sublet Space (SF),,Sales_environmentalremarks
environmental_status,Sales_typeofcontamination,Total Vacant Avail Relet Space (SF),,Sales_environmentalstatus
equalization_ratio,Sales_responsibleparty,Total Vacant Avail Sublet Space (SF),,Assessment_equalizationratio
escalations,Sales_percentdiminutioninvalue,Total Vacant Available,,Rent Roll_escalations
excess_land_adjustment,Sales_diminutionsource,Total New Space (SF),,Sales_excesslandadjustment
expenditures_after_sale_adjustment,Sales_percentstigma,Smallest Available Space,,Sales_expendituresaftersaleadjustment
expense_growth_rate,Sales_adjustmentcomments,Max Building Contiguous Space,,Sales_expensegrowthrate
expense_reimbursements,Sales_internalcomments,Max Floor Contiguous Space,,Rent Roll_expensereimbursements
expense_stop,Sales_salenotes,Direct Services,,Rent Roll_expensestop
exterior_wall,Sales_salecomments,Sublet Services,,Improvement_exteriorwall
exterior_wall_id,Sales_priceperusableacre,Office Space,,
far,Sales_priceperusablelandsf,Ceiling Ht,,Parcel_far
features,Sites_NumberOfParcels,Column Spacing,,Improvement_features
fema_map_date,Sites_landuse,Drive Ins,,Sites_femamapdate
ff_and_e,Sites_acres,Number Of Cranes,,
ff_and_e_adjustment,Sites_landsf,Number Of Loading Docks,,Sales_ffandeadjustment
field_changed,Sites_usableacres,Power,,
field_name,Sites_usablelandsf,Rail Lines,,
field_value,Sites_UnusableAcres,,,
financing,Sites_UnusableLandSF,,,Sales_financing
financing_terms_adjustment,Sites_excessacres,,,Sales_financingtermsadjustment
financing_type,Sites_excesslandsf,,,
finish,Sites_SurplusAcres,,,Rent Roll_finish
finish_condition,Sites_SurplusLandSF,,,Sales_finishcondition
fireplace_or_woodstove,Sites_easementacres,,,Improvement_fireplaceorwoodstove
flood_map_panel,Sites_easementlandsf,,,Sites_floodmappanel
flood_zone,Sites_buildablesf,,,Sites_floodzone
floor,Sites_landhectares,,,Unit Lease_floor
floor_area_ratio,Sites_landsquaremeters,,,
floor_level,Sites_allowablefloorareasf,,,Rent Roll_floorlevel
foundation_id,Sites_allowableunits,,,Improvement_foundation
foundation_type,Sites_proposedsf,,,
free_rent_months,Sites_proposedunits,,,Rent Roll_freerentmonths
front_set_back_distance,Sites_landunits,,,
garage_parking_spaces,Sites_landunittype,,,Improvement_garageparkingspaces
garage_type,Sites_landunitapprovedorzoned,,,
gba,Sites_roadfrontage,,,
gba_total,Sites_primaryfrontagelf,,,
gba_total_meters,Sites_primaryfrontagest,,,
geo_code,Sites_secondaryfrontagelf,,,
geo_name,Sites_secondaryfrontagest,,,
geo_type,Sites_tertiaryfrontagelf,,,
geography_id,Sites_tertiaryfrontagest,,,
grantee,Sites_dimensions,,,Sales_grantee
grantee_buyer,Sites_waterfrontage,,,
grantor,Sites_effectivewaterfrontage,,,Sales_grantor
grantor_seller,Sites_depth,,,
gross_building_area,Sites_access,,,
heating_id,Sites_views,,,Improvement_heating
heating_type,Sites_visibility,,,
highest_and_best_use,Sites_shape,,,Sales_highestandbestuse
holding_period_years,Sites_topography,,,Sales_holdingperiodyears
home_site_acres,Sites_corner,,,Sites_homesiteacres
hotel_flag,Sites_utilities,,,Improvement_hotelflag
hotel_room_rev_multiplier,Sites_allutilities,,,Sales_hotelroomrevmultiplier
id,Sites_floodzone,,,Sales_id
implied_value,Sites_floodmappanel,,,Assessment_impliedvalue
improvement_assessment,Sites_femamapdate,,,Assessment_assessmentyear
improvement_comments,Sites_withinfloodplainname,,,Rent Roll_comments
improvement_id,Sites_areainfloodzone,,,Rent Roll Summary_ID
improvement_subrecords_condition,Sites_earthquakehazardrisk,,,Rent Roll_leaseconditions
improvement_subrecords_construction,Sites_earthquakezonecomments,,,
improvement_subrecords_cooling,Sites_encumbranceoreasement,,,
improvement_subrecords_deferredmaintance,Sites_environmentalissues,,,
improvement_subrecords_docks,Sites_drainage,,,Improvement_docks
improvement_subrecords_foundation,Sites_railservice,,,
improvement_subrecords_garage,Sites_demographicssurveydate,,,Improvement_garage
improvement_subrecords_heating,Sites_medianhomevalue,,,
improvement_subrecords_landscaping,Sites_medianhouseholdincome,,,Improvement_landscaping
improvement_subrecords_landtobuildingratio,Sites_trafficsurveydate,,,Improvement_landtobuildingratio
improvement_subrecords_loadfactor,Sites_trafficcount,,,Improvement_loadfactor
improvement_subrecords_multifamilyamenities,Sites_secondarytrafficcount,,,Improvement_multifamilyamenities
improvement_subrecords_noofbathrooms,Sites_tertiarytrafficcount,,,Improvement_noofbathrooms
improvement_subrecords_noofbays,Sites_soiltype,,,Improvement_noofbays
improvement_subrecords_noofbedrooms,Sites_productivityindex,,,Improvement_noofbedrooms
improvement_subrecords_noofbeds,Sites_tillableacres,,,Improvement_noofbeds
improvement_subrecords_noofelevators,Sites_percenttillable,,,Improvement_noofelevators
improvement_subrecords_noofescalators,Sites_wetlandstype,,,Improvement_noofescalators
improvement_subrecords_noofgolfholes,Sites_wetlandacres,,,Improvement_noofgolfholes
improvement_subrecords_noofhalfbaths,Sites_percentwetlands,,,Improvement_noofhalfbaths
improvement_subrecords_noofrooms,Sites_woodlandacres,,,Improvement_noofrooms
improvement_subrecords_noofseats,Sites_otheracres,,,Improvement_noofseats
improvement_subrecords_noofspaces,Sites_wasteacres,,,Improvement_noofspaces
