Initial ERD Fields,Updated ERD Fields,Merged ERD Fields,Field LightBox Data,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
access,access,access,Assessment_assessmentcomments,Sites_access,$Price/Unit,
acres,activity_description,acres,Assessment_assessmentyear,Sites_acres,Amenities,
activestatus,actual_price,activestatus,Assessment_assessorwebsite,Sales_activestatus,Architect Name,
activity_description,added_at,activity_description,Assessment_basetaxes,,Average Weighted Rent,
added_at,address,actual_price,Assessment_equalizationratio,,Avg Rent-Direct (Industrial),
address,adjustment_comments,added_at,Assessment_historicalassessedvalue1,,Avg Rent-Direct (Office),
adjustmentcomments,affordability_status,address,Assessment_historicalassessedvalue2,Parcel_address,Avg Rent-Direct (Retail),
adr,all_utilities_to_site,adjustment_comments,Assessment_historicalassessedvalue3,Sales_adjustmentcomments,Avg Rent-Sublet (Industrial),
affordabilitystatus,allowable_floor_area_sf,adr,Assessment_historicalassessedvalue4,Improvement_adr,Avg Rent-Sublet (Office),
allowablefloorareasf,allowable_units,affordability_status,Assessment_historicalimprovvalue1,Unit Lease_affordabilitystatus,Avg Rent-Sublet (Retail),
allowableunits,anchor_tenants,all_utilities_to_site,Assessment_historicalimprovvalue2,Sites_allutilities,Building Class,
allutilities,anchor_type,allowable_floor_area_sf,Assessment_historicalimprovvalue3,Sites_allowablefloorareasf,Building Operating Expenses,
amenities,ancillary_buildings,allowable_units,Assessment_historicalimprovvalue4,Sites_allowableunits,Building Park,
anchors,annual_rent_per_sf,allutilities,Assessment_historicallandvalue1,Sites_utilities,Building Status,
anchortype,appraisal_date,amenities,Assessment_historicallandvalue2,Improvement_amenities,Building Tax Expenses,
ancillarybuildings,appraisal_file,anchor_tenants,Assessment_historicallandvalue3,,Cap Rate,
annualrentpersf,appraisal_usage,anchor_type,Assessment_historicallandvalue4,Rent Roll_anchortype,Ceiling Ht,
appraisaldate,appraised_value,anchors,Assessment_historicaltaxes1,Rent Roll Summary_anchors,City,
appraisalfile,area_category,ancillary_buildings,Assessment_historicaltaxes2,Improvement_ancillarybuildings,Closest Transit Stop,
appraisalusage,area_in_flood_zone,annual_rent_per_sf,Assessment_historicaltaxes3,,Closest Transit Stop Dist (mi),
appraisedvalue,assessment_year,appraisal_date,Assessment_historicaltaxes4,Sales_appraisaldate,Closest Transit Stop Walk Time (min),
area_category,assigned_to_user_id,appraisal_file,Assessment_historicalyear1,Parcel_appraisalfile,Column Spacing,
areainfloodzone,attribution_id,appraisal_usage,Assessment_historicalyear2,Parcel_appraisalusage,Constr Status,
assigned_to_user_id,audit_log_id,appraised_value,Assessment_historicalyear3,Sales_appraisedvalue,Construction Begin,
attribution_id,average_daily_rate,area_category,Assessment_historicalyear4,Unit Lease_category,Construction Material,
audit_log_id,avg_asking_rent_sf,area_in_flood_zone,Assessment_impliedvalue,Sites_areainfloodzone,Continent,
authority,avg_cap_rate,assessment_year,Assessment_improvementassessment,,Core Factor,
avgmfunitsize,avg_mf_unit_size,assigned_to_user_id,Assessment_landassessment,,Country,
backyarddistance,back_yard_distance,attribution_id,Assessment_marketvalue,,County Name,
