Web Page Name,Web Display Name,Excel Template Name,Description,Date Added,Version,Data Type,Display Format,Interface Calculation,API Object,API Field Name,Enumeration ID,Model,API Object_API Field Name,Property Type,,,,,
General,Parcel ID,ID,Report Writer's internal Database ID,1/25/2014,,int,,,Parcel,id,,"public int ParcelId { get => Id;
            set { } }",Parcel_id,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Created By,Created By,Property Created By (User Name),9/24/2018,,varchar,,,Parcel,createdby,,public int? CreatedBy { get; set; },Parcel_createdby,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Creation Date,Time Stamp,Date Comparable created.,9/24/2018,,datetime,,,Parcel,timestamp,,public DateTime? TimeStamp { get; set; },Parcel_timestamp,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Name,Name,Property Name,1/25/2014,,string,,,Parcel,name,,public string Name { get; set; },Parcel_name,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Name,Property Name,Property Name,1/25/2014,,string,,,Parcel,name,,public string Name { get; set; },Parcel_name,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Appraisal Usage,Appraisal Usage,"Appraisal Usage (Subject, Comparable or Both)",3/8/2018,,string,DDL,,Parcel,appraisalusage,LK_AppraisalUsage,public int AppraisalUsageId { get; set; } = 3; // Defaults to LK_AppraisalUsage.Both,Parcel_appraisalusage,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Ready For Use?,Ready for Use,Has this property been reviewed and is it ready for use in a report?,3/23/2018,,Boolean,,,Parcel,readyforuse,,public bool ReadyForUse { get; set; },Parcel_readyforuse,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Property Major Type,Property Major Type,Property Major Type,1/25/2014,,string,DDL,,Parcel,propertymajortype,,public string PropertyMajorType { get; set; },Parcel_propertymajortype,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Property Type,Property Type,Property Type,1/25/2014,,string,DDL,,Parcel,propertytype,,public string PropertyType { get; set; },Parcel_propertytype,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Property Sub Type,Property Sub Type,Property Sub Type,1/25/2014,,string,DDL,,Parcel,propertysubtype,,public string PropertySubType { get; set; },Parcel_propertysubtype,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Owner,Owner,One who has the legal or rightful title to a property.,8/28/2020,1.20.2,text,,,Parcel,owner,,public string Owner { get; set; },Parcel_owner,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Address,Address,Address,1/25/2014,,varchar,General,,Parcel,address,,public string Address { get; set; },Parcel_address,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,City,City,City,1/25/2014,,varchar,General,,Parcel,city,,"public string City { get; set; }
        // Default to USA if not set.",Parcel_city,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,County,County,County,1/25/2014,,varchar,General,,Parcel,county,,public string County { get; set; },Parcel_county,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,State/Prov.,State,State,1/25/2014,,string,DDL,,Parcel,state,LK_ViewState,"public string State
        {
            get => string.IsNullOrEmpty(_state)
                ? ((LK_ViewState) StateId == LK_ViewState.U_u
                    ? null
                    : ((LK_ViewState) StateId).ToString().Split('_')[1].Trim().ToUpper())
                : _state;
            set
            {
                _state = value;
                StateId = string.IsNullOrEmpty(value)
                    ? (int) LK_ViewState.U_u
                    : (int) Enum.Parse(typeof(LK_ViewState), Util.Pascalize($""{CountryCode}_{value}""));  
            }
        }",Parcel_state,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Zip/Postal,Zip,Zip (Postal Code),1/25/2014,,varchar,,,Parcel,zip,,public string Zip { get; set; },Parcel_zip,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Country,Country,Country which Parcel resides in.,1/30/2019,,varchar,General,,Parcel,country,LK_ViewCountry,public string CountryCode => ((LK_ViewCountry)CountryId).ToString().ToUpper();,Parcel_country,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
General,Latitude,Latitude,Latitude,1/25/2014,,double,@,,Parcel,lat,,public double? Lat { get; set; },Parcel_lat,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
