Entities Name,Updated ERD Field Names,CoStar Source Fields,GreenST market data,Trepp Fields
property_type_ref,property_type_id,Property Type,Property Type,
,major_type,Secondary Type,Property Class Name,
,property_type,,,
,sub_type,,,
,is_active,,,
Geography,geography_id,Market Name,Geography Name,address
,geo_type,Submarket Name,Geography Code,city
,geo_name,Submarket Cluster,CBSA Code,county
,geo_code,City,Geography Type,state
,parent_geo_id,State,Population,zip
,lat_centroid,Zip,Median Household Income,msa
,lng_centroid,County Name,Households,msaname
,north_boundary,Country,Industrial Employment,latitude
,south_boundary,Continent,Office Employment,longitude
,east_boundary,Subcontinent,Total Employment,
,west_boundary,Closest Transit Stop,,
,boundary_comments,Closest Transit Stop Dist (mi),,
,opportunity_zone,Closest Transit Stop Walk Time (min),,
,vacancy_rate,,,
,avg_asking_rent_sf,,,
,avg_cap_rate,,,
,population,,,
,median_hh_income,,,
,median_home_value,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
Property,property_id,Property Address,,property_id
,parcel_id,Property Name,,file_id
,geography_id,PropertyID,,property_name
,lightbox_id,Condo,,property_type
,lightbox_created_by,Collateral Type,,propertysubtype
,lightbox_timestamp,,,propertysubtype2
,name,,,prop_units
,appraisal_usage,,,prop_sqft
,ready_for_use,,,year_built
,property_type_id,,,year_renovated
,owner,,,occupancy
,address,,,occupancy_date
,lat,,,prop_bloomberg_name
,lng,,,stmt_sqft
,parcel_verification_data,,,stmt_units
,is_ground_lease,,,stmt_occ_rate
,parcel_comments,,,mr_occ_rate
,appraisal_file,,,calc_occ_rate
,other_db_refs,,,
,supporting_files,,,
,floor_area_ratio,,,
,custom_fields,,,
,created_at,,,
,updated_at,,,
,created_by_user_id,,,
,updated_by_user_id,,,
school_district,school_district_id,,,
,geography_id,,,
,district_name,,,
,district_url,,,
,enrollment,,,
,student_teacher_ratio,,,
,per_pupil_spending,,,
,created_at,,,
,updated_at,,,
project,project_id,,,statement_id
,project_name,,,stmt_type
,client_name,,,source
,status,,,
,created_by_user_id,,,
,created_at,,,
project_property,project_property_id,,,
,project_id,,,
,property_id,,,
,assigned_to_user_id,,,
,added_at,,,
site,site_id,Fema Flood Zone,,
,property_id,FEMA Map Date,,
,number_of_parcels,FEMA Map Identifier,,
,land_use,FIRM ID,,
,site_acres,FIRM Panel Number,,
,land_sf,Flood Risk Area,,
,buildable_sf,Floodplain Area,,
,land_hectares,In SFHA,,
,land_square_meters,Land Area (AC),,
,allowable_floor_area_sf,Land Area (SF),,
,allowable_units,,,
,proposed_sf,,,
,proposed_units,,,
,land_units,,,
,land_unit_type,,,
,land_unit_approved_or_zoned,,,
,road_frontage,,,
,primary_frontage_lf,,,
,primary_frontage_st,,,
,secondary_frontage_lf,,,
,secondary_frontage_st,,,
,tertiary_frontage_lf,,,
,tertiary_frontage_st,,,
,site_dimensions,,,
,water_frontage,,,
,effective_water_frontage,,,
,depth,,,
,access,,,
,site_views,,,
,site_visibility,,,
,shape,,,
,site_topography,,,
,corner,,,
