Entity,Semantic Concept,Updated ERD Field Names,CoStar Source Fields,GreenST market data,Trepp Fields,Match Type
property_type_ref,property_class_name,major_type,,Property Class Name,,full
property_type_ref,property_type,property_type,Property Type,Property Type,,full
property_type_ref,is_active,is_active,,,,partial
property_type_ref,property_subtype,sub_type,,,,partial
property_type_ref,secondarytype,,Secondary Type,,,unmatched
property_type_ref,typeid,property_type_id,,,,unmatched
Geography,city_name,,City,,city,full
Geography,county_name,,County Name,,county,full
Geography,geography_code,geo_code,,Geography Code,,full
Geography,lat_centroid,lat_centroid,,,latitude,full
Geography,lng_centroid,lng_centroid,,,longitude,full
Geography,median_household_income,median_hh_income,,Median Household Income,,full
Geography,metro_name,,,CBSA Code,msa | msaname,full
Geography,population_count,population,,Population,,full
Geography,postal_code,,Zip,,zip,full
Geography,property_name,geo_name,,Geography Name,,full
Geography,property_type,geo_type,,Geography Type,,full
Geography,state_code,,State,,state,full
Geography,comm_vacancy_rate,vacancy_rate,,,,partial
Geography,continentname,,Continent,,,partial
Geography,country_name,,Country,,,partial
Geography,created_by_user_id,created_by_user_id,,,,partial
Geography,date_updated,updated_at,,,,partial
Geography,ingestion_timestamp,created_at,,,,partial
Geography,median_home_value,median_home_value,,,,partial
Geography,parent_geo_id,parent_geo_id,,,,partial
Geography,property_address,,,,address,partial
Geography,property_id,geography_id,,,,partial
Geography,submarket_name,,Submarket Name,,,partial
Geography,updated_by_user_id,updated_by_user_id,,,,partial
Geography,avgaskingrentsf,avg_asking_rent_sf,,,,unmatched
Geography,avgcaprate,avg_cap_rate,,,,unmatched
Geography,boundarycomments,boundary_comments,,,,unmatched
Geography,closesttransitstop,,Closest Transit Stop,,,unmatched
Geography,closesttransitstopdist(mi),,Closest Transit Stop Dist (mi),,,unmatched
Geography,closesttransitstopwalktime(min),,Closest Transit Stop Walk Time (min),,,unmatched
Geography,eastboundary,east_boundary,,,,unmatched
Geography,households,,,Households,,unmatched
Geography,industrialemployment,,,Industrial Employment,,unmatched
Geography,marketname,,Market Name,,,unmatched
Geography,northboundary,north_boundary,,,,unmatched
