LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
_constructionclassid,% 1-Bed,access,Sites_access
_sourceforsfareaid,% 2-Bed,acres,Sites_acres
Assessment_assessmentcomments,% 3-Bed,anchor_type,
Assessment_assessmentyear,% 4-Bed,appraisal_file,Parcel_appraisalfile
Assessment_assessorwebsite,% Studios,activestatus,Sales_activestatus
Assessment_basetaxes,$Price/Unit,activity_description,
Assessment_equalizationratio,Affordable Type,actual_price,
Assessment_historicalassessedvalue1,Amenities,added_at,
Assessment_historicalassessedvalue2,Architect Name,address,Parcel_address
Assessment_historicalassessedvalue3,Avg Asking/Bed,adjustment_comments,Sales_adjustmentcomments
Assessment_historicalassessedvalue4,Avg Asking/SF,adr,Improvement_adr
Assessment_historicalimprovvalue1,Avg Asking/Unit,affordability_status,Unit Lease_affordabilitystatus
Assessment_historicalimprovvalue2,Avg Concessions %,all_utilities_to_site,Sites_allutilities
Assessment_historicalimprovvalue3,Avg Effective/SF,allowable_floor_area_sf,Sites_allowablefloorareasf
Assessment_historicalimprovvalue4,Avg Effective/Unit,allowable_units,Sites_allowableunits
Assessment_historicallandvalue1,Avg Unit SF,allutilities,Sites_utilities
Assessment_historicallandvalue2,Building Class,amenities,Improvement_amenities
Assessment_historicallandvalue3,Building Operating Expenses,anchor_tenants,
Assessment_historicallandvalue4,Building Park,back_yard_distance,Zoning_Subrecords_backyarddistance
Assessment_historicaltaxes1,Building Status,anchors,
Assessment_historicaltaxes2,Building Tax Expenses,ancillary_buildings,Improvement_ancillarybuildings
Assessment_historicaltaxes3,Cap Rate,annual_rent_per_sf,
Assessment_historicaltaxes4,City,appraisal_date,Sales_appraisaldate
Assessment_historicalyear1,Closest Transit Stop,appraisal_usage,Parcel_appraisalusage
Assessment_historicalyear2,Closest Transit Stop Dist (mi),appraised_value,Sales_appraisedvalue
Assessment_historicalyear3,Closest Transit Stop Walk Time (min),area_category,Unit Lease_category
Assessment_historicalyear4,Constr Status,area_in_flood_zone,Sites_areainfloodzone
Assessment_impliedvalue,Construction Begin,assessment_year,
Assessment_improvementassessment,Construction Material,assigned_to_user_id,
Assessment_landassessment,Continent,attribution_id,
Assessment_marketvalue,Core Factor,audit_log_id,
Assessment_otherassessment,Country,authority,
Assessment_specialassessments,County Name,average_daily_rate,
Assessment_Subparcels OLD_impliedvalue,Cross Street,avg_asking_rent_sf,
Assessment_Subparcels_,Developer Name,avg_cap_rate,Sales_caprate
Assessment_Subparcels_assessinfoid,Energy Star,avg_mf_unit_size,Unit Lease Summary_avgmfunitsize
Assessment_Subparcels_assessmentyear,Features,base_rent_per_mo,Unit Lease_rentpermo
Assessment_Subparcels_basetaxes,Fema Flood Zone,base_rent_per_year,
Assessment_Subparcels_equalizationratio,FEMA Map Date,base_rent_sf,
Assessment_Subparcels_id,FEMA Map Identifier,base_rent_sf_mo,
Assessment_Subparcels_impliedvalue,FIRM ID,base_taxes,Assessment_basetaxes
Assessment_Subparcels_improvementassessment,FIRM Panel Number,basement_size,Improvement_basementsize
Assessment_Subparcels_isdeleted,Flood Risk Area,basement_use_and_finish,Improvement_basementuseandfinish
Assessment_Subparcels_landassessment,Floodplain Area,baths,Unit Lease_baths
Assessment_Subparcels_marketvalue,For Sale Price,bedrooms,Unit Lease_bedrooms
Assessment_Subparcels_otherassessment,For Sale Status,beds,Unit Lease_beds
Assessment_Subparcels_specialassessments,Four Bedroom Asking Rent/Bed,book_page_or_ref_doc,Sales_bookpageorrefdoc
Assessment_Subparcels_taxes,Four Bedroom Asking Rent/SF,boundary_comments,
Assessment_Subparcels_taxid,Four Bedroom Asking Rent/Unit,buildable_sf,
Assessment_Subparcels_taxingauthority,Four Bedroom Avg SF,building_amenities,
Assessment_Subparcels_taxrate,Four Bedroom Concessions %,building_class,Improvement_buildingclass
Assessment_Subparcels_taxratecode,Four Bedroom Effective Rent/Bed,building_condition,
Assessment_Subparcels_taxrateper,Four Bedroom Effective Rent/SF,building_description,Improvement_BuildingDescription
Assessment_Subparcels_taxyear,Four Bedroom Effective Rent/Unit,building_features,
Assessment_Subparcels_totalassessment,Four Bedroom Vacancy %,building_quality,
Assessment_taxes,Four Bedroom Vacant Units,business_value_adjustment,Sales_businessvalueadjustment
Assessment_taxesperacre,Fund Name,buyer_type,Sales_buyertype
Assessment_taxespergbam2,Gas,cap_rate,Sales_toscaprate
Assessment_taxesperhectares,Heating,care_type_comments,Unit Lease Summary_shcaretypecomments
Assessment_taxesperlandm2,In SFHA,category,
Assessment_taxesperlandsf,Land Area (AC),cbsa_id,Parcel_cbsa_id
Assessment_taxesperlandunit,Land Area (SF),cbsa_name,Parcel_cbsa_name
Assessment_taxesperra,Last Sale Date,ceiling_height,Improvement_ceilingheight
Assessment_taxesperram2,Last Sale Price,censusblock,Parcel_censusblock
Assessment_taxespersfgba,Latitude,censustract,Parcel_censustract
Assessment_taxesperunit,Leasing Company Address,city,Parcel_city
Assessment_taxid,Leasing Company City State Zip,comm_lease_comments,
Assessment_taxingauthority,Leasing Company Contact,clean_up_costs,Sales_cleanupcosts
Assessment_taxrate,Leasing Company Fax,clear_height,Improvement_Subrecords_clearheight
Assessment_taxratecode,Leasing Company Name,client_name,
Assessment_taxrateper,Leasing Company Phone,column_spacing,Improvement_columnspacing
Assessment_taxyear,LEED Certified,comm_lease_notes,
Assessment_totalassessment,Longitude,comm_lease_terms,
Improvement_adr,Market Name,comm_lease_type,
Improvement_amenities,Month Built,comm_rent_concessions,
Improvement_ancillarybuildings,Month Renovated,comm_rent_per_sf_max,
Improvement_basementsize,Number Of 1 Bedrooms Units,comm_rent_per_sf_min,
Improvement_basementuseandfinish,Number Of 2 Bedrooms Units,comm_size_max,
Improvement_buildingclass,Number Of 3 Bedrooms Units,comm_size_min,
Improvement_BuildingDescription,Number Of 4 Bedrooms Units,comm_vacancy_rate,
Improvement_ceilingheight,Number of Beds,comm_verification_source,Sales_verificationsource
Improvement_columnspacing,Number Of Elevators,commercial_survey_id,
Improvement_condition,Number Of Parking Spaces,community_fee_max,Unit Lease_communityfeemax
Improvement_construction,Number Of Stories,community_fee_min,Unit Lease_communityfeemin
Improvement_constructionclass,Number Of Studios Units,commvacancy,
Improvement_cooling,Number Of Units,concessions,Unit Lease Summary_mfrentconcessions
Improvement_coveredparkingspaces,One Bedroom Asking Rent/Bed,condition_id,Improvement_Subrecords_conditionid
Improvement_deferredmaintance,One Bedroom Asking Rent/SF,conditions_of_sale,Improvement_condition
Improvement_designappeal,One Bedroom Asking Rent/Unit,conditions_of_sale_adjustment,Sales_conditionsofsaleadjustment
Improvement_docks,One Bedroom Avg SF,confidential,Sales_confidential
Improvement_effectiveage,One Bedroom Concessions %,construction_type,Improvement_construction
Improvement_exteriorwall,One Bedroom Effective Rent/Bed,contract_rent_max,Unit Lease_contractrentmax
Improvement_features,One Bedroom Effective Rent/SF,contract_rent_min,Unit Lease_contractrentmin
Improvement_ffande,One Bedroom Effective Rent/Unit,cooling_id,Improvement_Subrecords_coolingid
Improvement_fireplaceorwoodstove,One Bedroom Vacancy %,cooling_type,Improvement_cooling
Improvement_foundation,One Bedroom Vacant Units,corner,Sites_corner
Improvement_garage,Operation Type,costs_to_finish,
Improvement_garageparkingspaces,Operational Status,country,Parcel_country
Improvement_gbamultifamily,Ops Expense,county,Parcel_county
Improvement_gbamultifamilymeters,Ops Expense Per SF,covered_parking_spaces,Improvement_coveredparkingspaces
Improvement_gbaother,Owner Address,craneways,
Improvement_gbaothermeters,Owner City State Zip,created_at,
Improvement_gbatotal,Owner Contact,created_by_user_id,
Improvement_gbatotalmeters,Owner Name,createdby,Parcel_createdby
Improvement_heating,Owner Phone,current_lp_percent_diff,Sales_currentlppercentdiff
Improvement_hotelflag,Parcel Number 1(Min),current_rent_per_mo,
Improvement_improvmentcomments,Parcel Number 2(Max),current_use,Sales_currentuse
Improvement_landscaping,Parent Company,custom_fields,
Improvement_landtobuildingratio,Parking Ratio,daily_rate_per_unit,Unit Lease_dailyrateperunit
Improvement_lhoccupancy,Parking Spaces/Unit,daily_rate_per_unit_max,Unit Lease_dailyrateperunitmax
Improvement_multifamilyamenities,Primary Agent Name,daily_rate_per_unit_min,Unit Lease_dailyrateperunitmin
Improvement_noofbathrooms,Primary Corridors,data_source,Sales_datasource
Improvement_noofbedrooms,Property Address,days_on_market,Sales_daysonmarket
Improvement_noofbeds,Property Location,deferred_maintenance,Improvement_deferredmaintance
Improvement_noofbuildings,Property Manager Address,demographics_survey_date,Sites_demographicssurveydate
Improvement_noofelevators,Property Manager City State Zip,depth,Sites_depth
