LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
_constructionclassid,% 1-Bed,access
_sourceforsfareaid,% 2-Bed,acres
Assessment_assessmentcomments,% 3-Bed,anchor_type
Assessment_assessmentyear,% 4-Bed,appraisal_file
Assessment_assessorwebsite,% Studios,activestatus
Assessment_basetaxes,$Price/Unit,activity_description
Assessment_equalizationratio,Affordable Type,actual_price
Assessment_historicalassessedvalue1,Amenities,added_at
Assessment_historicalassessedvalue2,Architect Name,address
Assessment_historicalassessedvalue3,Avg Asking/Bed,adjustment_comments
Assessment_historicalassessedvalue4,Avg Asking/SF,adr
Assessment_historicalimprovvalue1,Avg Asking/Unit,affordability_status
Assessment_historicalimprovvalue2,Avg Concessions %,all_utilities_to_site
Assessment_historicalimprovvalue3,Avg Effective/SF,allowable_floor_area_sf
Assessment_historicalimprovvalue4,Avg Effective/Unit,allowable_units
Assessment_historicallandvalue1,Avg Unit SF,allutilities
Assessment_historicallandvalue2,Building Class,amenities
Assessment_historicallandvalue3,Building Operating Expenses,anchor_tenants
Assessment_historicallandvalue4,Building Park,back_yard_distance
Assessment_historicaltaxes1,Building Status,anchors
Assessment_historicaltaxes2,Building Tax Expenses,ancillary_buildings
Assessment_historicaltaxes3,Cap Rate,annual_rent_per_sf
Assessment_historicaltaxes4,City,appraisal_date
Assessment_historicalyear1,Closest Transit Stop,appraisal_usage
Assessment_historicalyear2,Closest Transit Stop Dist (mi),appraised_value
Assessment_historicalyear3,Closest Transit Stop Walk Time (min),area_category
Assessment_historicalyear4,Constr Status,area_in_flood_zone
Assessment_impliedvalue,Construction Begin,assessment_year
Assessment_improvementassessment,Construction Material,assigned_to_user_id
Assessment_landassessment,Continent,attribution_id
Assessment_marketvalue,Core Factor,audit_log_id
Assessment_otherassessment,Country,authority
Assessment_specialassessments,County Name,average_daily_rate
Assessment_Subparcels OLD_impliedvalue,Cross Street,avg_asking_rent_sf
Assessment_Subparcels_,Developer Name,avg_cap_rate
Assessment_Subparcels_assessinfoid,Energy Star,avg_mf_unit_size
Assessment_Subparcels_assessmentyear,Features,base_rent_per_mo
Assessment_Subparcels_basetaxes,Fema Flood Zone,base_rent_per_year
Assessment_Subparcels_equalizationratio,FEMA Map Date,base_rent_sf
Assessment_Subparcels_id,FEMA Map Identifier,base_rent_sf_mo
Assessment_Subparcels_impliedvalue,FIRM ID,base_taxes
Assessment_Subparcels_improvementassessment,FIRM Panel Number,basement_size
Assessment_Subparcels_isdeleted,Flood Risk Area,basement_use_and_finish
Assessment_Subparcels_landassessment,Floodplain Area,baths
Assessment_Subparcels_marketvalue,For Sale Price,bedrooms
Assessment_Subparcels_otherassessment,For Sale Status,beds
Assessment_Subparcels_specialassessments,Four Bedroom Asking Rent/Bed,book_page_or_ref_doc
Assessment_Subparcels_taxes,Four Bedroom Asking Rent/SF,boundary_comments
Assessment_Subparcels_taxid,Four Bedroom Asking Rent/Unit,buildable_sf
Assessment_Subparcels_taxingauthority,Four Bedroom Avg SF,building_amenities
Assessment_Subparcels_taxrate,Four Bedroom Concessions %,building_class
Assessment_Subparcels_taxratecode,Four Bedroom Effective Rent/Bed,building_condition
Assessment_Subparcels_taxrateper,Four Bedroom Effective Rent/SF,building_description
Assessment_Subparcels_taxyear,Four Bedroom Effective Rent/Unit,building_features
Assessment_Subparcels_totalassessment,Four Bedroom Vacancy %,building_quality
Assessment_taxes,Four Bedroom Vacant Units,business_value_adjustment
Assessment_taxesperacre,Fund Name,buyer_type
Assessment_taxespergbam2,Gas,cap_rate
Assessment_taxesperhectares,Heating,care_type_comments
Assessment_taxesperlandm2,In SFHA,category
Assessment_taxesperlandsf,Land Area (AC),cbsa_id
Assessment_taxesperlandunit,Land Area (SF),cbsa_name
Assessment_taxesperra,Last Sale Date,ceiling_height
Assessment_taxesperram2,Last Sale Price,censusblock
Assessment_taxespersfgba,Latitude,censustract
Assessment_taxesperunit,Leasing Company Address,city
Assessment_taxid,Leasing Company City State Zip,comm_lease_comments
Assessment_taxingauthority,Leasing Company Contact,clean_up_costs
Assessment_taxrate,Leasing Company Fax,clear_height
Assessment_taxratecode,Leasing Company Name,client_name
Assessment_taxrateper,Leasing Company Phone,column_spacing
Assessment_taxyear,LEED Certified,comm_lease_notes
Assessment_totalassessment,Longitude,comm_lease_terms
Improvement_adr,Market Name,comm_lease_type
Improvement_amenities,Month Built,comm_rent_concessions
Improvement_ancillarybuildings,Month Renovated,comm_rent_per_sf_max
Improvement_basementsize,Number Of 1 Bedrooms Units,comm_rent_per_sf_min
Improvement_basementuseandfinish,Number Of 2 Bedrooms Units,comm_size_max
Improvement_buildingclass,Number Of 3 Bedrooms Units,comm_size_min
Improvement_BuildingDescription,Number Of 4 Bedrooms Units,comm_vacancy_rate
Improvement_ceilingheight,Number of Beds,comm_verification_source
Improvement_columnspacing,Number Of Elevators,commercial_survey_id
Improvement_condition,Number Of Parking Spaces,community_fee_max
Improvement_construction,Number Of Stories,community_fee_min
Improvement_constructionclass,Number Of Studios Units,commvacancy
Improvement_cooling,Number Of Units,concessions
Improvement_coveredparkingspaces,One Bedroom Asking Rent/Bed,condition_id
Improvement_deferredmaintance,One Bedroom Asking Rent/SF,conditions_of_sale
Improvement_designappeal,One Bedroom Asking Rent/Unit,conditions_of_sale_adjustment
Improvement_docks,One Bedroom Avg SF,confidential
Improvement_effectiveage,One Bedroom Concessions %,construction_type
Improvement_exteriorwall,One Bedroom Effective Rent/Bed,contract_rent_max
Improvement_features,One Bedroom Effective Rent/SF,contract_rent_min
Improvement_ffande,One Bedroom Effective Rent/Unit,cooling_id
Improvement_fireplaceorwoodstove,One Bedroom Vacancy %,cooling_type
Improvement_foundation,One Bedroom Vacant Units,corner
Improvement_garage,Operation Type,costs_to_finish
Improvement_garageparkingspaces,Operational Status,country
Improvement_gbamultifamily,Ops Expense,county
Improvement_gbamultifamilymeters,Ops Expense Per SF,covered_parking_spaces
Improvement_gbaother,Owner Address,craneways
Improvement_gbaothermeters,Owner City State Zip,created_at
Improvement_gbatotal,Owner Contact,created_by_user_id
Improvement_gbatotalmeters,Owner Name,createdby
Improvement_heating,Owner Phone,current_lp_percent_diff
Improvement_hotelflag,Parcel Number 1(Min),current_rent_per_mo
Improvement_improvmentcomments,Parcel Number 2(Max),current_use
Improvement_landscaping,Parent Company,custom_fields
Improvement_landtobuildingratio,Parking Ratio,daily_rate_per_unit
Improvement_lhoccupancy,Parking Spaces/Unit,daily_rate_per_unit_max
Improvement_multifamilyamenities,Primary Agent Name,daily_rate_per_unit_min
Improvement_noofbathrooms,Primary Corridors,data_source
Improvement_noofbedrooms,Property Address,days_on_market
Improvement_noofbeds,Property Location,deferred_maintenance
Improvement_noofbuildings,Property Manager Address,demographics_survey_date
Improvement_noofelevators,Property Manager City State Zip,depth
Improvement_noofescalators,Property Manager Contact,design_appeal
Improvement_noofgolfholes,Property Manager Name,dimensions
Improvement_noofhalfbaths,Property Manager Phone,diminution_source
Improvement_noofmfbathrooms,Property Name,discount_rate
Improvement_noofmultifamilybedrooms,PropertyID,district_name
Improvement_noofmultifamilyrooms,PropertyType,comm_lease_survey_date
Improvement_noofmultifamilyunits,Proposed Land Use,district_url
Improvement_noofotherunits,RBA,districtspending
Improvement_noofrooms,Recorded Owner Address,drainage
Improvement_noofseats,Recorded Owner City State Zip,duration_seconds
Improvement_noofstories,Recorded Owner Contact,earthquake_hazard_risk
