CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields,CoStar Aligned Fields
PropertyID,access,Sites_access,
Property Name,acres,Sites_acres,
Property Address,activestatus,Sales_activestatus,
City,activity_description,,
State,actual_price,,
Zip,added_at,,
County Name,address,Parcel_address,
Country,adjustment_comments,Sales_adjustmentcomments,
Continent,adr,Improvement_adr,
Subcontinent,affordability_status,,
Cross Street,all_utilities_to_site,Sites_allutilities,
Latitude,allowable_floor_area_sf,Sites_allowablefloorareasf,
Longitude,allowable_units,,
Market Name,allutilities,Sites_utilities,
Submarket Name,amenities,Improvement_amenities,Amenities
Submarket Cluster,anchor_tenants,,
Closest Transit Stop,anchor_type,,
Closest Transit Stop Dist (mi),anchors,,
Closest Transit Stop Walk Time (min),ancillary_buildings,Improvement_ancillarybuildings,
Property Location,annual_rent_per_sf,,
Owner Address,appraisal_date,Sales_appraisaldate,
Owner City State Zip,appraisal_file,Parcel_appraisalfile,
Property Manager Address,appraisal_usage,Parcel_appraisalusage,
Property Manager City State Zip,appraised_value,Sales_appraisedvalue,
Recorded Owner Address,area_category,,
Recorded Owner City State Zip,area_in_flood_zone,Sites_areainfloodzone,Fema Flood Zone
True Owner Address,assessment_year,,
True Owner City State Zip,assigned_to_user_id,,
Leasing Company Address,attribution_id,,
Leasing Company City State Zip,audit_log_id,,
Sale Company Address,authority,,
Sale Company City State Zip,average_daily_rate,,
PropertyType,avg_asking_rent_sf,,
Secondary Type,avg_cap_rate,Sales_caprate,Cap Rate
Building Class,avg_mf_unit_size,,
Building Status,back_yard_distance,Zoning_Subrecords_backyarddistance,
Constr Status,base_rent_per_mo,,
Operational Status,base_rent_per_year,,
Operation Type,base_rent_sf,,
Style,base_rent_sf_mo,,
Star Rating,base_taxes,Assessment_basetaxes,
Building Park,basement_size,Improvement_basementsize,
Year Built,basement_use_and_finish,Improvement_basementuseandfinish,
Month Built,baths,,
Year Renovated,bedrooms,,
Month Renovated,beds,,
Construction Begin,book_page_or_ref_doc,Sales_bookpageorrefdoc,
Construction Material,boundary_comments,,
Number Of Stories,buildable_sf,,
Total Buildings,building_amenities,,
Typical Floor Size,building_class,Improvement_buildingclass,Building Class
RBA,building_condition,,
Core Factor,building_description,Improvement_BuildingDescription,
Primary Corridors,building_features,,
Amenities,building_quality,,
Features,business_value_adjustment,Sales_businessvalueadjustment,
Services,buyer_type,Sales_buyertype,
Sewer,cap_rate,Sales_toscaprate,
Water,care_type_comments,,
Gas,category,,
Heating,cbsa_id,Parcel_cbsa_id,
