LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Parcel_id,PropertyID,access,Sites_access
Parcel_createdby,Property Name,acres,Sites_acres
Parcel_timestamp,Property Address,activestatus,Sales_activestatus
Parcel_name,City,activity_description,
Parcel_name,State,actual_price,
Parcel_appraisalusage,Zip,added_at,
Parcel_readyforuse,County Name,address,Parcel_address
Parcel_propertymajortype,Country,adjustment_comments,Sales_adjustmentcomments
Parcel_propertytype,Continent,adr,Improvement_adr
Parcel_propertysubtype,Subcontinent,affordability_status,
Parcel_owner,Cross Street,all_utilities_to_site,Sites_allutilities
Parcel_address,Latitude,allowable_floor_area_sf,Sites_allowablefloorareasf
Parcel_city,Longitude,allowable_units,
Parcel_county,Market Name,allutilities,Sites_utilities
Parcel_state,Submarket Name,amenities,Improvement_amenities
Parcel_zip,Submarket Cluster,anchor_tenants,
Parcel_country,Closest Transit Stop,anchor_type,
Parcel_lat,Closest Transit Stop Dist (mi),anchors,
Parcel_lng,Closest Transit Stop Walk Time (min),ancillary_buildings,Improvement_ancillarybuildings
Parcel_parcelverificationdata,Property Location,annual_rent_per_sf,
Parcel_isgroundlease,Owner Address,appraisal_date,Sales_appraisaldate
Parcel_market,Owner City State Zip,appraisal_file,Parcel_appraisalfile
Parcel_submarket,Property Manager Address,appraisal_usage,Parcel_appraisalusage
Parcel_townshiprange,Property Manager City State Zip,appraised_value,Sales_appraisedvalue
Parcel_municipality,Recorded Owner Address,area_category,
Parcel_cbsa_name,Recorded Owner City State Zip,area_in_flood_zone,Sites_areainfloodzone
Parcel_cbsa_id,True Owner Address,assessment_year,
Parcel_msa,True Owner City State Zip,assigned_to_user_id,
Parcel_censusblock,Leasing Company Address,attribution_id,
Parcel_censustract,Leasing Company City State Zip,audit_log_id,
Parcel_neighborhood,Sale Company Address,authority,
Parcel_northboundary,Sale Company City State Zip,average_daily_rate,
Parcel_southboundary,PropertyType,avg_asking_rent_sf,
Parcel_eastboundary,Secondary Type,avg_cap_rate,Sales_caprate
Parcel_westboundary,Building Class,avg_mf_unit_size,
Parcel_neighborhoodcomments,Building Status,back_yard_distance,Zoning_Subrecords_backyarddistance
Parcel_locationdescription,Constr Status,base_rent_per_mo,
Parcel_opportunityzone,Operational Status,base_rent_per_year,
Parcel_parcelcomments,Operation Type,base_rent_sf,
Sales_pgim,Style,base_rent_sf_mo,
Sales_egim,Star Rating,base_taxes,Assessment_basetaxes
Sales_caprate,Building Park,basement_size,Improvement_basementsize
Parcel_appraisalfile,Year Built,basement_use_and_finish,Improvement_basementuseandfinish
Parcel_otherdbrefs,Month Built,baths,
Parcel_supportingfiles,Year Renovated,bedrooms,
Sales_saledate,Month Renovated,beds,
Sales_transactiontype,Construction Begin,book_page_or_ref_doc,Sales_bookpageorrefdoc
