LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Parcel_id,PropertyID,access
Parcel_createdby,Property Name,acres
Parcel_timestamp,Property Address,activestatus
Parcel_name,City,activity_description
Parcel_name,State,actual_price
Parcel_appraisalusage,Zip,added_at
Parcel_readyforuse,County Name,address
Parcel_propertymajortype,Country,adjustment_comments
Parcel_propertytype,Continent,adr
Parcel_propertysubtype,Subcontinent,affordability_status
Parcel_owner,Cross Street,all_utilities_to_site
Parcel_address,Latitude,allowable_floor_area_sf
Parcel_city,Longitude,allowable_units
Parcel_county,Market Name,allutilities
Parcel_state,Submarket Name,amenities
Parcel_zip,Submarket Cluster,anchor_tenants
Parcel_country,Closest Transit Stop,anchor_type
Parcel_lat,Closest Transit Stop Dist (mi),anchors
Parcel_lng,Closest Transit Stop Walk Time (min),ancillary_buildings
Parcel_parcelverificationdata,Property Location,annual_rent_per_sf
Parcel_isgroundlease,Owner Address,appraisal_date
Parcel_market,Owner City State Zip,appraisal_file
Parcel_submarket,Property Manager Address,appraisal_usage
Parcel_townshiprange,Property Manager City State Zip,appraised_value
Parcel_municipality,Recorded Owner Address,area_category
Parcel_cbsa_name,Recorded Owner City State Zip,area_in_flood_zone
Parcel_cbsa_id,True Owner Address,assessment_year
Parcel_msa,True Owner City State Zip,assigned_to_user_id
Parcel_censusblock,Leasing Company Address,attribution_id
Parcel_censustract,Leasing Company City State Zip,audit_log_id
Parcel_neighborhood,Sale Company Address,authority
Parcel_northboundary,Sale Company City State Zip,average_daily_rate
Parcel_southboundary,PropertyType,avg_asking_rent_sf
Parcel_eastboundary,Secondary Type,avg_cap_rate
Parcel_westboundary,Building Class,avg_mf_unit_size
Parcel_neighborhoodcomments,Building Status,back_yard_distance
Parcel_locationdescription,Constr Status,base_rent_per_mo
Parcel_opportunityzone,Operational Status,base_rent_per_year
Parcel_parcelcomments,Operation Type,base_rent_sf
Sales_pgim,Style,base_rent_sf_mo
Sales_egim,Star Rating,base_taxes
Sales_caprate,Building Park,basement_size
Parcel_appraisalfile,Year Built,basement_use_and_finish
Parcel_otherdbrefs,Month Built,baths
Parcel_supportingfiles,Year Renovated,bedrooms
Sales_saledate,Month Renovated,beds
Sales_transactiontype,Construction Begin,book_page_or_ref_doc
Sales_id,Construction Material,boundary_comments
Sales_activestatus,Number Of Stories,buildable_sf
Sales_isdeleted,Total Buildings,building_amenities
Sales_isexcel,Typical Floor Size,building_class
Sales_confidential,RBA,building_condition
Sales_priceactual,Core Factor,building_description
Sales_ffandeadjustment,Primary Corridors,building_features
Sales_excesslandadjustment,Amenities,building_quality
Sales_businessvalueadjustment,Features,business_value_adjustment
Sales_financingtermsadjustment,Services,buyer_type
Sales_conditionsofsaleadjustment,Sewer,cap_rate
Sales_expendituresaftersaleadjustment,Water,care_type_comments
Sales_otheradjustment,Gas,category
Sales_priceadjustment,Heating,cbsa_id
Sales_price,Sprinklers,cbsa_name
Sales_pricepersf,Number Of Elevators,ceiling_height
Sales_priceperra,Number Of Parking Spaces,censusblock
Sales_priceperlandsf,Parking Ratio,censustract
Sales_priceperacre,Parking Spaces/Unit,city
Sales_priceperlandunit,Energy Star,clean_up_costs
Sales_priceperusableacre,LEED Certified,clear_height
Sales_priceperbuildablesf,University,client_name
Sales_priceperprimaryfrontage,Land Area (AC),column_spacing
Sales_priceperfar,Land Area (SF),comm_lease_comments
Sales_pricepergbameters,Parcel Number 1(Min),comm_lease_notes
Sales_priceperrameters,Parcel Number 2(Max),comm_lease_survey_date
Sales_priceperlandsqm,Proposed Land Use,comm_lease_terms
Sales_priceperlandhectares,Zoning,comm_lease_type
Sales_grantor,Fema Flood Zone,comm_rent_concessions
Sales_grantee,FEMA Map Date,comm_rent_per_sf_max
Sales_propertyrights,FEMA Map Identifier,comm_rent_per_sf_min
