CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
$Price/Unit,access,Sites_access
Amenities,acres,Sites_acres
Anchor GLA,anchor_type,Rent Roll_anchortype
Anchor Tenants,appraisal_file,Parcel_appraisalfile
Architect Name,activestatus,Sales_activestatus
Average Weighted Rent,activity_description,
Avg Rent-Direct (Industrial),actual_price,
Avg Rent-Direct (Office),added_at,
Avg Rent-Direct (Retail),address,Parcel_address
Avg Rent-Sublet (Industrial),adjustment_comments,Sales_adjustmentcomments
Avg Rent-Sublet (Office),adr,Improvement_adr
Avg Rent-Sublet (Retail),affordability_status,
Building Class,all_utilities_to_site,Sites_allutilities
Building Operating Expenses,allowable_floor_area_sf,Sites_allowablefloorareasf
Building Park,allowable_units,
Building Status,allutilities,Sites_utilities
Building Tax Expenses,amenities,Improvement_amenities
Cap Rate,anchor_tenants,
Ceiling Ht,back_yard_distance,Zoning_Subrecords_backyarddistance
City,anchors,Rent Roll Summary_anchors
Closest Transit Stop,ancillary_buildings,Improvement_ancillarybuildings
Closest Transit Stop Dist (mi),annual_rent_per_sf,
Closest Transit Stop Walk Time (min),appraisal_date,Sales_appraisaldate
Constr Status,appraisal_usage,Parcel_appraisalusage
Construction Begin,appraised_value,Sales_appraisedvalue
Construction Material,area_category,
Continent,area_in_flood_zone,Sites_areainfloodzone
Core Factor,assessment_year,
Country,assigned_to_user_id,
County Name,attribution_id,
Cross Street,audit_log_id,
Days On Market,authority,
Developer Name,average_daily_rate,
Direct Available Space,avg_asking_rent_sf,
Direct Services,avg_cap_rate,Sales_caprate
Direct Vacant Space,avg_mf_unit_size,
Energy Star,base_rent_per_mo,Rent Roll_baserentpermo
Exp Year,base_rent_per_year,Rent Roll_baserentperyear
Features,base_rent_sf,
Fema Flood Zone,base_rent_sf_mo,
FEMA Map Date,base_taxes,Assessment_basetaxes
FEMA Map Identifier,basement_size,Improvement_basementsize
FIRM ID,basement_use_and_finish,Improvement_basementuseandfinish
FIRM Panel Number,baths,
Flood Risk Area,bedrooms,
Floodplain Area,beds,
For Sale Price,book_page_or_ref_doc,Sales_bookpageorrefdoc
For Sale Status,boundary_comments,
Fund Name,buildable_sf,
Gas,building_amenities,
Heating,building_class,Improvement_buildingclass
In SFHA,building_condition,
Land Area (AC),building_description,Improvement_BuildingDescription
Land Area (SF),building_features,
Last Sale Date,building_quality,
Last Sale Price,business_value_adjustment,Sales_businessvalueadjustment
Latitude,buyer_type,Sales_buyertype
Leasing Company Address,cap_rate,Sales_toscaprate
Leasing Company City State Zip,care_type_comments,
Leasing Company Contact,category,
Leasing Company Fax,cbsa_id,Parcel_cbsa_id
Leasing Company Name,cbsa_name,Parcel_cbsa_name
Leasing Company Phone,ceiling_height,Improvement_ceilingheight
LEED Certified,censusblock,Parcel_censusblock
Longitude,censustract,Parcel_censustract
Market Name,city,Parcel_city
Market Segment,comm_lease_comments,Rent Roll Summary_commleasecomments
Max Building Contiguous Space,clean_up_costs,Sales_cleanupcosts
Max Floor Contiguous Space,clear_height,Improvement_Subrecords_clearheight
Month Built,client_name,
Month Renovated,column_spacing,Improvement_columnspacing
Number Of Elevators,comm_lease_notes,Rent Roll Summary_CommLeaseNotes
Number Of Parking Spaces,comm_lease_terms,Rent Roll Summary_CommLeaseType
Number Of Stories,comm_lease_type,
Office Space,comm_rent_concessions,Rent Roll Summary_commrentconcessions
Operation Type,comm_rent_per_sf_max,
Operational Status,comm_rent_per_sf_min,
Ops Expense,comm_size_max,
Ops Expense Per SF,comm_size_min,
Owner Address,comm_vacancy_rate,
Owner City State Zip,comm_verification_source,Rent Roll_verificationsource
Owner Contact,commercial_survey_id,
Owner Name,community_fee_max,
Owner Phone,community_fee_min,
Parcel Number 1(Min),commvacancy,Rent Roll Summary_commvacancy
Parcel Number 2(Max),concessions,Rent Roll_concessions
Parent Company,condition_id,Improvement_Subrecords_conditionid
Parking Ratio,conditions_of_sale,Improvement_condition
Parking Spaces/Unit,conditions_of_sale_adjustment,Sales_conditionsofsaleadjustment
Percent Leased,confidential,Rent Roll Summary_confidential
Pre-Leasing,construction_type,Improvement_construction
Primary Agent Name,contract_rent_max,
Primary Corridors,contract_rent_min,
Property Address,cooling_id,Improvement_Subrecords_coolingid
Property Location,cooling_type,Improvement_cooling
Property Manager Address,corner,Sites_corner
Property Manager City State Zip,costs_to_finish,Rent Roll_coststofinish
Property Manager Contact,country,Parcel_country
Property Manager Name,county,Parcel_county
Property Manager Phone,covered_parking_spaces,Improvement_coveredparkingspaces
Property Name,craneways,
PropertyID,created_at,
PropertyType,created_by_user_id,
Proposed Land Use,createdby,Parcel_createdby
RBA,current_lp_percent_diff,Sales_currentlppercentdiff
Recorded Owner Address,current_rent_per_mo,Rent Roll_CurrentRentPerMo
Recorded Owner City State Zip,current_use,Sales_currentuse
Recorded Owner Contact,custom_fields,
Recorded Owner Name,daily_rate_per_unit,
Recorded Owner Phone,daily_rate_per_unit_max,
Rent Type,daily_rate_per_unit_min,
Rent/SF/Yr,data_source,Rent Roll_datasource
Sale Company Address,days_on_market,Sales_daysonmarket
Sale Company City State Zip,deferred_maintenance,Improvement_deferredmaintance
Sale Company Contact,demographics_survey_date,Sites_demographicssurveydate
Sale Company Fax,depth,Sites_depth
Sale Company Name,design_appeal,Improvement_designappeal
