Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
access,access,_constructionclassid,$Price/Unit,access,Sites_access
acres,activity_description,_sourceforsfareaid,Amenities,acres,Sites_acres
annualrentpersf,appraisal_usage,Assessment_historicallandvalue2,Anchor GLA,anchor_type,Rent Roll_anchortype
area_category,assigned_to_user_id,Assessment_historicaltaxes3,Anchor Tenants,appraisal_file,Parcel_appraisalfile
activestatus,actual_price,Assessment_assessmentcomments,Architect Name,activestatus,Sales_activestatus
activity_description,added_at,Assessment_assessmentyear,Average Weighted Rent,activity_description,
added_at,address,Assessment_assessorwebsite,Avg Rent-Direct (Industrial),actual_price,
address,adjustment_comments,Assessment_basetaxes,Avg Rent-Direct (Office),added_at,
adjustmentcomments,affordability_status,Assessment_equalizationratio,Avg Rent-Direct (Retail),address,Parcel_address
adr,all_utilities_to_site,Assessment_historicalassessedvalue1,Avg Rent-Sublet (Industrial),adjustment_comments,Sales_adjustmentcomments
affordabilitystatus,allowable_floor_area_sf,Assessment_historicalassessedvalue2,Avg Rent-Sublet (Office),adr,Improvement_adr
allowablefloorareasf,allowable_units,Assessment_historicalassessedvalue3,Avg Rent-Sublet (Retail),affordability_status,
allowableunits,anchor_tenants,Assessment_historicalassessedvalue4,Building Class,all_utilities_to_site,Sites_allutilities
allutilities,anchor_type,Assessment_historicalimprovvalue1,Building Operating Expenses,allowable_floor_area_sf,Sites_allowablefloorareasf
amenities,ancillary_buildings,Assessment_historicalimprovvalue2,Building Park,allowable_units,
anchors,annual_rent_per_sf,Assessment_historicalimprovvalue3,Building Status,allutilities,Sites_utilities
anchortype,appraisal_date,Assessment_historicalimprovvalue4,Building Tax Expenses,amenities,Improvement_amenities
ancillarybuildings,appraisal_file,Assessment_historicallandvalue1,Cap Rate,anchor_tenants,
baths,basement_use_and_finish,Assessment_Subparcels_assessinfoid,Ceiling Ht,back_yard_distance,Zoning_Subrecords_backyarddistance
appraisaldate,appraised_value,Assessment_historicallandvalue3,City,anchors,Rent Roll Summary_anchors
appraisalfile,area_category,Assessment_historicallandvalue4,Closest Transit Stop,ancillary_buildings,Improvement_ancillarybuildings
appraisalusage,area_in_flood_zone,Assessment_historicaltaxes1,Closest Transit Stop Dist (mi),annual_rent_per_sf,
appraisedvalue,assessment_year,Assessment_historicaltaxes2,Closest Transit Stop Walk Time (min),appraisal_date,Sales_appraisaldate
areainfloodzone,attribution_id,Assessment_historicaltaxes4,Constr Status,appraisal_usage,Parcel_appraisalusage
assigned_to_user_id,audit_log_id,Assessment_historicalyear1,Construction Begin,appraised_value,Sales_appraisedvalue
attribution_id,average_daily_rate,Assessment_historicalyear2,Construction Material,area_category,
audit_log_id,avg_asking_rent_sf,Assessment_historicalyear3,Continent,area_in_flood_zone,Sites_areainfloodzone
authority,avg_cap_rate,Assessment_historicalyear4,Core Factor,assessment_year,
