Tab Name,Field Name,Formula Logic,Depends On,Named Range Dependencies,Cell Ref
File Info,REPORT WRITER,"=IF(N1Address="""","""",N1Address&"" ""&N1City&"", ""&N1State&IF(_PropertyMajorType<>"""","" • ""&_PropertyMajorType,"""")&IF(_N1FileName<>"""","" • ""&_N1FileName,""""))",,,F5
File Info,Office File / Number,=SchedulerJobID,,,G15
File Info,Template,='Change Log'!$C$1,Change Log,,T15
File Info,VeryHidden,"=1/(Z_FileInfo_ShowHide<>""Hide"")",,,A28
File Info,VeryHidden,=A28,,,A29
File Info,VeryHidden,=A29,,,A30
File Info,VeryHidden,=A30,,,A31
File Info,VeryHidden,=A31,,,A32
File Info,VeryHidden,=A32,,,A33
File Info,Unknown_Field_A34,=A33,,,A34
File Info,Unknown_Field_A35,=A34,,,A35
File Info,Unknown_Field_A36,=A35,,,A36
File Info,Unknown_Field_A37,=A36,,,A37
File Info,Unknown_Field_A38,=A37,,,A38
File Info,Unknown_Field_A39,=A38,,,A39
File Info,Unknown_Field_A40,=A39,,,A40
File Info,Unknown_Field_A41,=A40,,,A41
File Info,Unknown_Field_A42,=A41,,,A42
File Info,Unknown_Field_A43,=A42,,,A43
File Info,Unknown_Field_A44,=A43,,,A44
File Info,Unknown_Field_A45,=A44,,,A45
File Info,Unknown_Field_A46,=A45,,,A46
File Info,Unknown_Field_A47,=A46,,,A47
File Info,Unknown_Field_A48,=A47,,,A48
File Info,Hide,"=TRIM(""_""&SUBSTITUTE(N1DBProperty_Major_Type,"" & "",""_""))",,,I88
File Info,Hide,"=SUBSTITUTE(I88,"" - "",""_"")",,,I89
File Info,Hide,"=SUBSTITUTE(I89,""/"",""_"")",,,I90
File Info,Hide,"=SUBSTITUTE(I90,""-"",""_"")",,,I91
File Info,Hide,"=SUBSTITUTE(I91,"" "",""_"")",,,I92
File Info,Hide,"=TRIM(""_""&SUBSTITUTE(_xlfn.SINGLE(_N1PropertyType),"" & "",""_""))",,,I93
File Info,Hide,"=SUBSTITUTE(I93,"", "",""_"")",,,I94
File Info,Hide,"=SUBSTITUTE(I94,""/"",""_"")",,,I95
File Info,Hide,"=SUBSTITUTE(I95,""-"",""_"")",,,I96
File Info,Hide,"=SUBSTITUTE(I96,"" "",""_"")",,,I97
File Info,Hide,"=IF(_xlfn.SINGLE(_N1PropertyType)=""Mixed Use"",I92&I97,IF(_xlfn.SINGLE(_N1PropertyType)=""Office Building"",I92&I97,I97))",,,I98
File Info,Full Address,"=IF(AND(N1Address<>"""",N1City<>"""",N1DBProvince<>""""),N1Address&"", ""&N1City&"", ""&N1DBProvince&IF(N1DBZip<>"""","" ""&N1DBZip,""""),"""")",,,T112
File Info,State Name,"=IFERROR(INDEX(tblState[state],MATCH(N1DBProvince,tblState[abbrev],0)),"""")",,,I120
File Info,Salutation,"=IF(pvaAgency=""Fannie"",""***NEW: Fannie Deal Identifier***"","""")",,,R146
File Info,First Last,"=I148&"" ""&I152",,,I154
File Info,Client Display Name,"=IF(OR(N1ClientSalutation<>0,N1ClientSalutation<>""""),N1ClientSalutation&"" "","""")&N1ClientFirstName&"" ""&IF(LEN(N1ClientMiddleName)>1,N1ClientMiddleName&"" "","""")&""""&N1ClientLastName&IF(LEN(N1ClientDesignation)>1, "", ""&N1ClientDesignation,"""")",,,I158
File Info,VeryHidden,"=1/((M190=""Show"")+(M190<>""Hide"")*(I196<>""""))",,,A193
File Info,VeryHidden,=A193,,,A194
File Info,VeryHidden,=A194,,,A195
File Info,VeryHidden,=A195,,,A196
File Info,Company Name,"=IFERROR(IF(HLOOKUP(F196,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F196,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I196
File Info,VeryHidden,=A196,,,A197
File Info,VeryHidden,=A197,,,A198
File Info,Salutation,"=IFERROR(IF(HLOOKUP(F198,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F198,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I198
File Info,VeryHidden,=A198,,,A199
File Info,VeryHidden,=A199,,,A200
File Info,First Name,"=IFERROR(IF(HLOOKUP(F200,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F200,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I200
File Info,Unknown_Field_A201,=A200,,,A201
File Info,Unknown_Field_A202,=A201,,,A202
File Info,Middle Name,"=IFERROR(IF(HLOOKUP(F202,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F202,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I202
File Info,Unknown_Field_A203,=A202,,,A203
File Info,Unknown_Field_A204,=A203,,,A204
File Info,Last Name,"=IFERROR(IF(HLOOKUP(F204,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F204,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I204
File Info,Unknown_Field_A205,=A204,,,A205
File Info,Unknown_Field_A206,=A205,,,A206
File Info,Designation,"=IFERROR(IF(HLOOKUP(F206,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F206,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I206
File Info,Unknown_Field_A207,=A206,,,A207
File Info,Unknown_Field_A208,=A207,,,A208
File Info,Display Name,"=IF(N1Client2Salutation<>"""",N1Client2Salutation,"""")&N1Client2FirstName&"" ""&IF(LEN(N1Client2MiddleName)>1,N1Client2MiddleName&"" "","""")&""""&N1Client2LastName&IF(LEN(N1Client2Designation)>1,"", ""&N1Client2Designation,"""")",,,I208
File Info,Unknown_Field_A209,=A208,,,A209
File Info,Unknown_Field_A210,=A209,,,A210
File Info,Title,"=IFERROR(IF(HLOOKUP(F210,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F210,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I210
File Info,Unknown_Field_A211,=A210,,,A211
File Info,Unknown_Field_A212,=A211,,,A212
File Info,Address,"=IFERROR(IF(HLOOKUP(F212,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F212,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I212
File Info,Unknown_Field_A213,=A212,,,A213
File Info,Unknown_Field_A214,=A213,,,A214
File Info,Address2,"=IFERROR(IF(HLOOKUP(F214,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F214,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I214
File Info,Unknown_Field_A215,=A214,,,A215
File Info,Unknown_Field_A216,=A215,,,A216
File Info,City,"=IFERROR(IF(HLOOKUP(F216,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F216,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I216
File Info,Unknown_Field_A217,=A216,,,A217
File Info,Unknown_Field_A218,=A217,,,A218
File Info,State/Province,"=IFERROR(IF(HLOOKUP(F218,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F218,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I218
File Info,Unknown_Field_A219,=A218,,,A219
File Info,Unknown_Field_A220,=A219,,,A220
File Info,Zip/Postal Code,"=IFERROR(IF(HLOOKUP(F220,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F220,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I220
File Info,Unknown_Field_A221,=A220,,,A221
File Info,Unknown_Field_A222,=A221,,,A222
File Info,Country,"=IFERROR(IF(HLOOKUP(F222,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F222,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I222
File Info,Unknown_Field_A223,=A222,,,A223
File Info,Unknown_Field_A224,=A223,,,A224
File Info,Phone Number,"=IFERROR(IF(HLOOKUP(F224,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F224,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I224
File Info,Unknown_Field_A225,=A224,,,A225
File Info,Unknown_Field_A226,=A225,,,A226
File Info,Phone Number2,"=IFERROR(IF(HLOOKUP(F226,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F226,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I226
File Info,Unknown_Field_A227,=A226,,,A227
File Info,Unknown_Field_A228,=A227,,,A228
File Info,Fax Number,"=IFERROR(IF(HLOOKUP(F228,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F228,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I228
File Info,Unknown_Field_A229,=A228,,,A229
File Info,Unknown_Field_A230,=A229,,,A230
File Info,E-mail,"=IFERROR(IF(HLOOKUP(F230,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F230,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I230
File Info,Unknown_Field_A231,=A230,,,A231
File Info,Unknown_Field_A232,=A231,,,A232
File Info,Web Site,"=IFERROR(IF(HLOOKUP(F232,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F232,CompTableContacts,MATCH(I$192,ContactsList,0)+1,FALSE)),"""")",,,I232
File Info,Unknown_Field_A233,=A232,,,A233
File Info,Unknown_Field_A234,=A233,,,A234
File Info,VeryHidden,"=1/((M236=""Show"")+(M236<>""Hide"")*(I242<>""""))",,,A239
