Tab Name,Field Name,Named Range,Input,Calculated,Dropdown,Formula Type,Data Type,Row Hidden,Column Hidden,Notes,Cell Ref
File Info,Unknown_Field_A2,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A2
File Info,This column hidden by default,,Yes,No,Yes,,s,Yes,No,[HIDDEN CELL],I2
File Info,<< Show Template in Front End or Back End Mode,,Yes,No,No,,s,Yes,No,[HIDDEN CELL],N2
File Info,This column hidden by default,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A3
File Info,Unknown_Field_C5,,Yes,No,No,,s,No,No,,C5
File Info,REPORT WRITER,,No,Yes,No,Conditional,f,No,No,,F5
File Info,REPORT WRITER,,Yes,No,No,,s,No,No,,R5
File Info,"Project, Property, & Contact Information",,Yes,No,No,,s,No,No,,R7
File Info,Project Information,,Yes,No,No,,s,No,No,,R10
File Info,Source,,Yes,No,No,,s,No,Yes,[HIDDEN CELL],T10
File Info,Version Number,,Yes,No,No,,s,No,No,,U10
File Info,New import/export buttons in top-left of Partner Ribbon,,Yes,No,No,,s,No,No,,R12
File Info,Partner Ribbon,,Yes,No,No,,s,No,Yes,[HIDDEN CELL],T12
File Info,1.203_09_24_25,,Yes,No,No,,d,No,No,,U12
File Info,Subject ID,,Yes,No,No,,n,No,No,,I13
File Info,New import/export buttons in top-left of Partner Ribbon,,Yes,No,No,,s,No,No,,R13
File Info,SyncLynx,,Yes,No,No,,s,No,Yes,[HIDDEN CELL],T13
File Info,V1.201,,Yes,No,No,,d,No,No,,U13
File Info,Office File / Number,,No,Yes,No,Calculation,f,No,Yes,[HIDDEN CELL],G15
File Info,Office File / Number,,Yes,No,No,,s,No,No,,R15
File Info,Template,,No,Yes,No,PassThrough,f,No,Yes,[HIDDEN CELL] | [PASS-THROUGH],T15
File Info,Template,,Yes,No,No,,d,No,No,,U15
File Info,Excel Uploader,,Yes,No,No,,s,No,Yes,[HIDDEN CELL],T17
File Info,V46.00 (1.34.2),,Yes,No,No,,s,No,No,,U17
File Info,Unknown_Field_A18,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A18
File Info,VeryHidden,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A19
File Info,,,Yes,No,No,,s,Yes,No,[HIDDEN CELL],K19
File Info,VeryHidden,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A20
File Info,VeryHidden,,Yes,No,No,,s,Yes,Yes,[HIDDEN CELL],A21
File Info,VeryHidden,,Yes,No,No,,s,Yes,No,[HIDDEN CELL],C21
