Sheet,Visibility,Hidden,Rows,Columns,Formula Count,Named Range Count
Datatape,hidden,Yes,1,603,0,0
Guidance,visible,No,73,18,0,0
File Info,visible,No,938,1053,607,0
Settings,visible,No,109,24,60,0
Workbook_Audit,visible,No,3790,2,3584,0
"Dates, Premises",visible,No,94,30,79,0
"Contracts, History",visible,No,145,45,208,0
Scope,visible,No,220,57,158,0
Market Area,visible,No,1135,161,1727,0
Demographics,hidden,Yes,33322,57,10132,0
Market Analytics,hidden,Yes,587,79,10369,0
Submarket Analytics,hidden,Yes,582,71,9302,0
Market Analysis,visible,No,165,78,777,0
Market Analysis - Flex,visible,No,165,87,856,0
Market Analysis Submarkets,visible,No,200,91,1454,0
tblMarketData,hidden,Yes,5812,75,11622,0
tblMarketDataInfo,hidden,Yes,33,24,129,0
tblMarketData_GreenStreet,hidden,Yes,553,10,0,0
tblMarketDataInfo_GreenStreet,hidden,Yes,4,2,0,0
tblMarketData_Comps,hidden,Yes,242,15,482,0
tblMarketDataInfo_Comps,hidden,Yes,7,14,0,0
tblMarketDataRanksCapRates,hidden,Yes,10013,19,20024,0
txt_All,visible,No,727,7,682,0
Site,visible,No,404,142,2641,0
Zoning,visible,No,170,97,863,0
Improvements,visible,No,956,232,4737,0
Assessment,visible,No,398,485,2775,0
Land Grid,visible,No,1088,1107,4222,0
Land Valuation,visible,No,314,234,1607,0
Land Comp Profiles,visible,No,783,37,4547,0
Cost Approach Setup,visible,No,1064,11,14,0
Cost,hidden,Yes,358,49,513,0
Cost Approach,hidden,Yes,1217,416,4495,0
Cost Comps_PREV,hidden,Yes,15,14,45,0
Sales Grid,visible,No,1728,1227,8158,0
Sales Approach,visible,No,618,574,6607,0
SaleCompProfileSetup,hidden,Yes,94,193,96,0
Sale Comp Profiles,visible,No,783,37,4093,0
Income Approach Setup,visible,No,37,14,12,0
Rent Roll,hidden,Yes,1087,322,12448,0
NPV of AboveBelow Market Rent,hidden,Yes,205,57,3005,0
Lease Abstracts,hidden,Yes,189,63,484,0
Revenue Unit Setup,hidden,Yes,19,38,0,0
Rent Roll Input,visible,No,2511,78,2544,0
Rent Roll Config,visible,No,132,53,3435,0
Rent Roll Master,hidden,Yes,2617,76,92708,0
Lease Grid,visible,No,2461,1438,16471,0
Lease Grid MF Unit Mix,hidden,Yes,603,66,10701,0
Lease Grid (2) MF Unit Mix,hidden,Yes,603,55,4200,0
Lease Grid (3) MF Unit Mix,hidden,Yes,603,55,4200,0
Market Rent,visible,No,525,597,7416,0
Expense Grid,hidden,Yes,960,457,4090,0
RentCompProfileSetup,hidden,Yes,170,168,167,0
MF Market Rent,visible,No,3472,200,67366,0
Rent Comp Profiles,visible,No,1409,37,9441,0
Lease Grid (2),hidden,Yes,2465,1119,14572,0
Market Rent (2),hidden,Yes,525,597,7414,0
MF Affordable Rent,hidden,Yes,3271,200,74318,0
Rent Comp Profiles (2),hidden,Yes,1409,37,9495,0
Lease Grid (3),hidden,Yes,2465,1119,14572,0
Market Rent (3),hidden,Yes,525,597,7386,0
Rent Comp Profiles (3),hidden,Yes,1409,37,9495,0
Import_Kalibri_DoW Data,hidden,Yes,1,1,0,0
tblExpenseComps,visible,No,7,146,264,0
tblExpenseCompsLineItems,hidden,Yes,2,1,0,0
Expense Comps Filtered,hidden,Yes,505,174,53834,0
Expense Comps Select,visible,No,188,192,2018,0
Expense Comps,visible,No,653,371,85277,0
tblFuzzyMatch,hidden,Yes,1247,3,0,0
T-12 Input,visible,No,1250,68,10084,0
COA Map T-12,hidden,Yes,509,13,1503,0
Year-1 Input,hidden,Yes,1157,68,4967,0
COA Map Year-1,hidden,Yes,509,13,1503,0
Year-2 Input,hidden,Yes,1154,68,4970,0
COA Map Year-2,hidden,Yes,509,13,1503,0
Year-3 Input,hidden,Yes,1132,68,4967,0
COA Map Year-3,hidden,Yes,509,13,1503,0
Year-4 Input,hidden,Yes,1132,68,4966,0
COA Map Year-4,hidden,Yes,509,13,1503,0
Year-5 Input,hidden,Yes,1132,68,4966,0
COA Map Year-5,hidden,Yes,509,13,1503,0
Year-6 Input,hidden,Yes,1132,68,4966,0
COA Map Year-6,hidden,Yes,509,13,1503,0
YTD Input,hidden,Yes,1227,68,4966,0
COA Map YTD,hidden,Yes,509,13,1503,0
YTD Year-1 Input,hidden,Yes,1250,68,4966,0
COA Map YTD Year-1,hidden,Yes,509,13,1503,0
Budget Input,hidden,Yes,1132,68,4967,0
COA Map Budget,hidden,Yes,509,13,1503,0
ProForma,visible,No,712,433,88991,0
Expense Projections,visible,No,3837,63,34266,0
Capitalization and Multipliers,visible,No,1575,453,1254,0
