Tab Name,Field Name,Dropdown Values,Cell Ref
File Info,Unknown_Field_I2,"""Front End,Back End""",I2
File Info,Unknown_Field_M29,"""Auto,Show,Hide""",M29
File Info,Unknown_Field_M50,"""Auto,Show,Hide""",M50
File Info,Property Major Type,_Property_Types,I100
File Info,Property Type,INDIRECT($I$92),I102
File Info,Is there Multi-Family Affordable?,"""Yes,No""",U104
File Info,Is this a Market Study?,"""No, Yes""",U108
File Info,Country,CountryList,I116
File Info,Do Client Appraisal Requirements apply?,"""Yes,No""",I184
File Info,Is FIRREA Language required?,"""Yes,No""",I186
File Info,Unknown_Field_M190,"""Auto,Show,Hide""",M190
File Info,Unknown_Field_M236,"""Auto,Show,Hide""",M236
File Info,Unknown_Field_M273,"""Auto,Show,Hide""",M273
File Info,Certification State,Appraiser1_State,I297
File Info,Appraiser Inspection,"""has, has not""",I307
File Info,Unknown_Field_M319,"""Auto,Show,Hide""",M319
File Info,Unknown_Field_M346,"""Auto,Show,Hide""",M346
File Info,Certification State,Appraiser2_State,I368
File Info,Unknown_Field_M390,"""Auto,Show,Hide""",M390
File Info,Certification State,Appraiser3_State,I412
File Info,Unknown_Field_M434,"""Auto,Show,Hide""",M434
File Info,Certification State,Appraiser4_State,I456
File Info,Authors Perspective,"""We, I""",I485
File Info,Navigate,ShowHideAutoDD,T497
File Info,Hide,ShowHideAutoDD,W497
File Info,Choose,"""Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection""",T502
File Info,Choose,"""Interior/Exterior,Interior,Exterior,On-Site,N/A""",W502
File Info,Choose,"""Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection""",T503
File Info,Choose,"""Interior/Exterior,Interior,Exterior,On-Site,N/A""",W503
File Info,Choose,"""Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection""",T504
File Info,Choose,"""Interior/Exterior,Interior,Exterior,On-Site,N/A""",W504
File Info,Choose,"""Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection""",T505
File Info,Choose,"""Interior/Exterior,Interior,Exterior,On-Site,N/A""",W505
File Info,Toggle Display,"""Show,Hide""",AK541
File Info,Show,"""Show,Hide""",AK542
File Info,Show,"""Show,Hide""",AK543
File Info,Show,"""Show,Hide""",AK544
