Tab Name,Field Name,Input,Calculated,Dropdown,Data Type,Notes,Cell Ref
File Info,Unknown_Field_I2,Yes,No,Yes,s,[HIDDEN CELL],I2
File Info,REPORT WRITER,No,Yes,No,f,,F5
File Info,1.203_09_24_25,Yes,No,No,d,,U12
File Info,Subject ID,Yes,No,No,n,,I13
File Info,V1.201,Yes,No,No,d,,U13
File Info,Office File / Number,No,Yes,No,f,[HIDDEN CELL],G15
File Info,Template,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],T15
File Info,Template,Yes,No,No,d,,U15
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A28
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A29
File Info,Unknown_Field_M29,Yes,No,Yes,s,[HIDDEN CELL],M29
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A30
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A31
File Info,Unknown_Field_A32,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A32
File Info,Unknown_Field_A33,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A33
File Info,Unknown_Field_A34,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A34
File Info,Unknown_Field_A35,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A35
File Info,Unknown_Field_A36,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A36
File Info,Unknown_Field_A37,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A37
File Info,Unknown_Field_A38,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A38
File Info,Unknown_Field_A39,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A39
File Info,Unknown_Field_A40,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A40
File Info,Unknown_Field_A41,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A41
File Info,Unknown_Field_A42,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A42
File Info,Unknown_Field_A43,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A43
File Info,Unknown_Field_A44,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A44
File Info,Unknown_Field_A45,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A45
File Info,Unknown_Field_A46,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A46
File Info,Unknown_Field_A47,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A47
File Info,Unknown_Field_A48,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A48
File Info,Unknown_Field_M50,Yes,No,Yes,s,[HIDDEN CELL],M50
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I88
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I89
