Tab Name,Field Name,Dropdown Values,Cell Ref
File Info,Unknown_Field_I2,"Front End,Back End",I2
File Info,Invoice Information,"Auto,Show,Hide",M29
File Info,Workbook Set Up,"Auto,Show,Hide",M50
File Info,Property Major Type,"Agricultural, Assembly/Meeting Place, Health Care, Industrial, Land, Lodging & Hospitality, Multi-Family, Office, Residential, Retail-Commercial, Senior Housing, Shopping Center, Special Purpose, Sport & Entertainment",I100
File Info,Property Type,[Dynamic Formula: INDIRECT($I$92)],I102
File Info,Is there Multi-Family Affordable?,"Yes,No",U104
File Info,Is this a Market Study?,"No, Yes",U108
File Info,Country,"United States, Canada, Mexico, Colombia, Peru, United Kingdom, Afghanistan, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, The, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, British Virgin Islands, Brunei, Bulgaria, Burkina Faso, Burundi, Cambodia, Cameroon, Cape Verde, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Comoros, Congo, Congo, Democratic Republic of the, Cook Islands, Costa Rica, Croatia, Cuba, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, East Timor, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Ethiopia, Falkland Islands (Islas Malvinas), Faroe Islands, Federated States of Micronesia, Fiji, Finland, France, French Guiana, French Polynesia, Gabon, Gambia,The, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Ivory Coast (Cote d'Ivoire), Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, Kuwait, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar (Burma), Namibia, Nauru, Nepal, Netherlands, Netherlands Antilles, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, North Korea, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Panama, Papua New Guinea, Paraguay, Philippines, Pitcairn Islands, Poland, Portugal, Qatar, Reunion, Romania, Russia, Rwanda, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Georgia and the South Sandwich Islands, South Korea, Spain, Sri Lanka, St. Helena, St. Kitts and Nevis, St. Lucia, St. Pierre and Miquelon, St. Vincent and the Grenadines, Sudan, Suriname, Swaziland, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, United Republic of, Thailand, Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, Uruguay, Uzbekistan, Vanuatu, Vatican City (Holy See), Venezuela, Vietnam, Virgin Islands (US), Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",I116
File Info,Do Client Appraisal Requirements apply?,"Yes,No",I184
File Info,Is FIRREA Language required?,"Yes,No",I186
File Info,Second Client Information,"Auto,Show,Hide",M190
File Info,Property Contact Information,"Auto,Show,Hide",M236
File Info,First Appraiser Information,"Auto,Show,Hide",M273
File Info,Certification State,[Appraiser1_State] (Empty Range),I297
File Info,Appraiser Inspection,"has, has not",I307
File Info,Appraisal Firm,"Auto,Show,Hide",M319
File Info,Second Appraiser,"Auto,Show,Hide",M346
File Info,Certification State,[Appraiser2_State] (Empty Range),I368
File Info,Third Appraiser,"Auto,Show,Hide",M390
File Info,Certification State,[Appraiser3_State] (Empty Range),I412
File Info,Fourth Appraiser,"Auto,Show,Hide",M434
File Info,Certification State,[Appraiser4_State] (Empty Range),I456
File Info,Authors Perspective,"We, I",I485
File Info,Navigate,"Auto, Show, Hide",T497
File Info,Hide,"Auto, Show, Hide",W497
File Info,Choose,"Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection",T502
File Info,Choose,"Interior/Exterior,Interior,Exterior,On-Site,N/A",W502
File Info,Choose,"Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection",T503
File Info,Choose,"Interior/Exterior,Interior,Exterior,On-Site,N/A",W503
File Info,Choose,"Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection",T504
File Info,Choose,"Interior/Exterior,Interior,Exterior,On-Site,N/A",W504
File Info,Choose,"Appraiser,Site Inspection,Reviewer,Analyst,Researcher,Financial Analyst,Comp Selection",T505
File Info,Choose,"Interior/Exterior,Interior,Exterior,On-Site,N/A",W505
File Info,Toggle Display,"Show,Hide",AK541
File Info,Show,"Show,Hide",AK542
File Info,Show,"Show,Hide",AK543
File Info,Show,"Show,Hide",AK544
File Info,Show,"Show,Hide",AK545
File Info,Show,"Show,Hide",AK546
File Info,Show,"Show,Hide",AK547
Settings,What is the PVA Property Type?,"Agricultural, Assembly/Meeting Place, Health Care, Industrial, Land, Lodging & Hospitality, Multi-Family, Office, Residential, Retail-Commercial, Senior Housing, Shopping Center, Special Purpose, Sport & Entertainment",G6
Settings,What agency is this job for?,"None,Fannie,Freddie,HUD",G10
Settings,Rounding: Formula (recommended) or Set Multiple,"Set Multiple,Rounding Formula",G28
Settings,Subject Unit of Comparison,[pvaUOC_DD] (Error Resolving),G31
Settings,For Mixed-Use: Include Commercial units in total unit count?,"No,Yes",G33
Settings,Do you need External Obsolescence Analysis,"No,Yes",G62
Settings,Do you have Cost Comparables?,"No,Yes",G63
Settings,Do your Cost Comps have Indirect/Soft Costs?,"No,Yes",G64
Settings,Do you have a Construction Budget?,"No,Yes",G65
Settings,Is it a Going Concern Value?,"No,Yes",G67
Settings,Include EGIM Analysis?,"Yes,No",G72
Settings,How does your market quote rental rates?,"$/SF/Year,$/SF/Mo",G80
Settings,Do you have a budget to spread?,"Yes,No",G81
Settings,Do you need to present Lease Abstracts?,"Yes,No",G82
Settings,Is the subject stabilized?,"Yes,No",G83
Settings,How many projections are needed?,"Yes,No",G84
Settings,Include Reserves in Operating Expense Ratio?,"Yes,No",G85
Settings,"Do you need a Direct Cap, DCF, or both","Direct Cap Only, DCF Only, Both",G86
Settings,Senior Housing: Show full COA for Hist. Input Dropdowns,"Yes,No",G89
"Dates, Premises",As Is,"Market Value As Is, Market Value Upon Completion, Market Value Upon Stabilization",I23
"Dates, Premises",Market Value As Is,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O23
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q23
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O24
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q24
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O25
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q25
"Dates, Premises",Upon Stabilization,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F26
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O26
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q26
"Dates, Premises",As Completed,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F27
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O27
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q27
"Dates, Premises",As-If Completed,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F28
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O28
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q28
"Dates, Premises",As Stable,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F29
"Dates, Premises",Marketing Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O29
"Dates, Premises",Exposure Time,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q29
"Dates, Premises",As-If Stabilized,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F30
"Dates, Premises",Unknown_Field_O30,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O30
"Dates, Premises",Unknown_Field_Q30,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q30
