Tab Name,Cell Ref,Formula,Notes
File Info,A28,"=1/(Z_FileInfo_ShowHide<>""Hide"")",Backend UI Toggle
File Info,A193,"=1/((M190=""Show"")+(M190<>""Hide"")*(I196<>""""))",Backend UI Toggle
File Info,A239,"=1/((M236=""Show"")+(M236<>""Hide"")*(I242<>""""))",Backend UI Toggle
File Info,A276,"=1/((M273=""Show"")+(M273<>""Hide"")*(I279<>""""))",Backend UI Toggle
File Info,A322,"=1/((M319=""Show"")+(M319<>""Hide""))",Backend UI Toggle
File Info,A349,"=1/((M346=""Show"")+(M346<>""Hide"")*(I352<>""""))",Backend UI Toggle
File Info,A393,"=1/((M390=""Show"")+(M390<>""Hide"")*(I396<>""""))",Backend UI Toggle
File Info,A437,"=1/((M434=""Show"")+(M434<>""Hide"")*(I440<>""""))",Backend UI Toggle
File Info,T496,"=1/((T497=""Show"")+(T497<>""Hide"")*COUNTIF(T502:T505,""<>0"")*NOT(pvaIsJobMHC))",Backend UI Toggle
File Info,W496,"=1/((W497=""Show"")+(W497<>""Hide"")*COUNTIF(W502:W505,""<>N/A"")*NOT(pvaIsJobMHC))",Backend UI Toggle
File Info,P502,"=1/((TRIM(U502)<>"""")*(U502<>0))",Backend UI Toggle
File Info,P503,"=1/((TRIM(U503)<>"""")*(U503<>0))",Backend UI Toggle
File Info,P504,"=1/((TRIM(U504)<>"""")*(U504<>0))",Backend UI Toggle
File Info,P505,"=1/((TRIM(U505)<>"""")*(U505<>0))",Backend UI Toggle
Settings,B5,"=1/((B138=""Show"")+((B138<>""Hide"")))",Backend UI Toggle
Settings,B6,"=1/((B139=""Show"")+((B139<>""Hide"")))",Backend UI Toggle
Settings,B7,"=1/((B140=""Show"")+((B140<>""Hide"")))",Backend UI Toggle
Settings,B8,"=1/((B141=""Show"")+((B141<>""Hide"")))",Backend UI Toggle
Settings,B9,"=1/((B142=""Show"")+((B142<>""Hide"")))",Backend UI Toggle
Settings,B10,"=1/((B143=""Show"")+((B143<>""Hide"")))",Backend UI Toggle
Settings,B11,"=1/((B144=""Show"")+((B144<>""Hide"")))",Backend UI Toggle
Settings,B12,"=1/((B145=""Show"")+((B145<>""Hide"")))",Backend UI Toggle
Settings,B13,"=1/((B146=""Show"")+((B146<>""Hide"")))",Backend UI Toggle
Settings,B14,"=1/((B147=""Show"")+((B147<>""Hide"")))",Backend UI Toggle
Settings,B15,"=1/((B148=""Show"")+((B148<>""Hide"")))",Backend UI Toggle
Settings,B16,"=1/((B149=""Show"")+((B149<>""Hide"")))",Backend UI Toggle
Settings,B17,"=1/((B150=""Show"")+((B150<>""Hide"")))",Backend UI Toggle
Settings,B18,"=1/((B151=""Show"")+((B151<>""Hide"")))",Backend UI Toggle
Settings,B19,"=1/((B152=""Show"")+((B152<>""Hide"")))",Backend UI Toggle
Settings,B20,"=1/((B153=""Show"")+((B153<>""Hide"")))",Backend UI Toggle
Settings,B21,"=1/((B154=""Show"")+((B154<>""Hide"")))",Backend UI Toggle
Settings,B22,"=1/((B155=""Show"")+((B155<>""Hide"")))",Backend UI Toggle
Settings,B23,"=1/((B156=""Show"")+((B156<>""Hide"")))",Backend UI Toggle
