Tab Name,Field Name,Named Range,Input,Calculated,Dropdown,Formula Type,Data Type,Row Hidden,Column Hidden,Notes,Cell Ref
File Info,Unknown_Field_A2,,Yes,No,No,,s,No,No,,A2
File Info,This column hidden by default,,Yes,No,Yes,,s,No,No,,I2
File Info,<< Show Template in Front End or Back End Mode,,Yes,No,No,,s,No,No,,N2
File Info,This column hidden by default,,Yes,No,No,,s,No,No,,A3
File Info,Unknown_Field_C5,,Yes,No,No,,s,No,No,,C5
File Info,REPORT WRITER,,No,Yes,No,Conditional,f,No,No,,F5
File Info,REPORT WRITER,,Yes,No,No,,s,No,No,,R5
File Info,"Project, Property, & Contact Information",,Yes,No,No,,s,No,No,,R7
File Info,Project Information,,Yes,No,No,,s,No,No,,R10
File Info,Source,,Yes,No,No,,s,No,No,,T10
File Info,Version Number,,Yes,No,No,,s,No,No,,U10
File Info,New import/export buttons in top-left of Partner Ribbon,,Yes,No,No,,s,No,No,,R12
File Info,Partner Ribbon,,Yes,No,No,,s,No,No,,T12
File Info,1.203_09_24_25,,Yes,No,No,,d,No,No,,U12
File Info,Subject ID,,Yes,No,No,,n,No,No,,I13
File Info,New import/export buttons in top-left of Partner Ribbon,,Yes,No,No,,s,No,No,,R13
File Info,SyncLynx,,Yes,No,No,,s,No,No,,T13
File Info,V1.201,,Yes,No,No,,d,No,No,,U13
File Info,Office File / Number,,No,Yes,No,Calculation,f,No,No,,G15
File Info,Office File / Number,,Yes,No,No,,s,No,No,,R15
File Info,Template,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],T15
File Info,Template,,Yes,No,No,,d,No,No,,U15
File Info,Excel Uploader,,Yes,No,No,,s,No,No,,T17
File Info,V46.00 (1.34.2),,Yes,No,No,,s,No,No,,U17
File Info,Unknown_Field_A18,,Yes,No,No,,s,No,No,,A18
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A19
File Info,,,Yes,No,No,,s,No,No,,K19
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A20
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A21
File Info,VeryHidden,,Yes,No,No,,s,No,No,,C21
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A22
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A23
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A24
File Info,VeryHidden,,Yes,No,No,,s,No,No,,A25
File Info,VeryHidden,,No,Yes,No,Calculation,f,No,No,,A28
File Info,VeryHidden,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A29
File Info,Invoice Information,,Yes,No,Yes,,s,No,No,,M29
File Info,VeryHidden,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A30
File Info,VeryHidden,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A31
File Info,VeryHidden,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A32
File Info,VeryHidden,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A33
File Info,Unknown_Field_A34,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A34
File Info,Unknown_Field_A35,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A35
File Info,Unknown_Field_A36,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A36
File Info,Unknown_Field_A37,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A37
File Info,Unknown_Field_A38,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A38
File Info,Unknown_Field_A39,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A39
File Info,Unknown_Field_A40,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A40
File Info,Unknown_Field_A41,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],A41
