Named Range,Sheet,Cell,Reference
_Acute_Care_Hospital,Property Types,$C$41:$C$42,'Property Types'!$C$41:$C$42
_Agribusiness,Property Types,$C$21:$C$29,'Property Types'!$C$21:$C$29
_Agricultural,Property Types,$B$20:$B$25,'Property Types'!$B$20:$B$25
_Amusement_Facility,Property Types,$C$255:$C$259,'Property Types'!$C$255:$C$259
_Assembly_Meeting_Place,Property Types,$B$32:$B$37,'Property Types'!$B$32:$B$37
_Assisted_Living_Residences,Property Types,$C$205:$C$206,'Property Types'!$C$205:$C$206
_Behavioral_Care_Facility,Property Types,$C$44:$C$45,'Property Types'!$C$44:$C$45
_Car_Wash,Property Types,$C$145:$C$147,'Property Types'!$C$145:$C$147
_Clinical_Laboratory,Property Types,$C$47:$C$48,'Property Types'!$C$47:$C$48
_Communication_Server_Farms,Property Types,$C$77,'Property Types'!$C$77
_Continuing_Care_Retirement_Communities,Property Types,$C$185:$C$196,'Property Types'!$C$185:$C$196
_Convenience_Store,Property Types,$C$167:$C$170,'Property Types'!$C$167:$C$170
_Easement,Property Types,$C$81:$C$83,'Property Types'!$C$81:$C$83
_ExpenseGridCompsUsed,Expense Grid,$G$28,'Expense Grid'!$G$28
_Fitness_Court_and_Spa_Facility,Property Types,$C$261:$C$263,'Property Types'!$C$261:$C$263
_Free_Standing_Building,Property Types,$C$149:$C$153,'Property Types'!$C$149:$C$153
_Golf_Related,Property Types,$C$265:$C$267,'Property Types'!$C$265:$C$267
_Health_Care,Property Types,$B$40:$B$47,'Property Types'!$B$40:$B$47
_Health_Care_Other,Property Types,$C$52:$C$55,'Property Types'!$C$52:$C$55
_Independent_Living_Residence,Property Types,$C$208,'Property Types'!$C$208
_Industrial,Property Types,$B$58:$B$77,'Property Types'!$B$58:$B$77
_Land,Property Types,$B$80:$B$98,'Property Types'!$B$80:$B$98
_Land_Mixed_Use,Property Types,$C$94:$C$97,'Property Types'!$C$94:$C$97
_Land_Multi_Family,Property Types,$C$86:$C$87,'Property Types'!$C$86:$C$87
_LandGridCompsUsed,Land Grid,$F$16,'Land Grid'!$F$16
_LeaseGridCompsUsed,Lease Grid,$F$16,'Lease Grid'!$F$16
_Lodging_Hospitality,Property Types,$B$101:$B$112,'Property Types'!$B$101:$B$112
_Lodging_Hospitality_Mixed_Use,Property Types,$C$102:$C$105,'Property Types'!$C$102:$C$105
_Manufactured_Home,Property Types,$C$285:$C$289,'Property Types'!$C$285:$C$289
_Manufacturing,Property Types,$C$59:$C$62,'Property Types'!$C$59:$C$62
_Medical_Office,Property Types,$C$141,'Property Types'!$C$141
_Multi_Family,Property Types,$B$115:$B$127,'Property Types'!$B$115:$B$127
_Multi_Family_Mixed_Use,Property Types,$C$120:$C$123,'Property Types'!$C$120:$C$123
_N1Appraiser2FirstName,File Info,$I$354,'File Info'!$I$354
_N1Appraiser2LastName,File Info,$I$358,'File Info'!$I$358
_N1AppraiserFirstName,File Info,$I$281,'File Info'!$I$281
_N1AppraiserLastName,File Info,$I$285,'File Info'!$I$285
_N1ClientCompanyName,File Info,$I$144,'File Info'!$I$144
_N1ClientFile,File Info,$I$142,'File Info'!$I$142
_N1ClientFirstName,File Info,$I$148,'File Info'!$I$148
_N1ClientLastName,File Info,$I$152,'File Info'!$I$152
_N1ClientPhoneNumber,File Info,$I$174,'File Info'!$I$174
_N1ContactFirstName,File Info,$I$246,'File Info'!$I$246
_N1ContactLastName,File Info,$I$250,'File Info'!$I$250
_N1ContractTotal,File Info,$I$40,'File Info'!$I$40
_N1DueDate,File Info,$I$17,'File Info'!$I$17
_N1Expenses,File Info,$I$44,'File Info'!$I$44
_N1Fee2,File Info,$I$36,'File Info'!$I$36
_N1FileName,File Info,$I$15,'File Info'!$I$15
_N1InspectionFee,File Info,$I$38,'File Info'!$I$38
_N1InvoiceAmount,File Info,$I$34,'File Info'!$I$34
_N1InvoiceDate,File Info,$I$46,'File Info'!$I$46
_N1InvoiceNumber,File Info,$I$32,'File Info'!$I$32
_N1Milestone,File Info,$I$21,'File Info'!$I$21
_N1PercentComplete,File Info,$I$19,'File Info'!$I$19
_N1ProjectNotes,File Info,$I$25,'File Info'!$I$25
_N1PropertyType,File Info,$I$102,'File Info'!$I$102
_N1RetainerFee,File Info,$I$42,'File Info'!$I$42
_N1Workfile,File Info,$I$23,'File Info'!$I$23
_NavAdvertising_and_Marketing_Exp_Analysis,Expense Grid,$BO$187,'Expense Grid'!$BO$187
_NavAnalysis_of_Appraised_Value,"Contracts, History",$A$35,"'Contracts, History'!$A$35"
_NavAppraisal_Firm,File Info,$B$322,'File Info'!$B$322
_NavAppraisal_Summary,Appraisal Summary,$A$9,'Appraisal Summary'!$A$9
_navAppraiser1Name,File Info,$I$281,'File Info'!$I$281
_navAppraiser2Name,File Info,$I$354,'File Info'!$I$354
_NavAppraisers,File Info,$B$348,'File Info'!$B$348
_NavAssessment_and_Taxes,Assessment,$AT$81,Assessment!$AT$81
_NavAssessment_Comp_Table,Assessment,$A$378,Assessment!$A$378
_NavAssessment_Input_Table,Assessment,$A$1,Assessment!$A$1
_navAssessment_NoOfParcelsInput,Assessment,$F$9,Assessment!$F$9
_NavBuilding_Repairs_Exp_Analysis,Expense Grid,$BO$397,'Expense Grid'!$BO$397
_NavBuilding_Summary,Improvements,$BY$437,Improvements!$BY$437
_navBuilding1Foundation,Improvements,$X$141,Improvements!$X$141
_navBuilding1ID,Improvements,$X$59,Improvements!$X$59
_NavBuildings_1_to_10,Improvements,$O$53,Improvements!$O$53
_NavBuildings_Overall,Improvements,$O$1,Improvements!$O$1
_NavCAM_Exp_Analysis,Expense Grid,$BO$475,'Expense Grid'!$BO$475
_NavCap_Rates,Capitalization and Multipliers,$A$127,'Capitalization and Multipliers'!$A$127
_NavCash_Flow_Charts,Capitalization and Multipliers,$A$214,'Capitalization and Multipliers'!$A$214
_NavCleaning_and_Janitorial_Exp_Analysis,Expense Grid,$BO$527,'Expense Grid'!$BO$527
_navClientFile,File Info,$I$142,'File Info'!$I$142
_NavClients,File Info,$B$139,'File Info'!$B$139
_NavCommercial_Lease_Table,Lease Grid,$BU$465,'Lease Grid'!$BU$465
_NavComp_Cap_Rates,Capitalization and Multipliers,$A$149,'Capitalization and Multipliers'!$A$149
_NavComp_Sheet_Setup,Sales Grid,$FU$645,'Sales Grid'!$FU$645
_NavContracts,"Contracts, History",$A$1,"'Contracts, History'!$A$1"
_NavCost_Section_1,Cost,$A$1,Cost!$A$1
_NavCost_Section_2,Cost,$A$77,Cost!$A$77
_NavCost_Section_3,Cost,$A$134,Cost!$A$134
_NavCost_Summary,Cost,$A$192,Cost!$A$192
_NavCrime_Data_Import,Market Area,$BA$533,'Market Area'!$BA$533
_NavDates_and_Premises,"Dates, Premises",$A$1,"'Dates, Premises'!$A$1"
_NavDCF_Reconciled_Value,Capitalization and Multipliers,$A$353,'Capitalization and Multipliers'!$A$353
_NavDebt_Coverage_Ratio,Capitalization and Multipliers,$A$143,'Capitalization and Multipliers'!$A$143
_NavDemographics,Market Area,$AC$198,'Market Area'!$AC$198
_NavEGIM_Analysis,Capitalization and Multipliers,$A$293,'Capitalization and Multipliers'!$A$293
_NavElectric_Exp_Analysis,Expense Grid,$BO$213,'Expense Grid'!$BO$213
_NavEnglish_Use,File Info,$B$485,'File Info'!$B$485
_NavESRI_Import,Market Area,$BY$578,'Market Area'!$BY$578
_NavExecutive_Briefing,Submarket Analytics,$BF$555,'Submarket Analytics'!$BF$555
_NavExpense_Comp_Table,Expense Grid,$A$946,'Expense Grid'!$A$946
_NavExpense_Comparables_Grid,Expense Grid,$A$11,'Expense Grid'!$A$11
_NavExpense_Summary,Income-Expense Summary,$AP$61,'Income-Expense Summary'!$AP$61
_navExpenseCompData,tblExpenseComps,$A$5,tblExpenseComps!$A$5
_NavExpenses,Capitalization and Multipliers,$A$70,'Capitalization and Multipliers'!$A$70
_NavFile_Info,File Info,$B$1,'File Info'!$B$1
_NavFoundation_or_Frame,Improvements,$O$130,Improvements!$O$130
_NavFuel_Exp_Analysis,Expense Grid,$BO$318,'Expense Grid'!$BO$318
_NavGas_Exp_Analysis,Expense Grid,$BO$291,'Expense Grid'!$BO$291
_NavGen_Admin_Exp_Analysis,Expense Grid,$BO$580,'Expense Grid'!$BO$580
_NavGround_Rent_Exp_Analysis,Expense Grid,$BO$895,'Expense Grid'!$BO$895
_NavHBU_Analysis,Site,$EE$345,Site!$EE$345
_NavHealth_Benefits_Salaries_Exp_Analysis,Expense Grid,$BO$686,'Expense Grid'!$BO$686
_NavHypothetical_and_Extraordinary_Display_Tables,"Dates, Premises",$V$71,"'Dates, Premises'!$V$71"
_navHypotheticalConditions,"Dates, Premises",$I$39,"'Dates, Premises'!$I$39"
_navIE_Input_YTD,YTD Input,$A$2,'YTD Input'!$A$2
_navIE_Input_YTD_Year_1,YTD Year-1 Input,$A$2,'YTD Year-1 Input'!$A$2
_navIE_InputBudget,Budget Input,$A$2,'Budget Input'!$A$2
_navIE_InputT12,T-12 Input,$A$2,'T-12 Input'!$A$2
_navIE_InputYear_1,Year-1 Input,$A$2,'Year-1 Input'!$A$2
_navIE_InputYear_2,Year-2 Input,$A$2,'Year-2 Input'!$A$2
_navIE_InputYear_3,Year-3 Input,$A$2,'Year-3 Input'!$A$2
_navIE_InputYear_4,Year-4 Input,$A$2,'Year-4 Input'!$A$2
_navIE_InputYear_5,Year-5 Input,$A$2,'Year-5 Input'!$A$2
_navIE_InputYear_6,Year-6 Input,$A$2,'Year-6 Input'!$A$2
_NavImproved_Comp_1,Sales Grid,$FU$647,'Sales Grid'!$FU$647
_NavImproved_Comp_10,Sales Grid,$FU$1605,'Sales Grid'!$FU$1605
_NavImproved_Comp_2,Sales Grid,$FU$765,'Sales Grid'!$FU$765
_NavImproved_Comp_3,Sales Grid,$FU$870,'Sales Grid'!$FU$870
