Sheet,Cell,Formula,Named Range
File Info,A28,"=1/(Z_FileInfo_ShowHide<>""Hide"")",
Improvements,AB138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AB$58,"""")",
Improvements,AC138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AC$58,"""")",
Improvements,AD138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AD$58,"""")",
Improvements,AE138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AE$58,"""")",
Improvements,AF138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AF$58,"""")",
Improvements,AG138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AG$58,"""")",
Improvements,AH138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AH$58,"""")",
Improvements,AI138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AI$58,"""")",
Improvements,AJ138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AJ$58,"""")",
Improvements,AK138,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AK$58,"""")",
Improvements,AB162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AB$58,"""")",
Improvements,AC162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AC$58,"""")",
Improvements,AD162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AD$58,"""")",
Improvements,AE162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AE$58,"""")",
Improvements,AF162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AF$58,"""")",
Improvements,AG162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AG$58,"""")",
