Tab Name,Field Name,Named Range,Input,Calculated,Dropdown,Formula Type,Data Type,Row Hidden,Column Hidden,Notes,Cell Ref
File Info,REPORT WRITER,,No,Yes,No,Conditional,f,No,No,,F5
File Info,"Project, Property, & Contact Information",,Yes,No,No,,s,No,No,,R7
File Info,Project Information,,Yes,No,No,,s,No,No,,R10
File Info,Source,,Yes,No,No,,s,No,No,,T10
File Info,Version Number,,Yes,No,No,,s,No,No,,U10
File Info,New import/export buttons in top-left of Partner Ribbon,,Yes,No,No,,s,No,No,,R12
File Info,Partner Ribbon,,Yes,No,No,,s,No,No,,T12
File Info,1.203_09_24_25,,Yes,No,No,,d,No,No,,U12
File Info,Subject ID,,Yes,No,No,,n,No,No,,I13
File Info,SyncLynx,,Yes,No,No,,s,No,No,,T13
File Info,V1.201,,Yes,No,No,,d,No,No,,U13
File Info,Office File / Number,,No,Yes,No,Calculation,f,No,No,,G15
File Info,Template,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],T15
File Info,Excel Uploader,,Yes,No,No,,s,No,No,,T17
File Info,V46.00 (1.34.2),,Yes,No,No,,s,No,No,,U17
File Info,,,Yes,No,No,,s,No,No,,K19
File Info,Invoice Information,,Yes,No,Yes,,s,No,No,,M29
File Info,Workbook Set Up,,Yes,No,Yes,,s,No,No,,M50
File Info,Property Name,,Yes,No,No,,s,No,No,,I87
File Info,Property Major Type,,Yes,No,Yes,,s,No,No,,I100
File Info,Property Type,,Yes,No,Yes,,s,No,No,,I102
File Info,Is there Multi-Family Affordable?,,Yes,No,Yes,,s,No,No,,U104
File Info,Owner Name,,Yes,No,No,,s,No,No,,I108
File Info,Is this a Market Study?,,Yes,No,Yes,,s,No,No,,U108
File Info,Address,,Yes,No,No,,s,No,No,,I110
File Info,City,,Yes,No,No,,s,No,No,,I112
File Info,Full Address,,No,Yes,No,Conditional,f,No,No,,T112
File Info,County,,Yes,No,No,,s,No,No,,I114
File Info,Market Analysis Address Overwrite,,Yes,No,No,,s,No,No,,V114
File Info,Country,,Yes,No,Yes,,s,No,No,,I116
File Info,State Abbreviation,,Yes,No,No,,s,No,No,,I118
File Info,State Name,,No,Yes,No,Lookup,f,No,No,,I120
File Info,Zip/Postal Code,,Yes,No,No,,s,No,No,,I122
File Info,Census Tract,,Yes,No,No,,s,No,No,,I124
File Info,Census Block,,Yes,No,No,,s,No,No,,I126
File Info,CBSA Name,,Yes,No,No,,s,No,No,,I130
File Info,Market,,Yes,No,No,,s,No,No,,I132
File Info,Sub Market,,Yes,No,No,,s,No,No,,I134
File Info,This row hidden by default,,Yes,No,No,,s,No,No,,N140
File Info,Client 1 File Number,,Yes,No,No,,s,No,No,,L142
File Info,Salutation,,No,Yes,No,Conditional,f,No,No,,R146
File Info,First Last,,No,Yes,No,Calculation,f,No,No,,I154
File Info,Client Display Name,,No,Yes,No,Conditional,f,No,No,,I158
File Info,Title,,Yes,No,No,,s,No,No,,I160
File Info,Address2,,Yes,No,No,,s,No,No,,I164
File Info,Do Client Appraisal Requirements apply?,,Yes,No,Yes,,s,No,No,,I184
File Info,Is FIRREA Language required?,,Yes,No,Yes,,s,No,No,,I186
File Info,Second Client Information,,Yes,No,Yes,,s,No,No,,M190
File Info,Client 2 File Number,,Yes,No,No,,s,No,No,,K194
File Info,Company Name,,No,Yes,No,Lookup,f,No,No,,I196
File Info,First Name,,No,Yes,No,Lookup,f,No,No,,I200
File Info,Middle Name,,No,Yes,No,Lookup,f,No,No,,I202
File Info,Last Name,,No,Yes,No,Lookup,f,No,No,,I204
File Info,Designation,,No,Yes,No,Lookup,f,No,No,,I206
File Info,Display Name,,No,Yes,No,Conditional,f,No,No,,I208
File Info,State/Province,,No,Yes,No,Lookup,f,No,No,,I218
File Info,Phone Number,,No,Yes,No,Lookup,f,No,No,,I224
File Info,Phone Number2,,No,Yes,No,Lookup,f,No,No,,I226
File Info,Fax Number,,No,Yes,No,Lookup,f,No,No,,I228
File Info,E-mail,,No,Yes,No,Lookup,f,No,No,,I230
File Info,Web Site,,No,Yes,No,Lookup,f,No,No,,I232
File Info,Property Contact Information,,Yes,No,Yes,,s,No,No,,M236
File Info,First Appraiser Information,,Yes,No,Yes,,s,No,No,,M273
File Info,"If needed, Refresh Data with Appraiser Button in Top-Left of Ribbon.",,No,Yes,No,Calculation,f,No,No,,Q277
File Info,Certification State,,No,Yes,Yes,Lookup,f,No,No,,I297
File Info,Appraiser Inspection,,Yes,No,Yes,,s,No,No,,I307
File Info,Appraiser Inspection Date,,No,Yes,No,Conditional,f,No,No,,I309
File Info,within the three-year period immediately preceding acceptance of this assignment for,,No,Yes,No,Lookup,f,No,No,,W314
File Info,N1_txtAppraiser1PriorServices >,,No,Yes,No,Conditional,f,No,No,,U315
File Info,Appraisal Firm,,Yes,No,Yes,,s,No,No,,M319
File Info,Second Appraiser,,Yes,No,Yes,,s,No,No,,M346
File Info,N1_txtAppraiser2PriorServices >,,No,Yes,No,Conditional,f,No,No,,U386
File Info,Third Appraiser,,Yes,No,Yes,,s,No,No,,M390
File Info,N1_txtAppraiser3PriorServices >,,No,Yes,No,Conditional,f,No,No,,U430
File Info,Fourth Appraiser,,Yes,No,Yes,,s,No,No,,M434
File Info,N1_txtAppraiser4PriorServices >,,No,Yes,No,Conditional,f,No,No,,U474
File Info,Significant Assistance 1,,No,Yes,No,Calculation,f,No,No,,Q478
File Info,N1_txtCertSignificantAssistance >,,No,Yes,No,Conditional,f,No,No,,U478
File Info,Significant Assistance 2,,Yes,No,No,,s,No,No,,U479
File Info,Authors Perspective,,Yes,No,Yes,,s,No,No,,I485
File Info,Author My/Our Upper Case,,No,Yes,No,Conditional,f,No,No,,I487
File Info,Author My/Our Lower Case,,No,Yes,No,Calculation,f,No,No,,I489
File Info,Authors Perspective Lower Case,,No,Yes,No,Conditional,f,No,No,,I491
File Info,Navigate,,Yes,No,Yes,,s,No,No,,T497
File Info,Date of Inspection,,Yes,No,No,,s,No,No,,Y501
File Info,Choose ->,,No,Yes,Yes,Calculation,f,No,No,,T502
File Info,Toggle Display,,Yes,No,Yes,,s,No,No,,AK541
File Info,Subject,,No,Yes,No,PassThrough,f,No,No,[PASS-THROUGH],B558
File Info,Contacts,,Yes,No,No,,s,No,No,,B562
File Info,ID,,Yes,No,No,,s,No,No,,C562
File Info,Contact Role,,Yes,No,No,,s,No,No,,L562
File Info,Certification Type,,Yes,No,No,,s,No,No,,N562
File Info,Certification Number,,Yes,No,No,,s,No,No,,O562
