tab,cell,row,col,value,field_type,formula
Assessment,C2,2,C,VeryHidden,user_entry,
Assessment,G2,2,G,VeryHidden,user_entry,
Assessment,H2,2,H,VeryHidden,user_entry,
Assessment,I2,2,I,0x7,user_entry,
Assessment,K2,2,K,0x7,user_entry,
Assessment,L2,2,L,0x7,user_entry,
Assessment,M2,2,M,0x7,user_entry,
Assessment,N2,2,N,0x7,user_entry,
Assessment,O2,2,O,0x7,user_entry,
Assessment,P2,2,P,0x7,user_entry,
Assessment,Q2,2,Q,0x7,user_entry,
Assessment,R2,2,R,0x7,user_entry,
Assessment,S2,2,S,0x7,user_entry,
Assessment,T2,2,T,0x7,user_entry,
Assessment,U2,2,U,0x7,user_entry,
Assessment,V2,2,V,0x7,user_entry,
Assessment,W2,2,W,0x7,user_entry,
Assessment,X2,2,X,0x7,user_entry,
Assessment,Y2,2,Y,0x7,user_entry,
Assessment,Z2,2,Z,0x7,user_entry,
Assessment,AA2,2,AA,0x7,user_entry,
Assessment,AB2,2,AB,0x7,user_entry,
Assessment,AC2,2,AC,0x7,user_entry,
Assessment,AF2,2,AF,?,user_entry,
Assessment,B5,5,B,REPORT WRITER,user_entry,
Assessment,B7,7,B,Navigate,user_entry,
Assessment,E7,7,E,Assessment,user_entry,
Assessment,B9,9,B,Toggle Display,user_entry,
Assessment,F9,9,F,Choose Number of Parcels,user_entry,
Assessment,J9,9,J,1.0,user_entry,
Assessment,B12,12,B,Show Totals,user_entry,
Assessment,E12,12,E,Assessment and Taxes Data Entry Table,user_entry,
Assessment,I14,14,I,Hide,user_entry,
Assessment,J14,14,J,Show,user_entry,
Assessment,K14,14,K,Hide,user_entry,
Assessment,L14,14,L,Hide,user_entry,
Assessment,M14,14,M,Hide,user_entry,
Assessment,N14,14,N,Hide,user_entry,
Assessment,O14,14,O,Hide,user_entry,
Assessment,P14,14,P,Hide,user_entry,
Assessment,Q14,14,Q,Hide,user_entry,
Assessment,R14,14,R,Hide,user_entry,
Assessment,S14,14,S,Hide,user_entry,
Assessment,T14,14,T,Hide,user_entry,
Assessment,U14,14,U,Hide,user_entry,
Assessment,V14,14,V,Hide,user_entry,
Assessment,W14,14,W,Hide,user_entry,
Assessment,X14,14,X,Hide,user_entry,
Assessment,Y14,14,Y,Hide,user_entry,
Assessment,Z14,14,Z,Hide,user_entry,
Assessment,AA14,14,AA,Hide,user_entry,
Assessment,AB14,14,AB,Hide,user_entry,
Assessment,AC14,14,AC,Hide,user_entry,
Assessment,B15,15,B,1.0,user_entry,
Assessment,C15,15,C,VeryHidden,user_entry,
Assessment,F15,15,F,"System Row, Hidden By Default",user_entry,
Assessment,K15,15,K,0.0,user_entry,
Assessment,L15,15,L,0.0,user_entry,
Assessment,M15,15,M,0.0,user_entry,
Assessment,N15,15,N,0.0,user_entry,
Assessment,O15,15,O,0.0,user_entry,
Assessment,P15,15,P,0.0,user_entry,
Assessment,Q15,15,Q,0.0,user_entry,
Assessment,R15,15,R,0.0,user_entry,
Assessment,S15,15,S,0.0,user_entry,
Assessment,T15,15,T,0.0,user_entry,
Assessment,U15,15,U,0.0,user_entry,
Assessment,V15,15,V,0.0,user_entry,
Assessment,W15,15,W,0.0,user_entry,
Assessment,X15,15,X,0.0,user_entry,
Assessment,Y15,15,Y,0.0,user_entry,
Assessment,Z15,15,Z,0.0,user_entry,
Assessment,AA15,15,AA,0.0,user_entry,
Assessment,AB15,15,AB,0.0,user_entry,
Assessment,AC15,15,AC,0.0,user_entry,
Assessment,G16,16,G,Database Record (Optional),user_entry,
Assessment,H16,16,H,DB Method,user_entry,
Assessment,I16,16,I,Totals,user_entry,
Assessment,J16,16,J,Parcel 1,user_entry,
Assessment,K16,16,K,Parcel 2,user_entry,
Assessment,L16,16,L,Parcel 3,user_entry,
