tab,cell,row,col,value,field_type,formula
Cost Approach Setup,B1,1,B,VeryHidden,user_entry,
Cost Approach Setup,C1,1,C,VeryHidden,user_entry,
Cost Approach Setup,J1,1,J,VeryHidden,user_entry,
Cost Approach Setup,B2,2,B,VeryHidden,user_entry,
Cost Approach Setup,F5,5,F,Cost Approach Setting,user_entry,
Cost Approach Setup,G5,5,G,Value,user_entry,
Cost Approach Setup,J5,5,J,No Cost Comps|No Cost Comps|No Budget,user_entry,
Cost Approach Setup,B6,6,B,1.0,user_entry,
Cost Approach Setup,F6,6,F,Are you doing a full Cost Approach or just an Insurable Value?,user_entry,
Cost Approach Setup,K6,6,K,pvaCostApproach_CostorInsurable,user_entry,
Cost Approach Setup,B7,7,B,1.0,user_entry,
Cost Approach Setup,F7,7,F,Do you need External Obsolescence Analysis,user_entry,
Cost Approach Setup,G7,7,G,No,user_entry,
Cost Approach Setup,K7,7,K,pvaCostApproach_ExtObsAnalysis,user_entry,
Cost Approach Setup,B8,8,B,1.0,user_entry,
Cost Approach Setup,F8,8,F,Do you have Cost Comparables?,user_entry,
Cost Approach Setup,G8,8,G,No,user_entry,
Cost Approach Setup,J8,8,J,No Cost Comps,user_entry,
Cost Approach Setup,K8,8,K,pvaCostApproach_HasCostComps,user_entry,
Cost Approach Setup,B9,9,B,1.0,user_entry,
Cost Approach Setup,F9,9,F,Do your Cost Comps have Indirect/Soft Costs?,user_entry,
Cost Approach Setup,G9,9,G,No,user_entry,
Cost Approach Setup,J9,9,J,No Cost Comps,user_entry,
Cost Approach Setup,K9,9,K,pvaCostApproach_CostCompsHasIndirect,user_entry,
Cost Approach Setup,B10,10,B,1.0,user_entry,
Cost Approach Setup,F10,10,F,Do you have a Construction Budget?,user_entry,
Cost Approach Setup,G10,10,G,No,user_entry,
Cost Approach Setup,J10,10,J,No Budget,user_entry,
Cost Approach Setup,K10,10,K,pvaCostApproach_HasCostBudget,user_entry,
Cost Approach Setup,B11,11,B,1.0,user_entry,
Cost Approach Setup,F11,11,F,Which Insurable Value Table do you need?,user_entry,
Cost Approach Setup,K11,11,K,pvaCostApproach_InsurableValueDD,user_entry,
Cost Approach Setup,B12,12,B,1.0,user_entry,
Cost Approach Setup,F12,12,F,Is it a Going Concern Value?,user_entry,
Cost Approach Setup,G12,12,G,No,user_entry,
Cost Approach Setup,K12,12,K,pvaCostApproach_GoingConcern,user_entry,
Cost Approach Setup,B13,13,B,0x7,user_entry,
Cost Approach Setup,F13,13,F,Seniors Housing - Full Cost Approach or FF&E Only?,user_entry,
Cost Approach Setup,K13,13,K,pvaSH_Cost_ShowHide,user_entry,
Cost Approach Setup,B14,14,B,0x7,user_entry,
Cost Approach Setup,F14,14,F,"Note for Seniors - if changing to use Full Cost Approach, ensure N1_chtScopeMethodologyTable shows ""Yes""",user_entry,
Cost Approach Setup,F16,16,F,N1_chtCostApproachSettings,user_entry,
Cost Approach Setup,J18,18,J,VeryHidden,user_entry,
