tab,cell,row,col,value,field_type,formula
DirectCapConclusion,B2,2,B,VeryHidden,user_entry,
DirectCapConclusion,F6,6,F,Risk Factor,user_entry,
DirectCapConclusion,G6,6,G,Considerations,user_entry,
DirectCapConclusion,H6,6,H,Pressure Impact,user_entry,
DirectCapConclusion,K6,6,K,Rating,user_entry,
DirectCapConclusion,B7,7,B,1.0,user_entry,
DirectCapConclusion,C7,7,C,Auto,user_entry,
DirectCapConclusion,F7,7,F,Income Characteristics,user_entry,
DirectCapConclusion,G7,7,G,"Stability of cash flow, risk of tax reassessment, above/below market rents",user_entry,
DirectCapConclusion,H7,7,H,tu,user_entry,
DirectCapConclusion,K7,7,K,No Impact,user_entry,
DirectCapConclusion,B8,8,B,1.0,user_entry,
DirectCapConclusion,C8,8,C,Auto,user_entry,
DirectCapConclusion,F8,8,F,Physical Characteristics,user_entry,
DirectCapConclusion,G8,8,G,"Community quality and condition, appeal relative to market competitors",user_entry,
DirectCapConclusion,H8,8,H,tu,user_entry,
DirectCapConclusion,K8,8,K,No Impact,user_entry,
DirectCapConclusion,B9,9,B,1.0,user_entry,
DirectCapConclusion,C9,9,C,Auto,user_entry,
DirectCapConclusion,F9,9,F,Location,user_entry,
DirectCapConclusion,G9,9,G,"Proximity to jobs hubs and support services, demographics & life cycle trends",user_entry,
DirectCapConclusion,H9,9,H,q,user_entry,
DirectCapConclusion,K9,9,K,Downward,user_entry,
DirectCapConclusion,B10,10,B,1.0,user_entry,
DirectCapConclusion,C10,10,C,Auto,user_entry,
DirectCapConclusion,F10,10,F,Market,user_entry,
DirectCapConclusion,G10,10,G,"Rental rate & occupancy trends, risk of new supply or regulatory issues",user_entry,
DirectCapConclusion,H10,10,H,q,user_entry,
DirectCapConclusion,K10,10,K,Downward,user_entry,
DirectCapConclusion,B11,11,B,1.0,user_entry,
DirectCapConclusion,C11,11,C,Auto,user_entry,
DirectCapConclusion,F11,11,F,Highest & Best Use,user_entry,
DirectCapConclusion,G11,11,G,Downside risk for casualty or upside potential for development or expansion,user_entry,
DirectCapConclusion,H11,11,H,tu,user_entry,
DirectCapConclusion,K11,11,K,No Impact,user_entry,
DirectCapConclusion,B12,12,B,0x7,user_entry,
DirectCapConclusion,C12,12,C,Auto,user_entry,
DirectCapConclusion,F12,12,F,Age of Improvements,user_entry,
DirectCapConclusion,G12,12,G,Effective age considerations of subject property,user_entry,
DirectCapConclusion,H12,12,H,tu,user_entry,
DirectCapConclusion,K12,12,K,No Impact,user_entry,
DirectCapConclusion,B13,13,B,0x7,user_entry,
DirectCapConclusion,C13,13,C,Auto,user_entry,
DirectCapConclusion,F13,13,F,Economic Conditions,user_entry,
DirectCapConclusion,G13,13,G,Current economic market trends,user_entry,
DirectCapConclusion,H13,13,H,pp,user_entry,
DirectCapConclusion,K13,13,K,Strong Upward,user_entry,
DirectCapConclusion,B14,14,B,0x7,user_entry,
DirectCapConclusion,C14,14,C,Auto,user_entry,
DirectCapConclusion,F15,15,F,Overall Cap Rate Pressure,user_entry,
DirectCapConclusion,H15,15,H,q,user_entry,
DirectCapConclusion,K15,15,K,Downward,user_entry,
DirectCapConclusion,F17,17,F,N1_chtCapRatePressures,user_entry,
DirectCapConclusion,N19,19,N,VeryHidden,user_entry,
DirectCapConclusion,S19,19,S,1.0,user_entry,
DirectCapConclusion,T19,19,T,9.0,user_entry,
DirectCapConclusion,U19,19,U,17.0,user_entry,
DirectCapConclusion,V19,19,V,25.0,user_entry,
DirectCapConclusion,W19,19,W,33.0,user_entry,
DirectCapConclusion,X19,19,X,41.0,user_entry,
DirectCapConclusion,Y19,19,Y,49.0,user_entry,
DirectCapConclusion,Z19,19,Z,57.0,user_entry,
DirectCapConclusion,AA19,19,AA,65.0,user_entry,
DirectCapConclusion,AB19,19,AB,73.0,user_entry,
DirectCapConclusion,AC19,19,AC,81.0,user_entry,
DirectCapConclusion,AD19,19,AD,89.0,user_entry,
DirectCapConclusion,AE19,19,AE,97.0,user_entry,
DirectCapConclusion,AF19,19,AF,105.0,user_entry,
DirectCapConclusion,AG19,19,AG,113.0,user_entry,
DirectCapConclusion,AH19,19,AH,121.0,user_entry,
DirectCapConclusion,AI19,19,AI,129.0,user_entry,
DirectCapConclusion,AJ19,19,AJ,137.0,user_entry,
DirectCapConclusion,AK19,19,AK,145.0,user_entry,
DirectCapConclusion,AL19,19,AL,-1.0,user_entry,
DirectCapConclusion,L20,20,L,VeryHidden,user_entry,
DirectCapConclusion,M20,20,M,VeryHidden,user_entry,
DirectCapConclusion,N20,20,N,VeryHidden,user_entry,
DirectCapConclusion,S20,20,S,0x7,user_entry,
DirectCapConclusion,T20,20,T,0x7,user_entry,
DirectCapConclusion,U20,20,U,0x7,user_entry,
DirectCapConclusion,V20,20,V,0x7,user_entry,
DirectCapConclusion,W20,20,W,0x7,user_entry,
DirectCapConclusion,X20,20,X,0x7,user_entry,
DirectCapConclusion,Y20,20,Y,0x7,user_entry,
DirectCapConclusion,Z20,20,Z,0x7,user_entry,
DirectCapConclusion,AA20,20,AA,0x7,user_entry,
