tab,cell,row,col,value,field_type,formula
File Info,A2,2,A,This column hidden by default,user_entry,
File Info,I2,2,I,Back End,user_entry,
File Info,J2,2,J,<< Show Template in Front End or Back End Mode,user_entry,
File Info,N2,2,N,?,user_entry,
File Info,A3,3,A,VeryHidden,user_entry,
File Info,C5,5,C,REPORT WRITER,user_entry,
File Info,F5,5,F,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
File Info,R5,5,R,"For optimal performance, please ensure your saved versions meet,",user_entry,
File Info,F7,7,F,"Project, Property, & Contact Information",user_entry,
File Info,R7,7,R,"or exceed, the following requirements:",user_entry,
File Info,F10,10,F,Project Information,user_entry,
File Info,R10,10,R,Source,user_entry,
File Info,T10,10,T,Version Number,user_entry,
File Info,U10,10,U,Last Saved on,user_entry,
File Info,K12,12,K,New import/export buttons in top-left of Partner Ribbon,user_entry,
File Info,R12,12,R,Partner Ribbon,user_entry,
File Info,T12,12,T,1.203_09_24_25,user_entry,
File Info,U12,12,U,46090.0,user_entry,
File Info,C13,13,C,Connection Setup: Now in Partner Ribbon > Support,user_entry,
File Info,F13,13,F,Subject ID,user_entry,
File Info,I13,13,I,259729.0,user_entry,
File Info,R13,13,R,SyncLynx,user_entry,
File Info,T13,13,T,V1.201,user_entry,
File Info,U13,13,U,46058.0,user_entry,
File Info,F15,15,F,Office File / Number,user_entry,
File Info,G15,15,G,1.0,user_entry,
File Info,R15,15,R,Template,user_entry,
File Info,T15,15,T,v1.300,user_entry,
File Info,U15,15,U,46129.0,user_entry,
File Info,F17,17,F,Due Date,user_entry,
File Info,R17,17,R,Excel Uploader,user_entry,
File Info,T17,17,T,V46.00 (1.34.2),user_entry,
File Info,U17,17,U,--,user_entry,
File Info,A18,18,A,VeryHidden,user_entry,
File Info,A19,19,A,VeryHidden,user_entry,
File Info,F19,19,F,Percent Complete,user_entry,
File Info,J19,19,J,,user_entry,
File Info,K19,19,K,Update Project Status,user_entry,
File Info,A20,20,A,VeryHidden,user_entry,
File Info,A21,21,A,VeryHidden,user_entry,
File Info,C21,21,C,Show Data Legend,user_entry,
File Info,F21,21,F,Milestone,user_entry,
File Info,J21,21,J,,user_entry,
File Info,A22,22,A,VeryHidden,user_entry,
File Info,A23,23,A,VeryHidden,user_entry,
File Info,F23,23,F,Workfile Location,user_entry,
File Info,A24,24,A,VeryHidden,user_entry,
File Info,A25,25,A,VeryHidden,user_entry,
File Info,F25,25,F,Project Notes,user_entry,
File Info,A28,28,A,0x7,user_entry,
File Info,A29,29,A,0x7,user_entry,
File Info,F29,29,F,Invoice Information,user_entry,
File Info,M29,29,M,Hide,user_entry,
File Info,A30,30,A,0x7,user_entry,
File Info,A31,31,A,0x7,user_entry,
File Info,A32,32,A,0x7,user_entry,
File Info,F32,32,F,Invoice Number,user_entry,
File Info,A33,33,A,0x7,user_entry,
File Info,A34,34,A,0x7,user_entry,
File Info,F34,34,F,Fee,user_entry,
File Info,A35,35,A,0x7,user_entry,
File Info,A36,36,A,0x7,user_entry,
File Info,F36,36,F,Fee 2,user_entry,
File Info,A37,37,A,0x7,user_entry,
File Info,A38,38,A,0x7,user_entry,
File Info,F38,38,F,Inspection Fee,user_entry,
File Info,A39,39,A,0x7,user_entry,
File Info,A40,40,A,0x7,user_entry,
File Info,F40,40,F,Contract Total,user_entry,
File Info,A41,41,A,0x7,user_entry,
File Info,A42,42,A,0x7,user_entry,
File Info,F42,42,F,Retainer Fee,user_entry,
File Info,A43,43,A,0x7,user_entry,
File Info,A44,44,A,0x7,user_entry,
File Info,F44,44,F,Expenses,user_entry,
File Info,A45,45,A,0x7,user_entry,
File Info,A46,46,A,0x7,user_entry,
