tab,cell,row,col,value,field_type,formula
Improvements,M1,1,M,<<Property Type Show/Hide,user_entry,
Improvements,AN2,2,AN,?,user_entry,
Improvements,N4,4,N,2.0,user_entry,
Improvements,S4,4,S,VeryHidden,user_entry,
Improvements,BC4,4,BC,2.0,user_entry,
Improvements,A5,5,A,VeryHidden,user_entry,
Improvements,B5,5,B,VeryHidden,user_entry,
Improvements,C5,5,C,VeryHidden,user_entry,
Improvements,D5,5,D,VeryHidden,user_entry,
Improvements,E5,5,E,VeryHidden,user_entry,
Improvements,F5,5,F,VeryHidden,user_entry,
Improvements,G5,5,G,VeryHidden,user_entry,
Improvements,H5,5,H,VeryHidden,user_entry,
Improvements,I5,5,I,VeryHidden,user_entry,
Improvements,J5,5,J,VeryHidden,user_entry,
Improvements,K5,5,K,VeryHidden,user_entry,
Improvements,L5,5,L,VeryHidden,user_entry,
Improvements,N5,5,N,VeryHidden,user_entry,
Improvements,O5,5,O,VeryHidden,user_entry,
Improvements,P5,5,P,VeryHidden,user_entry,
Improvements,Q5,5,Q,VeryHidden,user_entry,
Improvements,S5,5,S,VeryHidden,user_entry,
Improvements,U5,5,U,VeryHidden,user_entry,
Improvements,Y5,5,Y,VeryHidden,user_entry,
Improvements,Z5,5,Z,VeryHidden,user_entry,
Improvements,AA5,5,AA,0x7,user_entry,
Improvements,AC5,5,AC,0x7,user_entry,
Improvements,AD5,5,AD,0x7,user_entry,
Improvements,AE5,5,AE,0x7,user_entry,
Improvements,AF5,5,AF,0x7,user_entry,
Improvements,AG5,5,AG,0x7,user_entry,
Improvements,AH5,5,AH,0x7,user_entry,
Improvements,AI5,5,AI,0x7,user_entry,
Improvements,AJ5,5,AJ,0x7,user_entry,
Improvements,AK5,5,AK,0x7,user_entry,
Improvements,P7,7,P,REPORT WRITER,user_entry,
Improvements,W7,7,W,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
Improvements,AN7,7,AN,V: 46.02.9,user_entry,
Improvements,P10,10,P,Navigate,user_entry,
Improvements,U10,10,U,System,user_entry,
Improvements,W10,10,W,Improvements Description,user_entry,
Improvements,U11,11,U,Column,user_entry,
Improvements,P12,12,P,Toggle Display,user_entry,
Improvements,U12,12,U,All,user_entry,
Improvements,W12,12,W,Choose Number of Buildings,user_entry,
Improvements,AB12,12,AB,1.0,user_entry,
Improvements,U13,13,U,1.0,user_entry,
Improvements,P15,15,P,Show Totals Column,user_entry,
Improvements,W15,15,W,Overall Property & Multiple Buildings Summary,user_entry,
Improvements,AN15,15,AN,Hide,user_entry,
Improvements,A17,17,A,PropertyTypeKey,user_entry,
Improvements,Y18,18,Y,Database Record (Optional),user_entry,
Improvements,AB18,18,AB,All Buildings Description / Totals,user_entry,
Improvements,A19,19,A,Multi-Family|Mobile/Manufactured Home Park,user_entry,
Improvements,B19,19,B,Multi-Family|All,user_entry,
Improvements,C19,19,C,Multi-Family|Student-Oriented Housing,user_entry,
Improvements,D19,19,D,Multi-Family|Affordable,user_entry,
Improvements,E19,19,E,Retail-Commercial|All,user_entry,
Improvements,F19,19,F,Shopping Center|Super Regional Center/Mall,user_entry,
Improvements,G19,19,G,Office|All,user_entry,
Improvements,H19,19,H,Health Care|All,user_entry,
Improvements,I19,19,I,Senior Housing|All,user_entry,
Improvements,J19,19,J,Industrial|All,user_entry,
Improvements,K19,19,K,Self-Storage|All,user_entry,
Improvements,L19,19,L,Lodging & Hospitality|All,user_entry,
Improvements,N19,19,N,Active PropertyType,user_entry,
Improvements,AB19,19,AB,New! Gen AI > Generate Property Capsule button in Partner Ribbon,user_entry,
Improvements,A20,20,A,Hide,user_entry,
Improvements,B20,20,B,Show,user_entry,
Improvements,C20,20,C,Show,user_entry,
Improvements,D20,20,D,Show,user_entry,
Improvements,E20,20,E,Show,user_entry,
Improvements,F20,20,F,Show,user_entry,
Improvements,G20,20,G,Show,user_entry,
Improvements,H20,20,H,Show,user_entry,
Improvements,I20,20,I,Show,user_entry,
Improvements,J20,20,J,Show,user_entry,
Improvements,K20,20,K,Show,user_entry,
Improvements,L20,20,L,Show,user_entry,
Improvements,N20,20,N,Show,user_entry,
Improvements,P20,20,P,Show,user_entry,
Improvements,R20,20,R,Show,user_entry,
Improvements,S20,20,S,0.5,user_entry,
Improvements,X20,20,X,Capsule Description,user_entry,
Improvements,AB20,20,AB,0.0,user_entry,
Improvements,A21,21,A,Hide,user_entry,
Improvements,B21,21,B,Hide,user_entry,
Improvements,C21,21,C,Hide,user_entry,
Improvements,D21,21,D,Hide,user_entry,
Improvements,E21,21,E,Hide,user_entry,
Improvements,F21,21,F,Hide,user_entry,
Improvements,G21,21,G,Hide,user_entry,
Improvements,H21,21,H,Hide,user_entry,
Improvements,I21,21,I,Hide,user_entry,
Improvements,J21,21,J,Hide,user_entry,
Improvements,K21,21,K,Hide,user_entry,
Improvements,L21,21,L,Show,user_entry,
Improvements,N21,21,N,Hide,user_entry,
Improvements,P21,21,P,Show,user_entry,
Improvements,R21,21,R,Hide,user_entry,
Improvements,S21,21,S,0x7,user_entry,
Improvements,X21,21,X,Expanded Subject & Neighborhood,user_entry,
Improvements,A22,22,A,Hide,user_entry,
Improvements,B22,22,B,Hide,user_entry,
Improvements,C22,22,C,Hide,user_entry,
Improvements,D22,22,D,Hide,user_entry,
Improvements,E22,22,E,Hide,user_entry,
Improvements,F22,22,F,Hide,user_entry,
Improvements,G22,22,G,Hide,user_entry,
Improvements,H22,22,H,Hide,user_entry,
Improvements,I22,22,I,Hide,user_entry,
Improvements,J22,22,J,Hide,user_entry,
Improvements,K22,22,K,Hide,user_entry,
Improvements,L22,22,L,Show,user_entry,
Improvements,N22,22,N,Hide,user_entry,
Improvements,P22,22,P,Show,user_entry,
Improvements,R22,22,R,Hide,user_entry,
Improvements,S22,22,S,0x7,user_entry,
Improvements,X22,22,X,Historical CapEx,user_entry,
Improvements,A23,23,A,Hide,user_entry,
Improvements,B23,23,B,Hide,user_entry,
Improvements,C23,23,C,Hide,user_entry,
Improvements,D23,23,D,Hide,user_entry,
Improvements,E23,23,E,Hide,user_entry,
Improvements,F23,23,F,Hide,user_entry,
Improvements,G23,23,G,Hide,user_entry,
Improvements,H23,23,H,Hide,user_entry,
Improvements,I23,23,I,Hide,user_entry,
Improvements,J23,23,J,Hide,user_entry,
Improvements,K23,23,K,Hide,user_entry,
Improvements,L23,23,L,Show,user_entry,
