tab,cell,row,col,value,field_type,formula
Investor Survey Output,N2,2,N,VeryHidden,user_entry,
Investor Survey Output,N3,3,N,VeryHidden,user_entry,
Investor Survey Output,N4,4,N,VeryHidden,user_entry,
Investor Survey Output,O4,4,O,"=data_InvestorSurvey_Sources & "" Survey""",calculated,"=data_InvestorSurvey_Sources & "" Survey"""
Investor Survey Output,P4,4,P,Source 1:,user_entry,
Investor Survey Output,R4,4,R,"Situs RERC, PwC, Nareit, and NCREIF. Survey",user_entry,
Investor Survey Output,S4,4,S,shtData_Source1,user_entry,
Investor Survey Output,N5,5,N,VeryHidden,user_entry,
Investor Survey Output,O5,5,O,"=shtData_SourceHeader&"" "" & shtData_Source1&"" ""&shtData_SourceFooter",calculated,"=shtData_SourceHeader&"" "" & shtData_Source1&"" ""&shtData_SourceFooter"
Investor Survey Output,P5,5,P,Source Generic,user_entry,
Investor Survey Output,R5,5,R,"Source: Situs RERC, PwC, Nareit, and NCREIF. Survey data arranged & analyzed by Partner Valuation Advisors",user_entry,
Investor Survey Output,S5,5,S,shtData_Source,user_entry,
Investor Survey Output,K8,8,K,"National, Regional, Market",user_entry,
Investor Survey Output,C9,9,C,DD List Formula,user_entry,
Investor Survey Output,D9,9,D,Range Formula,user_entry,
Investor Survey Output,E9,9,E,Third Party Investment Rate Indications,user_entry,
Investor Survey Output,K9,9,K,"National, Regional",user_entry,
Investor Survey Output,B10,10,B,Holding for Future Dev,user_entry,
Investor Survey Output,C10,10,C,=pvaPropertyTypeKeyDD,calculated,=pvaPropertyTypeKeyDD
Investor Survey Output,D10,10,D,"=SWITCH(pvaPropertyTypeKey,""Multi-Family|Affordable"",""Multi-Family|All"",pvaPropertyTypeKey)",calculated,"=SWITCH(pvaPropertyTypeKey,""Multi-Family|Affordable"",""Multi-Family|All"",pvaPropertyTypeKey)"
Investor Survey Output,E10,10,E,Prop Type >,user_entry,
Investor Survey Output,F10,10,F,Multi-Family|All,user_entry,
Investor Survey Output,G10,10,G,pvaAPI_InvestorSurvey_PropType,user_entry,
Investor Survey Output,K10,10,K,"National, Market",user_entry,
Investor Survey Output,B11,11,B,"(Eventually, Probably Remove",user_entry,
Investor Survey Output,C11,11,C,'=Geography!$X$2:$X$25,user_entry,
Investor Survey Output,D11,11,D,"=IFERROR(INDEX(tblMSA[shortName_State],MATCH(pvaCbsaId,tblMSA[cbsaId],0)),"""")",calculated,"=IFERROR(INDEX(tblMSA[shortName_State],MATCH(pvaCbsaId,tblMSA[cbsaId],0)),"""")"
Investor Survey Output,E11,11,E,MSA >,user_entry,
