tab,cell,row,col,value,field_type,formula
Land Comp Profiles,H1,1,H,VeryHidden,user_entry,
Land Comp Profiles,L1,1,L,181.0,user_entry,
Land Comp Profiles,M1,1,M,182.0,user_entry,
Land Comp Profiles,N1,1,N,183.0,user_entry,
Land Comp Profiles,O1,1,O,184.0,user_entry,
Land Comp Profiles,P1,1,P,185.0,user_entry,
Land Comp Profiles,Q1,1,Q,186.0,user_entry,
Land Comp Profiles,R1,1,R,187.0,user_entry,
Land Comp Profiles,S1,1,S,188.0,user_entry,
Land Comp Profiles,T1,1,T,189.0,user_entry,
Land Comp Profiles,U1,1,U,190.0,user_entry,
Land Comp Profiles,V1,1,V,191.0,user_entry,
Land Comp Profiles,H2,2,H,VeryHidden,user_entry,
Land Comp Profiles,L2,2,L,Database Field,user_entry,
Land Comp Profiles,Y2,2,Y,Field Display Name,user_entry,
Land Comp Profiles,H3,3,H,VeryHidden,user_entry,
Land Comp Profiles,K3,3,K,1.0,user_entry,
Land Comp Profiles,N3,3,N,Name,user_entry,
Land Comp Profiles,AA3,3,AA,Property Name,user_entry,
Land Comp Profiles,H4,4,H,VeryHidden,user_entry,
Land Comp Profiles,K4,4,K,2.0,user_entry,
Land Comp Profiles,N4,4,N,Address,user_entry,
Land Comp Profiles,AA4,4,AA,Address,user_entry,
Land Comp Profiles,H5,5,H,VeryHidden,user_entry,
Land Comp Profiles,K5,5,K,3.0,user_entry,
Land Comp Profiles,N5,5,N,City,user_entry,
Land Comp Profiles,O5,5,O,State,user_entry,
Land Comp Profiles,P5,5,P,Zip,user_entry,
Land Comp Profiles,AA5,5,AA,"City, State  Zip",user_entry,
Land Comp Profiles,H6,6,H,VeryHidden,user_entry,
Land Comp Profiles,K6,6,K,4.0,user_entry,
Land Comp Profiles,N6,6,N,County,user_entry,
Land Comp Profiles,AA6,6,AA,County,user_entry,
Land Comp Profiles,H7,7,H,VeryHidden,user_entry,
Land Comp Profiles,K7,7,K,5.0,user_entry,
Land Comp Profiles,N7,7,N,ID,user_entry,
Land Comp Profiles,AA7,7,AA,ID,user_entry,
Land Comp Profiles,H8,8,H,VeryHidden,user_entry,
Land Comp Profiles,K8,8,K,6.0,user_entry,
Land Comp Profiles,N8,8,N,Property Major Type,user_entry,
Land Comp Profiles,AA8,8,AA,Property Type,user_entry,
Land Comp Profiles,H9,9,H,VeryHidden,user_entry,
Land Comp Profiles,K9,9,K,7.0,user_entry,
Land Comp Profiles,N9,9,N,Property Type,user_entry,
Land Comp Profiles,AA9,9,AA,Property Subtype,user_entry,
Land Comp Profiles,H10,10,H,VeryHidden,user_entry,
Land Comp Profiles,K10,10,K,8.0,user_entry,
Land Comp Profiles,N10,10,N,Tax ID,user_entry,
