tab,cell,row,col,value,field_type,formula
Land Grid,AB2,2,AB,?,user_entry,
Land Grid,B5,5,B,REPORT WRITER,user_entry,
Land Grid,F5,5,F,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
Land Grid,AB5,5,AB,V: 46.02.9,user_entry,
Land Grid,B8,8,B,Navigate,user_entry,
Land Grid,F8,8,F,Land Sale Analysis Grid,user_entry,
Land Grid,F10,10,F,Add Comparables for Analysis,user_entry,
Land Grid,R10,10,R,Comparable Tools,user_entry,
Land Grid,B12,12,B,Subject Parcel(s):,user_entry,
Land Grid,C12,12,C,All,user_entry,
Land Grid,D12,12,D,,user_entry,
Land Grid,F12,12,F,Step 1.,user_entry,
Land Grid,H12,12,H,Step 2.,user_entry,
Land Grid,K12,12,K,Step 3.,user_entry,
Land Grid,B13,13,B,Subject Building(s):,user_entry,
Land Grid,C13,13,C,All,user_entry,
Land Grid,D13,13,D,,user_entry,
Land Grid,F13,13,F,Search for Land Sales,user_entry,
Land Grid,F15,15,F,Job Assigned Comps:,user_entry,
Land Grid,B18,18,B,"4,19",user_entry,
Land Grid,F18,18,F,0.0,user_entry,
Land Grid,G18,18,G,three,user_entry,
Land Grid,I18,18,I,0.0,user_entry,
Land Grid,K18,18,K,0.0,user_entry,
Land Grid,M18,18,M,0.0,user_entry,
Land Grid,O18,18,O,0.0,user_entry,
Land Grid,Q18,18,Q,0.0,user_entry,
Land Grid,S18,18,S,0.0,user_entry,
Land Grid,U18,18,U,0.0,user_entry,
Land Grid,W18,18,W,0.0,user_entry,
Land Grid,Y18,18,Y,0.0,user_entry,
Land Grid,AA18,18,AA,0.0,user_entry,
Land Grid,F19,19,F,Select comps to populate grid >,user_entry,
Land Grid,F20,20,F,Database IDs,user_entry,
Land Grid,G20,20,G,259729.0,user_entry,
Land Grid,F21,21,F,Land Analysis Grid,user_entry,
Land Grid,I21,21,I,Comp 1,user_entry,
Land Grid,K21,21,K,Comp 2,user_entry,
Land Grid,M21,21,M,Comp 3,user_entry,
Land Grid,O21,21,O,Comp 4,user_entry,
Land Grid,Q21,21,Q,Comp 5,user_entry,
Land Grid,S21,21,S,Comp 6,user_entry,
Land Grid,U21,21,U,Comp 7,user_entry,
Land Grid,W21,21,W,Comp 8,user_entry,
Land Grid,Y21,21,Y,Comp 9,user_entry,
Land Grid,AA21,21,AA,Comp 10,user_entry,
Land Grid,F23,23,F,Address,user_entry,
Land Grid,G23,23,G,0.0,user_entry,
Land Grid,F24,24,F,City,user_entry,
Land Grid,G24,24,G,0.0,user_entry,
Land Grid,F25,25,F,State,user_entry,
Land Grid,G25,25,G,0.0,user_entry,
Land Grid,F26,26,F,Date,user_entry,
Land Grid,B27,27,B,Hide Price Adj.,user_entry,
Land Grid,F27,27,F,Price,user_entry,
Land Grid,G27,27,G,--,user_entry,
Land Grid,F28,28,F,Price Adjustment,user_entry,
Land Grid,G28,28,G,0.0,user_entry,
Land Grid,F29,29,F,Adjusted Price,user_entry,
Land Grid,G29,29,G,0.0,user_entry,
Land Grid,I29,29,I,0.0,user_entry,
Land Grid,K29,29,K,0.0,user_entry,
