tab,cell,row,col,value,field_type,formula
Land Valuation,B2,2,B,VeryHidden,user_entry,
Land Valuation,C2,2,C,VeryHidden,user_entry,
Land Valuation,D2,2,D,VeryHidden,user_entry,
Land Valuation,E2,2,E,VeryHidden,user_entry,
Land Valuation,F2,2,F,VeryHidden,user_entry,
Land Valuation,F3,3,F,VeryHidden,user_entry,
Land Valuation,B5,5,B,Adj Index,user_entry,
Land Valuation,C5,5,C,Row,user_entry,
Land Valuation,D5,5,D,isVisible,user_entry,
Land Valuation,E5,5,E,Banded Rows,user_entry,
Land Valuation,B6,6,B,0.0,user_entry,
Land Valuation,J6,6,J,Characteristic,user_entry,
Land Valuation,K6,6,K,Filter Criteria,user_entry,
Land Valuation,N6,6,N,Enter Filter Criteria Here,user_entry,
Land Valuation,B7,7,B,1.0,user_entry,
Land Valuation,C7,7,C,232.0,user_entry,
Land Valuation,D7,7,D,True,user_entry,
Land Valuation,E7,7,E,0.0,user_entry,
Land Valuation,F7,7,F,0x7,user_entry,
Land Valuation,G7,7,G,Auto,user_entry,
Land Valuation,J7,7,J,Sales Status,user_entry,
Land Valuation,B8,8,B,2.0,user_entry,
Land Valuation,C8,8,C,233.0,user_entry,
Land Valuation,D8,8,D,True,user_entry,
Land Valuation,E8,8,E,0.0,user_entry,
Land Valuation,F8,8,F,0x7,user_entry,
Land Valuation,G8,8,G,Auto,user_entry,
Land Valuation,J8,8,J,Real Property Rights,user_entry,
Land Valuation,B9,9,B,3.0,user_entry,
Land Valuation,C9,9,C,234.0,user_entry,
Land Valuation,D9,9,D,True,user_entry,
Land Valuation,E9,9,E,0.0,user_entry,
Land Valuation,F9,9,F,0x7,user_entry,
Land Valuation,G9,9,G,Auto,user_entry,
Land Valuation,J9,9,J,Financing Terms,user_entry,
Land Valuation,B10,10,B,4.0,user_entry,
Land Valuation,C10,10,C,235.0,user_entry,
Land Valuation,D10,10,D,True,user_entry,
Land Valuation,E10,10,E,0.0,user_entry,
Land Valuation,F10,10,F,0x7,user_entry,
Land Valuation,G10,10,G,Auto,user_entry,
Land Valuation,J10,10,J,Conditions of Sale,user_entry,
Land Valuation,B11,11,B,5.0,user_entry,
Land Valuation,C11,11,C,236.0,user_entry,
Land Valuation,D11,11,D,True,user_entry,
Land Valuation,E11,11,E,0.0,user_entry,
Land Valuation,F11,11,F,0x7,user_entry,
Land Valuation,G11,11,G,Auto,user_entry,
Land Valuation,J11,11,J,Market Conditions,user_entry,
Land Valuation,B12,12,B,6.0,user_entry,
