tab,cell,row,col,value,field_type,formula
Lease Grid,AB2,2,AB,?,user_entry,
Lease Grid,B5,5,B,REPORT WRITER,user_entry,
Lease Grid,F5,5,F,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
Lease Grid,AB5,5,AB,V: 46.02.9,user_entry,
Lease Grid,B8,8,B,Navigate,user_entry,
Lease Grid,F8,8,F,Lease Analysis Grid,user_entry,
Lease Grid,F10,10,F,Add Comparables for Analysis,user_entry,
Lease Grid,R10,10,R,Comparable Tools,user_entry,
Lease Grid,B12,12,B,Subject Parcel(s):,user_entry,
Lease Grid,C12,12,C,All,user_entry,
Lease Grid,D12,12,D,,user_entry,
Lease Grid,F12,12,F,Step 1.,user_entry,
Lease Grid,H12,12,H,Step 2.,user_entry,
Lease Grid,K12,12,K,Step 3.,user_entry,
Lease Grid,B13,13,B,Subject Building(s):,user_entry,
Lease Grid,C13,13,C,All,user_entry,
Lease Grid,D13,13,D,,user_entry,
Lease Grid,F13,13,F,Search for Lease Comps,user_entry,
Lease Grid,AA13,13,AA,View Maps,user_entry,
Lease Grid,AD13,13,AD,Print Tips,user_entry,
Lease Grid,F15,15,F,Job Assigned Comps:,user_entry,
Lease Grid,I18,18,I,1.0,user_entry,
Lease Grid,K18,18,K,2.0,user_entry,
Lease Grid,M18,18,M,3.0,user_entry,
Lease Grid,O18,18,O,4.0,user_entry,
Lease Grid,Q18,18,Q,5.0,user_entry,
Lease Grid,S18,18,S,6.0,user_entry,
Lease Grid,U18,18,U,7.0,user_entry,
Lease Grid,W18,18,W,8.0,user_entry,
Lease Grid,Y18,18,Y,9.0,user_entry,
Lease Grid,AA18,18,AA,10.0,user_entry,
Lease Grid,F19,19,F,Selected rent from comp,user_entry,
Lease Grid,I19,19,I,0x2a,user_entry,
Lease Grid,K19,19,K,0x2a,user_entry,
Lease Grid,M19,19,M,0x2a,user_entry,
Lease Grid,O19,19,O,0x2a,user_entry,
Lease Grid,Q19,19,Q,0x2a,user_entry,
Lease Grid,S19,19,S,0x2a,user_entry,
Lease Grid,U19,19,U,0x2a,user_entry,
Lease Grid,W19,19,W,0x2a,user_entry,
Lease Grid,Y19,19,Y,0x2a,user_entry,
Lease Grid,AA19,19,AA,0x2a,user_entry,
Lease Grid,F20,20,F,Lease,user_entry,
Lease Grid,G20,20,G,zero,user_entry,
Lease Grid,I20,20,I,0.0,user_entry,
Lease Grid,K20,20,K,0.0,user_entry,
Lease Grid,M20,20,M,0.0,user_entry,
Lease Grid,O20,20,O,0.0,user_entry,
Lease Grid,Q20,20,Q,0.0,user_entry,
Lease Grid,S20,20,S,0.0,user_entry,
Lease Grid,U20,20,U,0.0,user_entry,
Lease Grid,W20,20,W,0.0,user_entry,
Lease Grid,Y20,20,Y,0.0,user_entry,
Lease Grid,AA20,20,AA,0.0,user_entry,
Lease Grid,F21,21,F,Select comps to populate grid >,user_entry,
Lease Grid,B22,22,B,Configure for MF Lease,user_entry,
Lease Grid,F22,22,F,Select Tenant >,user_entry,
Lease Grid,H22,22,H,Select a Tenant,user_entry,
Lease Grid,F23,23,F,Select Unit Type >,user_entry,
Lease Grid,H23,23,H,Select a Tenant,user_entry,
Lease Grid,B25,25,B,"10,19",user_entry,
Lease Grid,G26,26,G,259729.0,user_entry,
Lease Grid,F27,27,F,Lease Analysis Grid,user_entry,
Lease Grid,I27,27,I,Comp 1,user_entry,
Lease Grid,K27,27,K,Comp 2,user_entry,
Lease Grid,M27,27,M,Comp 3,user_entry,
Lease Grid,O27,27,O,Comp 4,user_entry,
Lease Grid,Q27,27,Q,Comp 5,user_entry,
Lease Grid,S27,27,S,Comp 6,user_entry,
Lease Grid,U27,27,U,Comp 7,user_entry,
Lease Grid,W27,27,W,Comp 8,user_entry,
Lease Grid,Y27,27,Y,Comp 9,user_entry,
Lease Grid,AA27,27,AA,Comp 10,user_entry,
Lease Grid,F29,29,F,Address,user_entry,
Lease Grid,G29,29,G,0.0,user_entry,
Lease Grid,F30,30,F,City,user_entry,
Lease Grid,G30,30,G,0.0,user_entry,
Lease Grid,F31,31,F,State,user_entry,
Lease Grid,G31,31,G,0.0,user_entry,
Lease Grid,F32,32,F,Tenant,user_entry,
Lease Grid,F33,33,F,Start Date,user_entry,
Lease Grid,B34,34,B,Format Currency,user_entry,
Lease Grid,F34,34,F,Eff. Rent/SF,user_entry,
Lease Grid,F35,35,F,Lease Type,user_entry,
Lease Grid,F36,36,F,Lease Term,user_entry,
Lease Grid,F37,37,F,Size,user_entry,
Lease Grid,F38,38,F,Unit Type,user_entry,
Lease Grid,B39,39,B,Go To MF Inventory Table,user_entry,
Lease Grid,F39,39,F,MF Lease Survey Date,user_entry,
Lease Grid,F40,40,F,Unit Size (SF),user_entry,
Lease Grid,B41,41,B,Go To MF Comparison Tables,user_entry,
Lease Grid,F41,41,F,Rent/Mo.,user_entry,
Lease Grid,F42,42,F,No. of Units,user_entry,
Lease Grid,F43,43,F,Unadjusted Rent,user_entry,
Lease Grid,F44,44,F,Transaction Adjustments,user_entry,
Lease Grid,F45,45,F,Conditions of Lease,user_entry,
Lease Grid,I45,45,I,Normal,user_entry,
Lease Grid,J45,45,J,0.0,user_entry,
Lease Grid,K45,45,K,Normal,user_entry,
Lease Grid,L45,45,L,0.0,user_entry,
Lease Grid,M45,45,M,Normal,user_entry,
Lease Grid,N45,45,N,0.0,user_entry,
Lease Grid,O45,45,O,Normal,user_entry,
Lease Grid,P45,45,P,0.0,user_entry,
Lease Grid,Q45,45,Q,Normal,user_entry,
Lease Grid,R45,45,R,0.0,user_entry,
Lease Grid,S45,45,S,Normal,user_entry,
Lease Grid,T45,45,T,0.0,user_entry,
Lease Grid,U45,45,U,Normal,user_entry,
Lease Grid,V45,45,V,0.0,user_entry,
Lease Grid,W45,45,W,Normal,user_entry,
Lease Grid,X45,45,X,0.0,user_entry,
Lease Grid,Y45,45,Y,Normal,user_entry,
Lease Grid,Z45,45,Z,0.0,user_entry,
Lease Grid,AA45,45,AA,Normal,user_entry,
Lease Grid,AB45,45,AB,0.0,user_entry,
Lease Grid,F46,46,F,Other,user_entry,
Lease Grid,I46,46,I,Similar,user_entry,
Lease Grid,J46,46,J,0.0,user_entry,
Lease Grid,K46,46,K,Similar,user_entry,
Lease Grid,L46,46,L,0.0,user_entry,
Lease Grid,M46,46,M,Similar,user_entry,
Lease Grid,N46,46,N,0.0,user_entry,
Lease Grid,O46,46,O,Similar,user_entry,
Lease Grid,P46,46,P,0.0,user_entry,
Lease Grid,Q46,46,Q,Similar,user_entry,
Lease Grid,R46,46,R,0.0,user_entry,
Lease Grid,S46,46,S,Similar,user_entry,
Lease Grid,T46,46,T,0.0,user_entry,
Lease Grid,U46,46,U,Similar,user_entry,
Lease Grid,V46,46,V,0.0,user_entry,
Lease Grid,W46,46,W,Similar,user_entry,
Lease Grid,X46,46,X,0.0,user_entry,
Lease Grid,Y46,46,Y,Similar,user_entry,
Lease Grid,Z46,46,Z,0.0,user_entry,
Lease Grid,AA46,46,AA,Similar,user_entry,
Lease Grid,AB46,46,AB,0.0,user_entry,
Lease Grid,F47,47,F,Adjusted Rent,user_entry,
Lease Grid,I47,47,I,0.0,user_entry,
Lease Grid,K47,47,K,0.0,user_entry,
Lease Grid,M47,47,M,0.0,user_entry,
Lease Grid,O47,47,O,0.0,user_entry,
Lease Grid,Q47,47,Q,0.0,user_entry,
Lease Grid,S47,47,S,0.0,user_entry,
Lease Grid,U47,47,U,0.0,user_entry,
Lease Grid,W47,47,W,0.0,user_entry,
Lease Grid,Y47,47,Y,0.0,user_entry,
Lease Grid,AA47,47,AA,0.0,user_entry,
Lease Grid,F48,48,F,Market Trends/Year,user_entry,
Lease Grid,G48,48,G,0.0,user_entry,
Lease Grid,I48,48,I,0.0,user_entry,
Lease Grid,K48,48,K,0.0,user_entry,
Lease Grid,M48,48,M,0.0,user_entry,
Lease Grid,O48,48,O,0.0,user_entry,
Lease Grid,Q48,48,Q,0.0,user_entry,
Lease Grid,S48,48,S,0.0,user_entry,
Lease Grid,U48,48,U,0.0,user_entry,
Lease Grid,W48,48,W,0.0,user_entry,
Lease Grid,Y48,48,Y,0.0,user_entry,
Lease Grid,AA48,48,AA,0.0,user_entry,
Lease Grid,F49,49,F,Adjusted Rent,user_entry,
Lease Grid,I49,49,I,0.0,user_entry,
Lease Grid,K49,49,K,0.0,user_entry,
Lease Grid,M49,49,M,0.0,user_entry,
Lease Grid,O49,49,O,0.0,user_entry,
Lease Grid,Q49,49,Q,0.0,user_entry,
Lease Grid,S49,49,S,0.0,user_entry,
Lease Grid,U49,49,U,0.0,user_entry,
Lease Grid,W49,49,W,0.0,user_entry,
Lease Grid,Y49,49,Y,0.0,user_entry,
Lease Grid,AA49,49,AA,0.0,user_entry,
Lease Grid,F50,50,F,Expenses,user_entry,
Lease Grid,I50,50,I,0.0,user_entry,
Lease Grid,K50,50,K,0.0,user_entry,
Lease Grid,M50,50,M,0.0,user_entry,
Lease Grid,O50,50,O,0.0,user_entry,
Lease Grid,Q50,50,Q,0.0,user_entry,
Lease Grid,S50,50,S,0.0,user_entry,
Lease Grid,U50,50,U,0.0,user_entry,
Lease Grid,W50,50,W,0.0,user_entry,
Lease Grid,Y50,50,Y,0.0,user_entry,
Lease Grid,AA50,50,AA,0.0,user_entry,
Lease Grid,F51,51,F,Adjusted Rent,user_entry,
Lease Grid,I51,51,I,0.0,user_entry,
Lease Grid,K51,51,K,0.0,user_entry,
Lease Grid,M51,51,M,0.0,user_entry,
Lease Grid,O51,51,O,0.0,user_entry,
Lease Grid,Q51,51,Q,0.0,user_entry,
Lease Grid,S51,51,S,0.0,user_entry,
Lease Grid,U51,51,U,0.0,user_entry,
Lease Grid,W51,51,W,0.0,user_entry,
Lease Grid,Y51,51,Y,0.0,user_entry,
Lease Grid,AA51,51,AA,0.0,user_entry,
