tab,cell,row,col,value,field_type,formula
MF Lease Up,B2,2,B,VeryHidden,user_entry,
MF Lease Up,S2,2,S,Pro Forma Source,user_entry,
MF Lease Up,U2,2,U,Vacancy % Source,user_entry,
MF Lease Up,B3,3,B,VeryHidden,user_entry,
MF Lease Up,S3,3,S,105.0,user_entry,
MF Lease Up,U3,3,U,105.0,user_entry,
MF Lease Up,B4,4,B,VeryHidden,user_entry,
MF Lease Up,J4,4,J,1.0,user_entry,
MF Lease Up,K4,4,K,1.0,user_entry,
MF Lease Up,L4,4,L,1.0,user_entry,
MF Lease Up,M4,4,M,1.0,user_entry,
MF Lease Up,N4,4,N,1.0,user_entry,
MF Lease Up,O4,4,O,1.0,user_entry,
MF Lease Up,P4,4,P,1.0,user_entry,
MF Lease Up,J5,5,J,Auto,user_entry,
MF Lease Up,K5,5,K,Auto,user_entry,
MF Lease Up,L5,5,L,Auto,user_entry,
MF Lease Up,M5,5,M,Auto,user_entry,
MF Lease Up,N5,5,N,Auto,user_entry,
MF Lease Up,O5,5,O,Auto,user_entry,
MF Lease Up,P5,5,P,Auto,user_entry,
MF Lease Up,F6,6,F,Multi-Family,user_entry,
MF Lease Up,S7,7,S,Projection 1,user_entry,
MF Lease Up,T7,7,T,Source,user_entry,
MF Lease Up,F8,8,F,Pro Forma EGI,user_entry,
MF Lease Up,O8,8,O,0.0,user_entry,
MF Lease Up,S8,8,S,0.03,user_entry,
MF Lease Up,T8,8,T,Income Yearly Growth,user_entry,
MF Lease Up,F9,9,F,Pro Forma Expenses,user_entry,
MF Lease Up,O9,9,O,0.0,user_entry,
MF Lease Up,S9,9,S,0.03,user_entry,
MF Lease Up,T9,9,T,Expense Yearly Growth,user_entry,
MF Lease Up,F10,10,F,Pro Forma NOI,user_entry,
MF Lease Up,O10,10,O,0.0,user_entry,
MF Lease Up,S10,10,S,0.0,user_entry,
MF Lease Up,T10,10,T,PV Discount Rate,user_entry,
MF Lease Up,F11,11,F,Starting Physical Occupancy,user_entry,
MF Lease Up,O11,11,O,0.0,user_entry,
MF Lease Up,F12,12,F,Starting Economic Occupancy,user_entry,
MF Lease Up,O12,12,O,0.0,user_entry,
MF Lease Up,S12,12,S,Projection 1,user_entry,
MF Lease Up,T12,12,T,Vacancy %,user_entry,
MF Lease Up,F13,13,F,Total Absorption Period (Months),user_entry,
MF Lease Up,O13,13,O,24.0,user_entry,
MF Lease Up,F14,14,F,Expense Percentage at Beginning of Period,user_entry,
MF Lease Up,O14,14,O,0.8,user_entry,
MF Lease Up,F16,16,F,Month,user_entry,
MF Lease Up,G16,16,G,Forecast % of EGI Earned,user_entry,
MF Lease Up,H16,16,H,Pro Forma EGI,user_entry,
MF Lease Up,I16,16,I,Forecast EGI,user_entry,
MF Lease Up,J16,16,J,Forecast % of Expenses Incurred,user_entry,
MF Lease Up,K16,16,K,Pro Forma Expenses,user_entry,
MF Lease Up,L16,16,L,Forecast Expenses,user_entry,
MF Lease Up,M16,16,M,Pro Forma NOI,user_entry,
MF Lease Up,N16,16,N,Forecast NOI,user_entry,
MF Lease Up,O16,16,O,NOI Loss (Difference Between Stabilized and Actual),user_entry,
MF Lease Up,P16,16,P,Present Value NOI Loss @ 0.0%,user_entry,
MF Lease Up,B17,17,B,1.0,user_entry,
MF Lease Up,C17,17,C,Auto,user_entry,
MF Lease Up,F17,17,F,1.0,user_entry,
MF Lease Up,G17,17,G,0.0,user_entry,
