tab,cell,row,col,value,field_type,formula
Market Rent,B2,2,B,VeryHidden,user_entry,
Market Rent,F2,2,F,0.0,user_entry,
Market Rent,G2,2,G,1.0,user_entry,
Market Rent,H2,2,H,2.0,user_entry,
Market Rent,I2,2,I,3.0,user_entry,
Market Rent,J2,2,J,4.0,user_entry,
Market Rent,K2,2,K,5.0,user_entry,
Market Rent,L2,2,L,6.0,user_entry,
Market Rent,M2,2,M,7.0,user_entry,
Market Rent,N2,2,N,8.0,user_entry,
Market Rent,O2,2,O,9.0,user_entry,
Market Rent,P2,2,P,10.0,user_entry,
Market Rent,B3,3,B,VeryHidden,user_entry,
Market Rent,B4,4,B,VeryHidden,user_entry,
Market Rent,G4,4,G,1.0,user_entry,
Market Rent,H4,4,H,1.0,user_entry,
Market Rent,I4,4,I,1.0,user_entry,
Market Rent,J4,4,J,1.0,user_entry,
Market Rent,K4,4,K,1.0,user_entry,
Market Rent,L4,4,L,1.0,user_entry,
Market Rent,M4,4,M,1.0,user_entry,
Market Rent,N4,4,N,1.0,user_entry,
Market Rent,O4,4,O,1.0,user_entry,
Market Rent,P4,4,P,1.0,user_entry,
Market Rent,G5,5,G,Auto,user_entry,
Market Rent,H5,5,H,Auto,user_entry,
Market Rent,I5,5,I,Auto,user_entry,
Market Rent,J5,5,J,Auto,user_entry,
Market Rent,K5,5,K,Auto,user_entry,
Market Rent,L5,5,L,Auto,user_entry,
Market Rent,M5,5,M,Auto,user_entry,
Market Rent,N5,5,N,Auto,user_entry,
Market Rent,O5,5,O,Auto,user_entry,
Market Rent,P5,5,P,Auto,user_entry,
Market Rent,F8,8,F,Utilities Cost Burden,user_entry,
Market Rent,G8,8,G,Water,user_entry,
Market Rent,H8,8,H,Sewer,user_entry,
Market Rent,I8,8,I,Trash,user_entry,
Market Rent,J8,8,J,Electric,user_entry,
Market Rent,K8,8,K,Gas,user_entry,
Market Rent,L8,8,L,Cable,user_entry,
Market Rent,M8,8,M,Heat,user_entry,
Market Rent,N8,8,N,Internet,user_entry,
Market Rent,O8,8,O,Hot Water,user_entry,
Market Rent,P8,8,P,Other,user_entry,
Market Rent,B9,9,B,1.0,user_entry,
Market Rent,C9,9,C,Auto,user_entry,
Market Rent,F9,9,F,Tenant Paid Directly,user_entry,
Market Rent,B10,10,B,1.0,user_entry,
Market Rent,C10,10,C,Auto,user_entry,
Market Rent,F10,10,F,Owner Paid,user_entry,
Market Rent,B11,11,B,1.0,user_entry,
Market Rent,C11,11,C,Auto,user_entry,
Market Rent,F11,11,F,Tenant Reimburses,user_entry,
Market Rent,F13,13,F,N1_chtRentUtilitiesCostBurden,user_entry,
Market Rent,G14,14,G,"W,",user_entry,
Market Rent,H14,14,H,"S,",user_entry,
Market Rent,I14,14,I,"T,",user_entry,
Market Rent,J14,14,J,"E,",user_entry,
Market Rent,K14,14,K,"G,",user_entry,
Market Rent,L14,14,L,"C,",user_entry,
Market Rent,M14,14,M,"H,",user_entry,
Market Rent,N14,14,N,"I,",user_entry,
Market Rent,O14,14,O,"Hw,",user_entry,
Market Rent,P14,14,P,"O,",user_entry,
Market Rent,F15,15,F,Tenant Paid Directly,user_entry,
Market Rent,C16,16,C,",",user_entry,
Market Rent,F16,16,F,Owner Paid,user_entry,
Market Rent,F17,17,F,Tenant Reimburses,user_entry,
Market Rent,U20,20,U,1.0,user_entry,
Market Rent,V20,20,V,<Grid Number,user_entry,
Market Rent,X20,20,X,Steps to clone grid,user_entry,
Market Rent,Z20,20,Z,find/replace comp data table & headers updated,user_entry,
Market Rent,AD20,20,AD,VeryHidden,user_entry,
Market Rent,AI20,20,AI,All Property Types,user_entry,
Market Rent,AM20,20,AM,Commercial only,user_entry,
Market Rent,AQ20,20,AQ,Self-Storage,user_entry,
Market Rent,AR20,20,AR,MF all,user_entry,
Market Rent,AS20,20,AS,MF non MHC,user_entry,
Market Rent,AU20,20,AU,Seniors,user_entry,
Market Rent,AW20,20,AW,MHC only,user_entry,
Market Rent,Z21,21,Z,update GridNumber,user_entry,
Market Rent,AD21,21,AD,VeryHidden,user_entry,
Market Rent,AI21,21,AI,Name,user_entry,
Market Rent,AL21,21,AL,No. of Units,user_entry,
Market Rent,AM21,21,AM,Comm [#] Lessee,user_entry,
Market Rent,AN21,21,AN,Comm [#] Lease Date,user_entry,
Market Rent,AO21,21,AO,Comm [#] Base Rent/SF/Mo.,user_entry,
Market Rent,AP21,21,AP,Comm [#] SF,user_entry,
Market Rent,AQ21,21,AQ,No. of Units,user_entry,
Market Rent,AR21,21,AR,MF Lease Survey Date,user_entry,
Market Rent,AW21,21,AW,Water,user_entry,
Market Rent,AX21,21,AX,Sewer,user_entry,
Market Rent,AY21,21,AY,Trash,user_entry,
Market Rent,AZ21,21,AZ,Electric,user_entry,
Market Rent,BA21,21,BA,Gas,user_entry,
Market Rent,BB21,21,BB,Cable/Satellite,user_entry,
Market Rent,BC21,21,BC,Heat,user_entry,
Market Rent,BD21,21,BD,Internet,user_entry,
Market Rent,BE21,21,BE,Hot Water,user_entry,
Market Rent,BF21,21,BF,Other,user_entry,
Market Rent,BG21,21,BG,MF Total Rent Per Month,user_entry,
Market Rent,BH21,21,BH,Utilities Paid By Owner,user_entry,
Market Rent,Z22,22,Z,find/replace CompSelectedIDs,user_entry,
Market Rent,AD22,22,AD,VeryHidden,user_entry,
Market Rent,AI22,22,AI,Address,user_entry,
Market Rent,AJ22,22,AJ,Renovations,user_entry,
Market Rent,AL22,22,AL,Year Built,user_entry,
Market Rent,AN22,22,AN,Comm [#] Lease Term,user_entry,
Market Rent,AP22,22,AP,Comm [#] Lease Type,user_entry,
Market Rent,AR22,22,AR,Vacancy Rate,user_entry,
Market Rent,AW22,22,AW,"W,",user_entry,
Market Rent,AX22,22,AX,"S,",user_entry,
Market Rent,AY22,22,AY,"T,",user_entry,
Market Rent,AZ22,22,AZ,"E,",user_entry,
Market Rent,BA22,22,BA,"G,",user_entry,
Market Rent,BB22,22,BB,"C,",user_entry,
Market Rent,BC22,22,BC,"H,",user_entry,
Market Rent,BD22,22,BD,"I,",user_entry,
Market Rent,BE22,22,BE,"Hw,",user_entry,
Market Rent,BF22,22,BF,"O,",user_entry,
Market Rent,Z23,23,Z,update data comp header range data validation (ctrl+g)/validation/same,user_entry,
Market Rent,AD23,23,AD,VeryHidden,user_entry,
Market Rent,AI23,23,AI,2.0,user_entry,
Market Rent,AL23,23,AL,316.0,user_entry,
Market Rent,AM23,23,AM,0x2a,user_entry,
Market Rent,AN23,23,AN,0x2a,user_entry,
Market Rent,AO23,23,AO,0x2a,user_entry,
Market Rent,AP23,23,AP,0x2a,user_entry,
Market Rent,AQ23,23,AQ,316.0,user_entry,
Market Rent,AR23,23,AR,984.0,user_entry,
Market Rent,BG23,23,BG,270.0,user_entry,
Market Rent,BH23,23,BH,562.0,user_entry,
Market Rent,Z24,24,Z,find/replace SubjectCompDataLease,user_entry,
Market Rent,AD24,24,AD,VeryHidden,user_entry,
Market Rent,AI24,24,AI,9.0,user_entry,
Market Rent,AJ24,24,AJ,437.0,user_entry,
Market Rent,AL24,24,AL,581.0,user_entry,
Market Rent,AM24,24,AM,0x2a,user_entry,
Market Rent,AN24,24,AN,0x2a,user_entry,
Market Rent,AO24,24,AO,0x2a,user_entry,
Market Rent,AP24,24,AP,0x2a,user_entry,
Market Rent,AQ24,24,AQ,0x2a,user_entry,
Market Rent,AR24,24,AR,568.0,user_entry,
Market Rent,BG24,24,BG,0x2a,user_entry,
Market Rent,BH24,24,BH,0x2a,user_entry,
Market Rent,T25,25,T,VeryHidden,user_entry,
Market Rent,U25,25,U,VeryHidden,user_entry,
Market Rent,V25,25,V,VeryHidden,user_entry,
Market Rent,W25,25,W,VeryHidden,user_entry,
Market Rent,X25,25,X,VeryHidden,user_entry,
Market Rent,Y25,25,Y,VeryHidden,user_entry,
Market Rent,Z25,25,Z,VeryHidden,user_entry,
Market Rent,AA25,25,AA,VeryHidden,user_entry,
Market Rent,AB25,25,AB,VeryHidden,user_entry,
Market Rent,AC25,25,AC,VeryHidden,user_entry,
Market Rent,AD25,25,AD,VeryHidden,user_entry,
Market Rent,AF25,25,AF,VeryHidden,user_entry,
Market Rent,AJ25,25,AJ,0.5,user_entry,
Market Rent,AK25,25,AK,VeryHidden,user_entry,
Market Rent,AM25,25,AM,0x7,user_entry,
Market Rent,AN25,25,AN,0x7,user_entry,
Market Rent,AO25,25,AO,0x7,user_entry,
Market Rent,AP25,25,AP,0x7,user_entry,
Market Rent,AQ25,25,AQ,0x7,user_entry,
Market Rent,AR25,25,AR,1.0,user_entry,
Market Rent,AS25,25,AS,1.0,user_entry,
Market Rent,AT25,25,AT,1.0,user_entry,
Market Rent,AU25,25,AU,0x7,user_entry,
Market Rent,AV25,25,AV,0x7,user_entry,
Market Rent,AW25,25,AW,0x7,user_entry,
Market Rent,AX25,25,AX,0x7,user_entry,
Market Rent,AY25,25,AY,0x7,user_entry,
Market Rent,AZ25,25,AZ,0x7,user_entry,
Market Rent,BA25,25,BA,0x7,user_entry,
Market Rent,BB25,25,BB,0x7,user_entry,
Market Rent,BC25,25,BC,0x7,user_entry,
Market Rent,BD25,25,BD,0x7,user_entry,
Market Rent,BE25,25,BE,0x7,user_entry,
Market Rent,BF25,25,BF,0x7,user_entry,
Market Rent,BG25,25,BG,0x7,user_entry,
Market Rent,BH25,25,BH,VeryHidden,user_entry,
Market Rent,AJ26,26,AJ,Show,user_entry,
Market Rent,AN26,26,AN,Auto,user_entry,
Market Rent,U27,27,U,MapsOnThisSheet,user_entry,
Market Rent,U28,28,U,UniqueName,user_entry,
Market Rent,V28,28,V,target,user_entry,
Market Rent,W28,28,W,markers,user_entry,
Market Rent,X28,28,X,maptype,user_entry,
Market Rent,Y28,28,Y,center,user_entry,
Market Rent,Z28,28,Z,zoom,user_entry,
Market Rent,AA28,28,AA,height,user_entry,
Market Rent,AB28,28,AB,width,user_entry,
Market Rent,AC28,28,AC,MinDistAwayPct,user_entry,
Market Rent,AF28,28,AF,CompImage,user_entry,
Market Rent,U29,29,U,N1_chtCompSummary,user_entry,
Market Rent,V29,29,V,MapTarget.N1_chtCompSummary,user_entry,
Market Rent,W29,29,W,MapMarkers.N1_chtCompSummary,user_entry,
Market Rent,X29,29,X,hybrid,user_entry,
Market Rent,Y29,29,Y,0.0,user_entry,
Market Rent,Z29,29,Z,0.0,user_entry,
Market Rent,AA29,29,AA,640.0,user_entry,
Market Rent,AB29,29,AB,400.0,user_entry,
Market Rent,AC29,29,AC,0.25,user_entry,
Market Rent,AF29,29,AF,1.0,user_entry,
Market Rent,AF36,36,AF,2.0,user_entry,
Market Rent,AF43,43,AF,3.0,user_entry,
Market Rent,U46,46,U,ID,user_entry,
Market Rent,V46,46,V,ID,user_entry,
Market Rent,W46,46,W,ID,user_entry,
Market Rent,X46,46,X,ID,user_entry,
Market Rent,Y46,46,Y,ID,user_entry,
Market Rent,U47,47,U,Type BR,user_entry,
Market Rent,V47,47,V,Type Market Rent/Mo.,user_entry,
Market Rent,W47,47,W,Market Rent/SF,user_entry,
Market Rent,X47,47,X,Type SF,user_entry,
Market Rent,Y47,47,Y,No. of Type,user_entry,
Market Rent,U48,48,U,3.0,user_entry,
Market Rent,V48,48,V,3.0,user_entry,
Market Rent,W48,48,W,3.0,user_entry,
Market Rent,X48,48,X,3.0,user_entry,
