tab,cell,row,col,value,field_type,formula
Rent Roll Config,Q2,2,Q,Group Rent Roll Units by:,user_entry,
Rent Roll Config,Q3,3,Q,RR Bed,user_entry,
Rent Roll Config,Y3,3,Y,No,user_entry,
Rent Roll Config,AA3,3,AA,RR Bath,user_entry,
Rent Roll Config,AB3,3,AB,No,user_entry,
Rent Roll Config,Q4,4,Q,RR Type,user_entry,
Rent Roll Config,Y4,4,Y,No,user_entry,
Rent Roll Config,AA4,4,AA,RR Renovated,user_entry,
Rent Roll Config,AB4,4,AB,No,user_entry,
Rent Roll Config,Q5,5,Q,SF,user_entry,
Rent Roll Config,Y5,5,Y,Yes,user_entry,
Rent Roll Config,Z5,5,Z,→,user_entry,
Rent Roll Config,AA5,5,AA,Up,user_entry,
Rent Roll Config,AB5,5,AB,10.0,user_entry,
Rent Roll Config,Q6,6,Q,Unit Name Label Source,user_entry,
Rent Roll Config,Y6,6,Y,abc,user_entry,
Rent Roll Config,Z6,6,Z,→,user_entry,
Rent Roll Config,AA6,6,AA,Label Prefix,user_entry,
Rent Roll Config,Q7,7,Q,Detect Class from Floorplan ending in,user_entry,
Rent Roll Config,AB7,7,AB,r,user_entry,
Rent Roll Config,Q8,8,Q,Affordable Label,user_entry,
Rent Roll Config,AB8,8,AB,AFF,user_entry,
Rent Roll Config,A10,10,A,VeryHidden,user_entry,
Rent Roll Config,B10,10,B,VeryHidden,user_entry,
Rent Roll Config,C10,10,C,VeryHidden,user_entry,
Rent Roll Config,D10,10,D,VeryHidden,user_entry,
Rent Roll Config,E10,10,E,VeryHidden,user_entry,
Rent Roll Config,F10,10,F,VeryHidden,user_entry,
Rent Roll Config,G10,10,G,VeryHidden,user_entry,
Rent Roll Config,H10,10,H,VeryHidden,user_entry,
Rent Roll Config,I10,10,I,VeryHidden,user_entry,
Rent Roll Config,J10,10,J,VeryHidden,user_entry,
Rent Roll Config,K10,10,K,VeryHidden,user_entry,
Rent Roll Config,M10,10,M,VeryHidden,user_entry,
Rent Roll Config,N10,10,N,VeryHidden,user_entry,
Rent Roll Config,O10,10,O,VeryHidden,user_entry,
Rent Roll Config,R10,10,R,0x2a,user_entry,
Rent Roll Config,S10,10,S,0x2a,user_entry,
Rent Roll Config,T10,10,T,1.0,user_entry,
Rent Roll Config,U10,10,U,1.0,user_entry,
Rent Roll Config,V10,10,V,VeryHidden,user_entry,
Rent Roll Config,W10,10,W,VeryHidden,user_entry,
Rent Roll Config,X10,10,X,1.0,user_entry,
Rent Roll Config,AC10,10,AC,0x2a,user_entry,
Rent Roll Config,AD10,10,AD,0x2a,user_entry,
Rent Roll Config,AE10,10,AE,0x7,user_entry,
Rent Roll Config,AF10,10,AF,0x7,user_entry,
Rent Roll Config,AG10,10,AG,0x7,user_entry,
Rent Roll Config,AH10,10,AH,0x7,user_entry,
Rent Roll Config,AI10,10,AI,0x7,user_entry,
Rent Roll Config,AJ10,10,AJ,0x7,user_entry,
Rent Roll Config,AK10,10,AK,0x7,user_entry,
Rent Roll Config,AR10,10,AR,VeryHidden,user_entry,
Rent Roll Config,AS10,10,AS,VeryHidden,user_entry,
Rent Roll Config,AT10,10,AT,VeryHidden,user_entry,
Rent Roll Config,AU10,10,AU,VeryHidden,user_entry,
Rent Roll Config,AV10,10,AV,VeryHidden,user_entry,
Rent Roll Config,AW10,10,AW,VeryHidden,user_entry,
Rent Roll Config,AX10,10,AX,VeryHidden,user_entry,
Rent Roll Config,AY10,10,AY,0x7,user_entry,
Rent Roll Config,AZ10,10,AZ,0x7,user_entry,
Rent Roll Config,Q14,14,Q,Unit Grid Configuration,user_entry,
Rent Roll Config,AF14,14,AF,Affordable,user_entry,
Rent Roll Config,AY14,14,AY,Affordable,user_entry,
Rent Roll Config,A15,15,A,#,user_entry,
Rent Roll Config,B15,15,B,UnitMix_ConfigID (Unique),user_entry,
Rent Roll Config,C15,15,C,RR Type,user_entry,
Rent Roll Config,D15,15,D,RR Type List,user_entry,
Rent Roll Config,E15,15,E,Bed,user_entry,
Rent Roll Config,F15,15,F,Bath,user_entry,
Rent Roll Config,G15,15,G,Size,user_entry,
Rent Roll Config,H15,15,H,RR Renovated,user_entry,
Rent Roll Config,I15,15,I,Rank Score,user_entry,
Rent Roll Config,J15,15,J,Rank,user_entry,
Rent Roll Config,N15,15,N,UnitMix_ConfigID,user_entry,
Rent Roll Config,O15,15,O,# Rent Roll Rows,user_entry,
Rent Roll Config,Q15,15,Q,#,user_entry,
Rent Roll Config,R15,15,R,RR Bed,user_entry,
Rent Roll Config,S15,15,S,RR Bath,user_entry,
Rent Roll Config,T15,15,T,Bed,user_entry,
Rent Roll Config,U15,15,U,Bath,user_entry,
Rent Roll Config,V15,15,V,Auto Bed,user_entry,
Rent Roll Config,W15,15,W,Auto Bath,user_entry,
Rent Roll Config,X15,15,X,Rounded Size,user_entry,
Rent Roll Config,Y15,15,Y,Avg Size,user_entry,
Rent Roll Config,Z15,15,Z,Min Size,user_entry,
Rent Roll Config,AA15,15,AA,Max Size,user_entry,
Rent Roll Config,AB15,15,AB,# Units,user_entry,
Rent Roll Config,AC15,15,AC,RR Type,user_entry,
Rent Roll Config,AD15,15,AD,RR Renovated,user_entry,
Rent Roll Config,AE15,15,AE,Affordable?,user_entry,
Rent Roll Config,AF15,15,AF,Affordability Status,user_entry,
Rent Roll Config,AG15,15,AG,Income Target,user_entry,
Rent Roll Config,AH15,15,AH,Tenant Profile,user_entry,
Rent Roll Config,AI15,15,AI,Comments,user_entry,
Rent Roll Config,AJ15,15,AJ,Max Gross LIHTC Restricted Rent,user_entry,
Rent Roll Config,AK15,15,AK,Utility Allowance,user_entry,
Rent Roll Config,AL15,15,AL,Unit Grid,user_entry,
Rent Roll Config,AM15,15,AM,"Overwrite 
Unit Grid",user_entry,
Rent Roll Config,AN15,15,AN,Unit Type,user_entry,
Rent Roll Config,AO15,15,AO,"Overwrite 
Unit Type",user_entry,
Rent Roll Config,AP15,15,AP,Unit Name,user_entry,
Rent Roll Config,AQ15,15,AQ,"Overwrite 
Unit Name",user_entry,
Rent Roll Config,AR15,15,AR,Auto Unit Grid,user_entry,
Rent Roll Config,AS15,15,AS,Auto Unit Type,user_entry,
Rent Roll Config,AT15,15,AT,Auto Unit Name,user_entry,
Rent Roll Config,AU15,15,AU,Unit Type Unit Name,user_entry,
Rent Roll Config,AV15,15,AV,Unit Mix,user_entry,
Rent Roll Config,AW15,15,AW,Comp Unit Grid,user_entry,
Rent Roll Config,AX15,15,AX,Comp Unit Overwrite,user_entry,
Rent Roll Config,AY15,15,AY,Aff Comp Unit Grid,user_entry,
Rent Roll Config,AZ15,15,AZ,Aff Comp Unit Grid Overwrite,user_entry,
Rent Roll Config,A16,16,A,1.0,user_entry,
Rent Roll Config,B16,16,B,||,user_entry,
Rent Roll Config,M16,16,M,0x7,user_entry,
Rent Roll Config,Q16,16,Q,1.0,user_entry,
Rent Roll Config,A17,17,A,2.0,user_entry,
Rent Roll Config,M17,17,M,0x7,user_entry,
Rent Roll Config,Q17,17,Q,2.0,user_entry,
Rent Roll Config,A18,18,A,3.0,user_entry,
Rent Roll Config,M18,18,M,0x7,user_entry,
Rent Roll Config,Q18,18,Q,3.0,user_entry,
Rent Roll Config,A19,19,A,4.0,user_entry,
Rent Roll Config,M19,19,M,0x7,user_entry,
Rent Roll Config,Q19,19,Q,4.0,user_entry,
Rent Roll Config,A20,20,A,5.0,user_entry,
Rent Roll Config,M20,20,M,0x7,user_entry,
Rent Roll Config,Q20,20,Q,5.0,user_entry,
Rent Roll Config,A21,21,A,6.0,user_entry,
Rent Roll Config,M21,21,M,0x7,user_entry,
Rent Roll Config,Q21,21,Q,6.0,user_entry,
Rent Roll Config,A22,22,A,7.0,user_entry,
Rent Roll Config,M22,22,M,0x7,user_entry,
Rent Roll Config,Q22,22,Q,7.0,user_entry,
Rent Roll Config,A23,23,A,8.0,user_entry,
Rent Roll Config,M23,23,M,0x7,user_entry,
Rent Roll Config,Q23,23,Q,8.0,user_entry,
Rent Roll Config,A24,24,A,9.0,user_entry,
Rent Roll Config,M24,24,M,0x7,user_entry,
Rent Roll Config,Q24,24,Q,9.0,user_entry,
Rent Roll Config,A25,25,A,10.0,user_entry,
Rent Roll Config,M25,25,M,0x7,user_entry,
Rent Roll Config,Q25,25,Q,10.0,user_entry,
Rent Roll Config,A26,26,A,11.0,user_entry,
Rent Roll Config,M26,26,M,0x7,user_entry,
Rent Roll Config,Q26,26,Q,11.0,user_entry,
Rent Roll Config,A27,27,A,12.0,user_entry,
Rent Roll Config,M27,27,M,0x7,user_entry,
Rent Roll Config,Q27,27,Q,12.0,user_entry,
Rent Roll Config,A28,28,A,13.0,user_entry,
Rent Roll Config,M28,28,M,0x7,user_entry,
Rent Roll Config,Q28,28,Q,13.0,user_entry,
Rent Roll Config,A29,29,A,14.0,user_entry,
Rent Roll Config,M29,29,M,0x7,user_entry,
Rent Roll Config,Q29,29,Q,14.0,user_entry,
Rent Roll Config,A30,30,A,15.0,user_entry,
Rent Roll Config,M30,30,M,0x7,user_entry,
Rent Roll Config,Q30,30,Q,15.0,user_entry,
Rent Roll Config,A31,31,A,16.0,user_entry,
Rent Roll Config,M31,31,M,0x7,user_entry,
Rent Roll Config,Q31,31,Q,16.0,user_entry,
Rent Roll Config,A32,32,A,17.0,user_entry,
Rent Roll Config,M32,32,M,0x7,user_entry,
Rent Roll Config,Q32,32,Q,17.0,user_entry,
Rent Roll Config,A33,33,A,18.0,user_entry,
Rent Roll Config,M33,33,M,0x7,user_entry,
Rent Roll Config,Q33,33,Q,18.0,user_entry,
Rent Roll Config,A34,34,A,19.0,user_entry,
Rent Roll Config,M34,34,M,0x7,user_entry,
Rent Roll Config,Q34,34,Q,19.0,user_entry,
Rent Roll Config,A35,35,A,20.0,user_entry,
Rent Roll Config,M35,35,M,0x7,user_entry,
Rent Roll Config,Q35,35,Q,20.0,user_entry,
Rent Roll Config,A36,36,A,21.0,user_entry,
Rent Roll Config,M36,36,M,0x7,user_entry,
Rent Roll Config,Q36,36,Q,21.0,user_entry,
Rent Roll Config,A37,37,A,22.0,user_entry,
Rent Roll Config,M37,37,M,0x7,user_entry,
Rent Roll Config,Q37,37,Q,22.0,user_entry,
Rent Roll Config,A38,38,A,23.0,user_entry,
Rent Roll Config,M38,38,M,0x7,user_entry,
Rent Roll Config,Q38,38,Q,23.0,user_entry,
Rent Roll Config,A39,39,A,24.0,user_entry,
Rent Roll Config,M39,39,M,0x7,user_entry,
Rent Roll Config,Q39,39,Q,24.0,user_entry,
Rent Roll Config,A40,40,A,25.0,user_entry,
Rent Roll Config,M40,40,M,0x7,user_entry,
Rent Roll Config,Q40,40,Q,25.0,user_entry,
Rent Roll Config,A41,41,A,26.0,user_entry,
Rent Roll Config,M41,41,M,0x7,user_entry,
Rent Roll Config,Q41,41,Q,26.0,user_entry,
Rent Roll Config,A42,42,A,27.0,user_entry,
Rent Roll Config,M42,42,M,0x7,user_entry,
Rent Roll Config,Q42,42,Q,27.0,user_entry,
Rent Roll Config,A43,43,A,28.0,user_entry,
Rent Roll Config,M43,43,M,0x7,user_entry,
Rent Roll Config,Q43,43,Q,28.0,user_entry,
Rent Roll Config,A44,44,A,29.0,user_entry,
Rent Roll Config,M44,44,M,0x7,user_entry,
Rent Roll Config,Q44,44,Q,29.0,user_entry,
Rent Roll Config,A45,45,A,30.0,user_entry,
Rent Roll Config,M45,45,M,0x7,user_entry,
Rent Roll Config,Q45,45,Q,30.0,user_entry,
Rent Roll Config,A46,46,A,31.0,user_entry,
Rent Roll Config,M46,46,M,0x7,user_entry,
Rent Roll Config,Q46,46,Q,31.0,user_entry,
Rent Roll Config,A47,47,A,32.0,user_entry,
Rent Roll Config,M47,47,M,0x7,user_entry,
Rent Roll Config,Q47,47,Q,32.0,user_entry,
Rent Roll Config,A48,48,A,33.0,user_entry,
Rent Roll Config,M48,48,M,0x7,user_entry,
Rent Roll Config,Q48,48,Q,33.0,user_entry,
Rent Roll Config,A49,49,A,34.0,user_entry,
Rent Roll Config,M49,49,M,0x7,user_entry,
Rent Roll Config,Q49,49,Q,34.0,user_entry,
Rent Roll Config,A50,50,A,35.0,user_entry,
Rent Roll Config,M50,50,M,0x7,user_entry,
Rent Roll Config,Q50,50,Q,35.0,user_entry,
Rent Roll Config,A51,51,A,36.0,user_entry,
Rent Roll Config,M51,51,M,0x7,user_entry,
Rent Roll Config,Q51,51,Q,36.0,user_entry,
Rent Roll Config,A52,52,A,37.0,user_entry,
Rent Roll Config,M52,52,M,0x7,user_entry,
Rent Roll Config,Q52,52,Q,37.0,user_entry,
Rent Roll Config,A53,53,A,38.0,user_entry,
Rent Roll Config,M53,53,M,0x7,user_entry,
Rent Roll Config,Q53,53,Q,38.0,user_entry,
Rent Roll Config,A54,54,A,39.0,user_entry,
Rent Roll Config,M54,54,M,0x7,user_entry,
Rent Roll Config,Q54,54,Q,39.0,user_entry,
Rent Roll Config,A55,55,A,40.0,user_entry,
Rent Roll Config,M55,55,M,0x7,user_entry,
Rent Roll Config,Q55,55,Q,40.0,user_entry,
Rent Roll Config,A56,56,A,41.0,user_entry,
Rent Roll Config,M56,56,M,0x7,user_entry,
Rent Roll Config,Q56,56,Q,41.0,user_entry,
Rent Roll Config,A57,57,A,42.0,user_entry,
Rent Roll Config,M57,57,M,0x7,user_entry,
Rent Roll Config,Q57,57,Q,42.0,user_entry,
Rent Roll Config,A58,58,A,43.0,user_entry,
Rent Roll Config,M58,58,M,0x7,user_entry,
Rent Roll Config,Q58,58,Q,43.0,user_entry,
Rent Roll Config,A59,59,A,44.0,user_entry,
Rent Roll Config,M59,59,M,0x7,user_entry,
Rent Roll Config,Q59,59,Q,44.0,user_entry,
Rent Roll Config,A60,60,A,45.0,user_entry,
Rent Roll Config,M60,60,M,0x7,user_entry,
Rent Roll Config,Q60,60,Q,45.0,user_entry,
Rent Roll Config,A61,61,A,46.0,user_entry,
Rent Roll Config,M61,61,M,0x7,user_entry,
Rent Roll Config,Q61,61,Q,46.0,user_entry,
Rent Roll Config,A62,62,A,47.0,user_entry,
Rent Roll Config,M62,62,M,0x7,user_entry,
Rent Roll Config,Q62,62,Q,47.0,user_entry,
Rent Roll Config,A63,63,A,48.0,user_entry,
Rent Roll Config,M63,63,M,0x7,user_entry,
Rent Roll Config,Q63,63,Q,48.0,user_entry,
Rent Roll Config,A64,64,A,49.0,user_entry,
Rent Roll Config,M64,64,M,0x7,user_entry,
Rent Roll Config,Q64,64,Q,49.0,user_entry,
Rent Roll Config,A65,65,A,50.0,user_entry,
Rent Roll Config,M65,65,M,0x7,user_entry,
Rent Roll Config,Q65,65,Q,50.0,user_entry,
Rent Roll Config,A66,66,A,51.0,user_entry,
Rent Roll Config,M66,66,M,0x7,user_entry,
Rent Roll Config,Q66,66,Q,51.0,user_entry,
Rent Roll Config,A67,67,A,52.0,user_entry,
Rent Roll Config,M67,67,M,0x7,user_entry,
Rent Roll Config,Q67,67,Q,52.0,user_entry,
Rent Roll Config,A68,68,A,53.0,user_entry,
Rent Roll Config,M68,68,M,0x7,user_entry,
Rent Roll Config,Q68,68,Q,53.0,user_entry,
Rent Roll Config,A69,69,A,54.0,user_entry,
Rent Roll Config,M69,69,M,0x7,user_entry,
Rent Roll Config,Q69,69,Q,54.0,user_entry,
Rent Roll Config,A70,70,A,55.0,user_entry,
Rent Roll Config,M70,70,M,0x7,user_entry,
Rent Roll Config,Q70,70,Q,55.0,user_entry,
Rent Roll Config,A71,71,A,56.0,user_entry,
Rent Roll Config,M71,71,M,0x7,user_entry,
Rent Roll Config,Q71,71,Q,56.0,user_entry,
Rent Roll Config,A72,72,A,57.0,user_entry,
Rent Roll Config,M72,72,M,0x7,user_entry,
Rent Roll Config,Q72,72,Q,57.0,user_entry,
Rent Roll Config,A73,73,A,58.0,user_entry,
Rent Roll Config,M73,73,M,0x7,user_entry,
Rent Roll Config,Q73,73,Q,58.0,user_entry,
Rent Roll Config,A74,74,A,59.0,user_entry,
Rent Roll Config,M74,74,M,0x7,user_entry,
Rent Roll Config,Q74,74,Q,59.0,user_entry,
Rent Roll Config,A75,75,A,60.0,user_entry,
Rent Roll Config,M75,75,M,0x7,user_entry,
Rent Roll Config,Q75,75,Q,60.0,user_entry,
Rent Roll Config,A76,76,A,61.0,user_entry,
Rent Roll Config,M76,76,M,0x7,user_entry,
Rent Roll Config,Q76,76,Q,61.0,user_entry,
Rent Roll Config,A77,77,A,62.0,user_entry,
Rent Roll Config,M77,77,M,0x7,user_entry,
Rent Roll Config,Q77,77,Q,62.0,user_entry,
Rent Roll Config,A78,78,A,63.0,user_entry,
Rent Roll Config,M78,78,M,0x7,user_entry,
Rent Roll Config,Q78,78,Q,63.0,user_entry,
Rent Roll Config,A79,79,A,64.0,user_entry,
Rent Roll Config,M79,79,M,0x7,user_entry,
Rent Roll Config,Q79,79,Q,64.0,user_entry,
Rent Roll Config,A80,80,A,65.0,user_entry,
Rent Roll Config,M80,80,M,0x7,user_entry,
Rent Roll Config,Q80,80,Q,65.0,user_entry,
Rent Roll Config,A81,81,A,66.0,user_entry,
Rent Roll Config,M81,81,M,0x7,user_entry,
Rent Roll Config,Q81,81,Q,66.0,user_entry,
Rent Roll Config,A82,82,A,67.0,user_entry,
Rent Roll Config,M82,82,M,0x7,user_entry,
Rent Roll Config,Q82,82,Q,67.0,user_entry,
Rent Roll Config,A83,83,A,68.0,user_entry,
Rent Roll Config,M83,83,M,0x7,user_entry,
Rent Roll Config,Q83,83,Q,68.0,user_entry,
Rent Roll Config,A84,84,A,69.0,user_entry,
Rent Roll Config,M84,84,M,0x7,user_entry,
Rent Roll Config,Q84,84,Q,69.0,user_entry,
Rent Roll Config,A85,85,A,70.0,user_entry,
Rent Roll Config,M85,85,M,0x7,user_entry,
Rent Roll Config,Q85,85,Q,70.0,user_entry,
Rent Roll Config,A86,86,A,71.0,user_entry,
Rent Roll Config,M86,86,M,0x7,user_entry,
Rent Roll Config,Q86,86,Q,71.0,user_entry,
Rent Roll Config,A87,87,A,72.0,user_entry,
Rent Roll Config,M87,87,M,0x7,user_entry,
Rent Roll Config,Q87,87,Q,72.0,user_entry,
Rent Roll Config,A88,88,A,73.0,user_entry,
Rent Roll Config,M88,88,M,0x7,user_entry,
Rent Roll Config,Q88,88,Q,73.0,user_entry,
Rent Roll Config,A89,89,A,74.0,user_entry,
Rent Roll Config,M89,89,M,0x7,user_entry,
Rent Roll Config,Q89,89,Q,74.0,user_entry,
Rent Roll Config,A90,90,A,75.0,user_entry,
Rent Roll Config,M90,90,M,0x7,user_entry,
Rent Roll Config,Q90,90,Q,75.0,user_entry,
Rent Roll Config,A91,91,A,76.0,user_entry,
Rent Roll Config,M91,91,M,0x7,user_entry,
Rent Roll Config,Q91,91,Q,76.0,user_entry,
Rent Roll Config,A92,92,A,77.0,user_entry,
Rent Roll Config,M92,92,M,0x7,user_entry,
Rent Roll Config,Q92,92,Q,77.0,user_entry,
Rent Roll Config,A93,93,A,78.0,user_entry,
Rent Roll Config,M93,93,M,0x7,user_entry,
Rent Roll Config,Q93,93,Q,78.0,user_entry,
Rent Roll Config,A94,94,A,79.0,user_entry,
Rent Roll Config,M94,94,M,0x7,user_entry,
Rent Roll Config,Q94,94,Q,79.0,user_entry,
Rent Roll Config,A95,95,A,80.0,user_entry,
Rent Roll Config,M95,95,M,0x7,user_entry,
Rent Roll Config,Q95,95,Q,80.0,user_entry,
Rent Roll Config,A96,96,A,81.0,user_entry,
Rent Roll Config,M96,96,M,0x7,user_entry,
Rent Roll Config,Q96,96,Q,81.0,user_entry,
Rent Roll Config,A97,97,A,82.0,user_entry,
Rent Roll Config,M97,97,M,0x7,user_entry,
Rent Roll Config,Q97,97,Q,82.0,user_entry,
Rent Roll Config,A98,98,A,83.0,user_entry,
Rent Roll Config,M98,98,M,0x7,user_entry,
Rent Roll Config,Q98,98,Q,83.0,user_entry,
Rent Roll Config,A99,99,A,84.0,user_entry,
Rent Roll Config,M99,99,M,0x7,user_entry,
Rent Roll Config,Q99,99,Q,84.0,user_entry,
Rent Roll Config,A100,100,A,85.0,user_entry,
Rent Roll Config,M100,100,M,0x7,user_entry,
Rent Roll Config,Q100,100,Q,85.0,user_entry,
Rent Roll Config,A101,101,A,86.0,user_entry,
Rent Roll Config,M101,101,M,0x7,user_entry,
Rent Roll Config,Q101,101,Q,86.0,user_entry,
Rent Roll Config,A102,102,A,87.0,user_entry,
Rent Roll Config,M102,102,M,0x7,user_entry,
Rent Roll Config,Q102,102,Q,87.0,user_entry,
Rent Roll Config,A103,103,A,88.0,user_entry,
Rent Roll Config,M103,103,M,0x7,user_entry,
Rent Roll Config,Q103,103,Q,88.0,user_entry,
Rent Roll Config,A104,104,A,89.0,user_entry,
Rent Roll Config,M104,104,M,0x7,user_entry,
Rent Roll Config,Q104,104,Q,89.0,user_entry,
Rent Roll Config,A105,105,A,90.0,user_entry,
Rent Roll Config,M105,105,M,0x7,user_entry,
Rent Roll Config,Q105,105,Q,90.0,user_entry,
Rent Roll Config,A106,106,A,91.0,user_entry,
Rent Roll Config,M106,106,M,0x7,user_entry,
Rent Roll Config,Q106,106,Q,91.0,user_entry,
Rent Roll Config,A107,107,A,92.0,user_entry,
Rent Roll Config,M107,107,M,0x7,user_entry,
Rent Roll Config,Q107,107,Q,92.0,user_entry,
Rent Roll Config,A108,108,A,93.0,user_entry,
Rent Roll Config,M108,108,M,0x7,user_entry,
Rent Roll Config,Q108,108,Q,93.0,user_entry,
Rent Roll Config,A109,109,A,94.0,user_entry,
Rent Roll Config,M109,109,M,0x7,user_entry,
Rent Roll Config,Q109,109,Q,94.0,user_entry,
Rent Roll Config,A110,110,A,95.0,user_entry,
Rent Roll Config,M110,110,M,0x7,user_entry,
Rent Roll Config,Q110,110,Q,95.0,user_entry,
Rent Roll Config,A111,111,A,96.0,user_entry,
Rent Roll Config,M111,111,M,0x7,user_entry,
Rent Roll Config,Q111,111,Q,96.0,user_entry,
Rent Roll Config,A112,112,A,97.0,user_entry,
Rent Roll Config,M112,112,M,0x7,user_entry,
Rent Roll Config,Q112,112,Q,97.0,user_entry,
Rent Roll Config,A113,113,A,98.0,user_entry,
Rent Roll Config,M113,113,M,0x7,user_entry,
Rent Roll Config,Q113,113,Q,98.0,user_entry,
