tab,cell,row,col,value,field_type,formula
Sale Comp Profiles,H1,1,H,VeryHidden,user_entry,
Sale Comp Profiles,L1,1,L,133.0,user_entry,
Sale Comp Profiles,M1,1,M,134.0,user_entry,
Sale Comp Profiles,N1,1,N,135.0,user_entry,
Sale Comp Profiles,O1,1,O,136.0,user_entry,
Sale Comp Profiles,P1,1,P,137.0,user_entry,
Sale Comp Profiles,Q1,1,Q,138.0,user_entry,
Sale Comp Profiles,R1,1,R,139.0,user_entry,
Sale Comp Profiles,S1,1,S,140.0,user_entry,
Sale Comp Profiles,T1,1,T,141.0,user_entry,
Sale Comp Profiles,U1,1,U,142.0,user_entry,
Sale Comp Profiles,V1,1,V,143.0,user_entry,
Sale Comp Profiles,H2,2,H,VeryHidden,user_entry,
Sale Comp Profiles,L2,2,L,Database Field,user_entry,
Sale Comp Profiles,Y2,2,Y,Field Display Name,user_entry,
Sale Comp Profiles,H3,3,H,VeryHidden,user_entry,
Sale Comp Profiles,K3,3,K,1.0,user_entry,
Sale Comp Profiles,N3,3,N,Name,user_entry,
Sale Comp Profiles,AA3,3,AA,Property Name,user_entry,
Sale Comp Profiles,H4,4,H,VeryHidden,user_entry,
Sale Comp Profiles,K4,4,K,2.0,user_entry,
Sale Comp Profiles,N4,4,N,Address,user_entry,
Sale Comp Profiles,AA4,4,AA,Address,user_entry,
Sale Comp Profiles,H5,5,H,VeryHidden,user_entry,
Sale Comp Profiles,K5,5,K,3.0,user_entry,
Sale Comp Profiles,N5,5,N,City,user_entry,
Sale Comp Profiles,O5,5,O,State,user_entry,
Sale Comp Profiles,P5,5,P,Zip,user_entry,
Sale Comp Profiles,AA5,5,AA,"City, State  Zip",user_entry,
Sale Comp Profiles,H6,6,H,VeryHidden,user_entry,
Sale Comp Profiles,K6,6,K,4.0,user_entry,
Sale Comp Profiles,N6,6,N,County,user_entry,
Sale Comp Profiles,AA6,6,AA,County,user_entry,
Sale Comp Profiles,H7,7,H,VeryHidden,user_entry,
Sale Comp Profiles,K7,7,K,5.0,user_entry,
Sale Comp Profiles,N7,7,N,ID,user_entry,
Sale Comp Profiles,AA7,7,AA,ID,user_entry,
Sale Comp Profiles,H8,8,H,VeryHidden,user_entry,
Sale Comp Profiles,K8,8,K,6.0,user_entry,
Sale Comp Profiles,N8,8,N,Property Major Type,user_entry,
Sale Comp Profiles,AA8,8,AA,Property Type,user_entry,
Sale Comp Profiles,H9,9,H,VeryHidden,user_entry,
Sale Comp Profiles,K9,9,K,7.0,user_entry,
Sale Comp Profiles,N9,9,N,Property Type,user_entry,
Sale Comp Profiles,AA9,9,AA,Property Subtype,user_entry,
Sale Comp Profiles,H10,10,H,VeryHidden,user_entry,
Sale Comp Profiles,K10,10,K,8.0,user_entry,
Sale Comp Profiles,N10,10,N,Tax ID,user_entry,
Sale Comp Profiles,AA10,10,AA,Tax ID(s),user_entry,
