tab,cell,row,col,value,field_type,formula
Sales Grid,AB2,2,AB,?,user_entry,
Sales Grid,B5,5,B,REPORT WRITER,user_entry,
Sales Grid,F5,5,F,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
Sales Grid,AB5,5,AB,V: 46.02.9,user_entry,
Sales Grid,B8,8,B,Navigate,user_entry,
Sales Grid,F8,8,F,Sales Analysis Grid,user_entry,
Sales Grid,F10,10,F,Add Comparables for Analysis,user_entry,
Sales Grid,R10,10,R,Comparable Tools,user_entry,
Sales Grid,B12,12,B,Subject Parcel(s):,user_entry,
Sales Grid,C12,12,C,All,user_entry,
Sales Grid,D12,12,D,,user_entry,
Sales Grid,F12,12,F,Step 1.,user_entry,
Sales Grid,H12,12,H,Step 2.,user_entry,
Sales Grid,K12,12,K,Step 3.,user_entry,
Sales Grid,B13,13,B,Subject Building(s):,user_entry,
Sales Grid,C13,13,C,All,user_entry,
Sales Grid,D13,13,D,,user_entry,
Sales Grid,F13,13,F,Search for Improved Sales,user_entry,
Sales Grid,F15,15,F,Job Assigned Comps:,user_entry,
Sales Grid,B18,18,B,"4,19",user_entry,
Sales Grid,F18,18,F,0.0,user_entry,
Sales Grid,G18,18,G,zero,user_entry,
Sales Grid,I18,18,I,147541.0,user_entry,
Sales Grid,K18,18,K,145709.0,user_entry,
Sales Grid,M18,18,M,148077.0,user_entry,
Sales Grid,O18,18,O,116964.0,user_entry,
Sales Grid,Q18,18,Q,118098.0,user_entry,
Sales Grid,S18,18,S,0.0,user_entry,
Sales Grid,U18,18,U,0.0,user_entry,
Sales Grid,W18,18,W,0.0,user_entry,
Sales Grid,Y18,18,Y,0.0,user_entry,
Sales Grid,AA18,18,AA,0.0,user_entry,
Sales Grid,F19,19,F,Select comps to populate grid >,user_entry,
Sales Grid,I19,19,I,3313 Camvic Ter,user_entry,
Sales Grid,K19,19,K,2955-2965 W McMicken Ave,user_entry,
Sales Grid,M19,19,M,2453 Red Coach Drive,user_entry,
Sales Grid,O19,19,O,4812 Lee Road,user_entry,
Sales Grid,Q19,19,Q,2676 Noble Rd,user_entry,
Sales Grid,F20,20,F,Database IDs,user_entry,
Sales Grid,G20,20,G,259729.0,user_entry,
Sales Grid,I20,20,I,147541.0,user_entry,
Sales Grid,K20,20,K,145709.0,user_entry,
Sales Grid,M20,20,M,148077.0,user_entry,
Sales Grid,O20,20,O,116964.0,user_entry,
Sales Grid,Q20,20,Q,118098.0,user_entry,
Sales Grid,F21,21,F,Analysis Grid,user_entry,
Sales Grid,I21,21,I,Comp 1,user_entry,
Sales Grid,K21,21,K,Comp 2,user_entry,
Sales Grid,M21,21,M,Comp 3,user_entry,
Sales Grid,O21,21,O,Comp 4,user_entry,
Sales Grid,Q21,21,Q,Comp 5,user_entry,
Sales Grid,S21,21,S,Comp 6,user_entry,
Sales Grid,U21,21,U,Comp 7,user_entry,
Sales Grid,W21,21,W,Comp 8,user_entry,
Sales Grid,Y21,21,Y,Comp 9,user_entry,
Sales Grid,AA21,21,AA,Comp 10,user_entry,
Sales Grid,F23,23,F,Address,user_entry,
Sales Grid,G23,23,G,0.0,user_entry,
Sales Grid,I23,23,I,3313 Camvic Ter,user_entry,
Sales Grid,K23,23,K,2955-2965 W McMicken Ave,user_entry,
Sales Grid,M23,23,M,2453 Red Coach Dr,user_entry,
Sales Grid,O23,23,O,4812 Lee Road,user_entry,
Sales Grid,Q23,23,Q,2676 Noble Rd,user_entry,
