tab,cell,row,col,value,field_type,formula
Scope,K2,2,K,?,user_entry,
Scope,B5,5,B,REPORT WRITER,user_entry,
Scope,E5,5,E,"20800 Homestead Road Cupertino, CA • Multi-Family",user_entry,
Scope,K5,5,K,V: 46.02.9,user_entry,
Scope,B7,7,B,Navigate,user_entry,
Scope,E7,7,E,"Scope, Appraisal Methods",user_entry,
Scope,E10,10,E,Problem and Intention,user_entry,
Scope,J10,10,J,Hide,user_entry,
Scope,B13,13,B,List28,user_entry,
Scope,F13,13,F,The problem to be solved is,user_entry,
Scope,H13,13,H,To estimate the Market Value As Is,user_entry,
Scope,F15,15,F,The intended use of the appraisal is,user_entry,
Scope,I15,15,I,,user_entry,
Scope,F17,17,F,The intended user(s) of the appraisal is/are the,user_entry,
Scope,I17,17,I,,user_entry,
Scope,F19,19,F,Intended users,user_entry,
Scope,E23,23,E,Report Type,user_entry,
Scope,J23,23,J,Hide,user_entry,
Scope,F26,26,F,Report Type,user_entry,
Scope,I26,26,I,,user_entry,
Scope,F28,28,F,Report Format,user_entry,
Scope,H28,28,H,"Based on the intended users understanding of the subject's physical, economic and legal characteristics, and the intended use of this appraisal, a  report format was used.",user_entry,
Scope,F30,30,F,USPAP Report Type Description,user_entry,
Scope,H30,30,H,NA,user_entry,
Scope,E33,33,E,USPAP Report Definitions,user_entry,
Scope,E34,34,E,Appraisal Report,user_entry,
Scope,G34,34,G,"This is an Appraisal Report as defined by Uniform Standards of Professional Appraisal Practice under Standards Rule 2-2(a). This format provides a summary or description of the appraisal process, subject and market data and valuation analyses.",user_entry,
Scope,E35,35,E,Restricted Appraisal Report,user_entry,
Scope,G35,35,G,"This is a Restricted Appraisal Report as defined by Uniform Standards of Professional Appraisal Practice under Standards Rule 2-2(b). This format provides for only basic property identification, appraisal statements and value conclusion(s). The appraisal may only be used by the client for the intended use. The rationale for how the appraiser arrived at the opinions and conclusions set forth in the report may not be understood properly without additional information in the appraiser’s workfile.",user_entry,
Scope,E36,36,E,Non-USPAP Report Definitions,user_entry,
Scope,E37,37,E,Evaluation Appraisal Report,user_entry,
Scope,G37,37,G,"This document is not an appraisal as defined by USPAP (Uniform Standards of Professional Appraisal Practice). It is not to be construed as an appraisal and may not be used as such for any purpose. This format provides only basic property identification, appraisal statements and value conclusion(s). The appraisal may only be used by the client for the intended use.",user_entry,
Scope,E39,39,E,Canadian Report Definitions,user_entry,
Scope,E40,40,E,Short Narrative,user_entry,
Scope,G40,40,G,"This is a short narrative report format which provides concise and brief descriptions of the appraisal process, subject and market data, and valuation analyses.",user_entry,
Scope,E41,41,E,Narrative,user_entry,
Scope,G41,41,G,"This is a narrative report format which provides comprehensive and detailed descriptions of the appraisal process, subject and market data, and valuation analyses.",user_entry,
Scope,E44,44,E,Scope of Work,user_entry,
