tab,cell,row,col,value,field_type,formula
Settings,B1,1,B,VeryHidden,user_entry,
Settings,C1,1,C,0x7,user_entry,
Settings,B5,5,B,1.0,user_entry,
Settings,C5,5,C,Show,user_entry,
Settings,F5,5,F,Front End,user_entry,
Settings,B6,6,B,1.0,user_entry,
Settings,C6,6,C,Show,user_entry,
Settings,F6,6,F,What is the PVA Property Type?,user_entry,
Settings,G6,6,G,Multi-Family,user_entry,
Settings,B7,7,B,1.0,user_entry,
Settings,C7,7,C,Show,user_entry,
Settings,F7,7,F,Is there Multi-Family Affordable?,user_entry,
Settings,B8,8,B,1.0,user_entry,
Settings,C8,8,C,Show,user_entry,
Settings,F8,8,F,Is there Multi-Family Renovation?,user_entry,
Settings,B9,9,B,1.0,user_entry,
Settings,C9,9,C,Show,user_entry,
Settings,F9,9,F,Is this a Market Study?,user_entry,
Settings,B10,10,B,1.0,user_entry,
Settings,C10,10,C,Show,user_entry,
Settings,F10,10,F,What agency is this job for?,user_entry,
Settings,G10,10,G,None,user_entry,
Settings,B11,11,B,1.0,user_entry,
Settings,C11,11,C,Show,user_entry,
Settings,F11,11,F,HUD Sub-menu,user_entry,
Settings,B12,12,B,1.0,user_entry,
Settings,C12,12,C,Show,user_entry,
Settings,F12,12,F,Fannie Deal Identifier,user_entry,
Settings,J12,12,J,Fannie only,user_entry,
Settings,B13,13,B,1.0,user_entry,
Settings,C13,13,C,Show,user_entry,
Settings,F13,13,F,LODG: Is this for CMBS?,user_entry,
Settings,B14,14,B,1.0,user_entry,
Settings,C14,14,C,Show,user_entry,
Settings,B15,15,B,1.0,user_entry,
Settings,C15,15,C,Show,user_entry,
Settings,F15,15,F,Back End,user_entry,
Settings,B16,16,B,1.0,user_entry,
Settings,C16,16,C,Show,user_entry,
Settings,F16,16,F,Are you doing a Value Allocation or Real Estate only?,user_entry,
Settings,G16,16,G,Real Estate Only,user_entry,
Settings,B17,17,B,1.0,user_entry,
Settings,C17,17,C,Show,user_entry,
Settings,F17,17,F,Approaches to Value,user_entry,
Settings,B18,18,B,1.0,user_entry,
Settings,C18,18,C,Show,user_entry,
Settings,F18,18,F,Cost Approach,user_entry,
Settings,B19,19,B,1.0,user_entry,
Settings,C19,19,C,Show,user_entry,
Settings,F19,19,F,Sales Comparison Approach,user_entry,
Settings,B20,20,B,1.0,user_entry,
Settings,C20,20,C,Show,user_entry,
Settings,F20,20,F,Income Capitalization Approach,user_entry,
Settings,B21,21,B,1.0,user_entry,
Settings,C21,21,C,Show,user_entry,
Settings,F21,21,F,Do you need Land Comps?,user_entry,
Settings,J21,21,J,Req if cost approach,user_entry,
Settings,B22,22,B,1.0,user_entry,
Settings,C22,22,C,Show,user_entry,
Settings,F22,22,F,How many Land Grids do you need?,user_entry,
Settings,B23,23,B,1.0,user_entry,
Settings,C23,23,C,Show,user_entry,
Settings,F23,23,F,Is this a Proposed Property?,user_entry,
Settings,B24,24,B,1.0,user_entry,
Settings,C24,24,C,Show,user_entry,
Settings,F24,24,F,How many Premises do you need?,user_entry,
Settings,B25,25,B,1.0,user_entry,
Settings,C25,25,C,Show,user_entry,
Settings,F25,25,F,"Has your property been sold in the past X years, or is it Listed/Under Contract?",user_entry,
Settings,B26,26,B,1.0,user_entry,
Settings,C26,26,C,Show,user_entry,
Settings,F27,27,F,Setting,user_entry,
Settings,G27,27,G,Value,user_entry,
Settings,F28,28,F,Rounding: Formula (recommended) or Set Multiple,user_entry,
Settings,G28,28,G,Set Multiple,user_entry,
Settings,F29,29,F,File-wide Rounding Multiple,user_entry,
Settings,G29,29,G,100000.0,user_entry,
Settings,F30,30,F,File-wide Rounding Multiple per UOM,user_entry,
Settings,G30,30,G,1000.0,user_entry,
Settings,F31,31,F,Subject Unit of Comparison,user_entry,
Settings,G31,31,G,Unit,user_entry,
Settings,F32,32,F,For Multi-Family: Unit Count Unit of Comparison (MF Market Rent),user_entry,
Settings,G32,32,G,Unit,user_entry,
Settings,F33,33,F,For Mixed-Use: Include Commercial units in total unit count?,user_entry,
Settings,G33,33,G,No,user_entry,
Settings,B34,34,B,VeryHidden,user_entry,
Settings,B35,35,B,VeryHidden,user_entry,
Settings,B36,36,B,VeryHidden,user_entry,
Settings,B37,37,B,VeryHidden,user_entry,
Settings,B38,38,B,VeryHidden,user_entry,
Settings,B39,39,B,VeryHidden,user_entry,
Settings,B40,40,B,VeryHidden,user_entry,
Settings,B41,41,B,VeryHidden,user_entry,
Settings,B42,42,B,VeryHidden,user_entry,
Settings,B43,43,B,VeryHidden,user_entry,
Settings,B44,44,B,VeryHidden,user_entry,
Settings,B45,45,B,VeryHidden,user_entry,
Settings,B46,46,B,VeryHidden,user_entry,
Settings,B47,47,B,VeryHidden,user_entry,
Settings,B48,48,B,VeryHidden,user_entry,
Settings,B49,49,B,VeryHidden,user_entry,
Settings,B50,50,B,VeryHidden,user_entry,
Settings,B51,51,B,VeryHidden,user_entry,
Settings,B52,52,B,VeryHidden,user_entry,
Settings,B53,53,B,VeryHidden,user_entry,
Settings,B54,54,B,VeryHidden,user_entry,
Settings,B55,55,B,VeryHidden,user_entry,
Settings,B56,56,B,VeryHidden,user_entry,
Settings,B57,57,B,VeryHidden,user_entry,
Settings,B58,58,B,VeryHidden,user_entry,
Settings,B59,59,B,VeryHidden,user_entry,
Settings,B60,60,B,1.0,user_entry,
Settings,C60,60,C,Show,user_entry,
Settings,F60,60,F,Cost Approach,user_entry,
Settings,B61,61,B,1.0,user_entry,
Settings,C61,61,C,Show,user_entry,
Settings,F61,61,F,Are you doing a full Cost Approach or just an Insurable Value?,user_entry,
