tab,cell,row,col,value,field_type,formula
Site,M1,1,M,<<Property Type Show/Hide,user_entry,
Site,AY2,2,AY,?,user_entry,
Site,N4,4,N,2.0,user_entry,
Site,S4,4,S,VeryHidden,user_entry,
Site,A5,5,A,VeryHidden,user_entry,
Site,B5,5,B,VeryHidden,user_entry,
Site,C5,5,C,VeryHidden,user_entry,
Site,D5,5,D,VeryHidden,user_entry,
Site,E5,5,E,VeryHidden,user_entry,
Site,F5,5,F,VeryHidden,user_entry,
Site,G5,5,G,VeryHidden,user_entry,
Site,H5,5,H,VeryHidden,user_entry,
Site,I5,5,I,VeryHidden,user_entry,
Site,J5,5,J,VeryHidden,user_entry,
Site,K5,5,K,VeryHidden,user_entry,
Site,L5,5,L,VeryHidden,user_entry,
Site,N5,5,N,VeryHidden,user_entry,
Site,O5,5,O,VeryHidden,user_entry,
Site,P5,5,P,VeryHidden,user_entry,
Site,Q5,5,Q,VeryHidden,user_entry,
Site,S5,5,S,VeryHidden,user_entry,
Site,T5,5,T,VeryHidden,user_entry,
Site,U5,5,U,VeryHidden,user_entry,
Site,Z5,5,Z,VeryHidden,user_entry,
Site,AA5,5,AA,VeryHidden,user_entry,
Site,AB5,5,AB,0x7,user_entry,
Site,AD5,5,AD,0x7,user_entry,
Site,AE5,5,AE,0x7,user_entry,
Site,AF5,5,AF,0x7,user_entry,
Site,AG5,5,AG,0x7,user_entry,
Site,AH5,5,AH,0x7,user_entry,
Site,AI5,5,AI,0x7,user_entry,
Site,AJ5,5,AJ,0x7,user_entry,
Site,AK5,5,AK,0x7,user_entry,
Site,AL5,5,AL,0x7,user_entry,
Site,AM5,5,AM,0x7,user_entry,
Site,AN5,5,AN,0x7,user_entry,
Site,AO5,5,AO,0x7,user_entry,
Site,AP5,5,AP,0x7,user_entry,
Site,AQ5,5,AQ,0x7,user_entry,
Site,AR5,5,AR,0x7,user_entry,
Site,AS5,5,AS,0x7,user_entry,
Site,AT5,5,AT,0x7,user_entry,
Site,AU5,5,AU,0x7,user_entry,
Site,AV5,5,AV,0x7,user_entry,
Site,P7,7,P,REPORT WRITER,user_entry,
Site,U9,9,U,System,user_entry,
Site,P10,10,P,Navigate,user_entry,
Site,S10,10,S,0x7,user_entry,
Site,U10,10,U,Column,user_entry,
Site,W10,10,W,Site Description,user_entry,
Site,U11,11,U,All,user_entry,
Site,W11,11,W,Portfolio DataTape Header Column,user_entry,
Site,P12,12,P,Toggle Display,user_entry,
Site,U12,12,U,1.0,user_entry,
Site,W12,12,W,No. of Parcels,user_entry,
Site,Y12,12,Y,Choose Number of Parcels,user_entry,
Site,AC12,12,AC,1.0,user_entry,
Site,P15,15,P,Show Totals Column,user_entry,
Site,X15,15,X,Site Characteristics Data Entry Table,user_entry,
Site,A17,17,A,PropertyTypeKey,user_entry,
Site,AB18,18,AB,Hide,user_entry,
Site,AC18,18,AC,Show,user_entry,
Site,AD18,18,AD,Auto,user_entry,
Site,AE18,18,AE,Auto,user_entry,
Site,AF18,18,AF,Auto,user_entry,
Site,AG18,18,AG,Auto,user_entry,
Site,AH18,18,AH,Auto,user_entry,
Site,AI18,18,AI,Auto,user_entry,
Site,AJ18,18,AJ,Auto,user_entry,
Site,AK18,18,AK,Auto,user_entry,
Site,AL18,18,AL,Auto,user_entry,
Site,AM18,18,AM,Auto,user_entry,
Site,AN18,18,AN,Auto,user_entry,
Site,AO18,18,AO,Auto,user_entry,
Site,AP18,18,AP,Auto,user_entry,
Site,AQ18,18,AQ,Auto,user_entry,
Site,AR18,18,AR,Auto,user_entry,
Site,AS18,18,AS,Auto,user_entry,
Site,AT18,18,AT,Auto,user_entry,
Site,AU18,18,AU,Auto,user_entry,
Site,AV18,18,AV,Auto,user_entry,
Site,A19,19,A,Multi-Family|Mobile/Manufactured Home Park,user_entry,
Site,B19,19,B,Multi-Family|All,user_entry,
Site,C19,19,C,Multi-Family|Student-Oriented Housing,user_entry,
Site,D19,19,D,Multi-Family|Affordable,user_entry,
Site,E19,19,E,Retail-Commercial|All,user_entry,
Site,F19,19,F,Shopping Center|Super Regional Center/Mall,user_entry,
Site,G19,19,G,Office|All,user_entry,
Site,H19,19,H,Health Care|All,user_entry,
Site,I19,19,I,Senior Housing|All,user_entry,
Site,J19,19,J,Industrial|All,user_entry,
Site,K19,19,K,Self-Storage|All,user_entry,
Site,L19,19,L,Lodging & Hospitality|All,user_entry,
Site,N19,19,N,Active PropertyType,user_entry,
Site,Z19,19,Z,Database Record (Optional),user_entry,
Site,AA19,19,AA,Method,user_entry,
Site,AB19,19,AB,Totals,user_entry,
Site,AC19,19,AC,Parcel 1,user_entry,
