tab,cell,row,col,value,field_type,formula
Zoning,M1,1,M,<<Property Type Show/Hide,user_entry,
Zoning,AM2,2,AM,?,user_entry,
Zoning,N4,4,N,2.0,user_entry,
Zoning,BB4,4,BB,2.0,user_entry,
Zoning,A5,5,A,VeryHidden,user_entry,
Zoning,B5,5,B,VeryHidden,user_entry,
Zoning,C5,5,C,VeryHidden,user_entry,
Zoning,D5,5,D,VeryHidden,user_entry,
Zoning,E5,5,E,VeryHidden,user_entry,
Zoning,F5,5,F,VeryHidden,user_entry,
Zoning,G5,5,G,VeryHidden,user_entry,
Zoning,H5,5,H,VeryHidden,user_entry,
Zoning,I5,5,I,VeryHidden,user_entry,
Zoning,J5,5,J,VeryHidden,user_entry,
Zoning,K5,5,K,VeryHidden,user_entry,
Zoning,L5,5,L,VeryHidden,user_entry,
Zoning,N5,5,N,VeryHidden,user_entry,
Zoning,O5,5,O,VeryHidden,user_entry,
Zoning,P5,5,P,VeryHidden,user_entry,
Zoning,Q5,5,Q,VeryHidden,user_entry,
Zoning,S5,5,S,VeryHidden,user_entry,
Zoning,AB5,5,AB,0x7,user_entry,
Zoning,AC5,5,AC,0x7,user_entry,
Zoning,AD5,5,AD,0x7,user_entry,
Zoning,AE5,5,AE,0x7,user_entry,
Zoning,AF5,5,AF,0x7,user_entry,
Zoning,AG5,5,AG,0x7,user_entry,
Zoning,AH5,5,AH,0x7,user_entry,
Zoning,AI5,5,AI,0x7,user_entry,
Zoning,AJ5,5,AJ,0x7,user_entry,
Zoning,P7,7,P,REPORT WRITER,user_entry,
Zoning,P10,10,P,Navigate,user_entry,
Zoning,W10,10,W,Zoning,user_entry,
Zoning,Z12,12,Z,Choose Number of Zones,user_entry,
Zoning,AA12,12,AA,1.0,user_entry,
Zoning,W15,15,W,Zoning Data Entry,user_entry,
Zoning,AL15,15,AL,Hide,user_entry,
Zoning,A17,17,A,PropertyTypeKey,user_entry,
Zoning,AA18,18,AA,Show,user_entry,
Zoning,AB18,18,AB,Hide,user_entry,
Zoning,AC18,18,AC,Hide,user_entry,
Zoning,AD18,18,AD,Hide,user_entry,
Zoning,AE18,18,AE,Hide,user_entry,
Zoning,AF18,18,AF,Hide,user_entry,
Zoning,AG18,18,AG,Hide,user_entry,
Zoning,AH18,18,AH,Hide,user_entry,
Zoning,AI18,18,AI,Hide,user_entry,
Zoning,AJ18,18,AJ,Hide,user_entry,
Zoning,A19,19,A,Multi-Family|Mobile/Manufactured Home Park,user_entry,
Zoning,B19,19,B,Multi-Family|All,user_entry,
Zoning,C19,19,C,Multi-Family|Student-Oriented Housing,user_entry,
Zoning,D19,19,D,Multi-Family|All,user_entry,
Zoning,E19,19,E,Retail-Commercial|All,user_entry,
Zoning,F19,19,F,Shopping Center|Super Regional Center/Mall,user_entry,
Zoning,G19,19,G,Office|All,user_entry,
Zoning,H19,19,H,Health Care|All,user_entry,
Zoning,I19,19,I,Senior Housing|All,user_entry,
Zoning,J19,19,J,Industrial|All,user_entry,
Zoning,K19,19,K,Self-Storage|All,user_entry,
Zoning,L19,19,L,Lodging & Hospitality|All,user_entry,
Zoning,N19,19,N,Active PropertyType,user_entry,
Zoning,Z19,19,Z,Summary,user_entry,
Zoning,AA19,19,AA,1.0,user_entry,
Zoning,AB19,19,AB,2.0,user_entry,
Zoning,AC19,19,AC,3.0,user_entry,
Zoning,AD19,19,AD,4.0,user_entry,
Zoning,AE19,19,AE,5.0,user_entry,
Zoning,AF19,19,AF,6.0,user_entry,
Zoning,AG19,19,AG,7.0,user_entry,
Zoning,AH19,19,AH,8.0,user_entry,
Zoning,AI19,19,AI,9.0,user_entry,
Zoning,AJ19,19,AJ,10.0,user_entry,
Zoning,A20,20,A,Show,user_entry,
Zoning,B20,20,B,Show,user_entry,
Zoning,C20,20,C,Show,user_entry,
Zoning,D20,20,D,Show,user_entry,
Zoning,E20,20,E,Show,user_entry,
Zoning,F20,20,F,Show,user_entry,
Zoning,G20,20,G,Show,user_entry,
Zoning,H20,20,H,Show,user_entry,
Zoning,I20,20,I,Show,user_entry,
Zoning,J20,20,J,Show,user_entry,
Zoning,K20,20,K,Show,user_entry,
Zoning,L20,20,L,Show,user_entry,
Zoning,N20,20,N,Show,user_entry,
Zoning,R20,20,R,Show,user_entry,
Zoning,S20,20,S,0.5,user_entry,
Zoning,X20,20,X,Zoning Authority,user_entry,
Zoning,AK20,20,AK,City Ordinance origination,user_entry,
Zoning,AN20,20,AN,Zoning Jurisdiction,user_entry,
Zoning,A21,21,A,Show,user_entry,
Zoning,B21,21,B,Show,user_entry,
Zoning,C21,21,C,Show,user_entry,
Zoning,D21,21,D,Show,user_entry,
Zoning,E21,21,E,Show,user_entry,
Zoning,F21,21,F,Show,user_entry,
Zoning,G21,21,G,Show,user_entry,
Zoning,H21,21,H,Show,user_entry,
Zoning,I21,21,I,Show,user_entry,
Zoning,J21,21,J,Show,user_entry,
Zoning,K21,21,K,Show,user_entry,
Zoning,L21,21,L,Show,user_entry,
Zoning,N21,21,N,Show,user_entry,
Zoning,R21,21,R,Show,user_entry,
Zoning,S21,21,S,0.5,user_entry,
Zoning,X21,21,X,Zoning District,user_entry,
Zoning,AN21,21,AN,Zoning District,user_entry,
Zoning,A22,22,A,Show,user_entry,
Zoning,B22,22,B,Show,user_entry,
Zoning,C22,22,C,Show,user_entry,
Zoning,D22,22,D,Show,user_entry,
Zoning,E22,22,E,Show,user_entry,
Zoning,F22,22,F,Show,user_entry,
Zoning,G22,22,G,Show,user_entry,
Zoning,H22,22,H,Show,user_entry,
Zoning,I22,22,I,Show,user_entry,
Zoning,J22,22,J,Show,user_entry,
